('https://image1.ljcdn.com/120000-inspection/64cbcb52-b5e1-4376-aa10-f65440029c83.jpg.296x216.jpg', '祈年大厦  西南两居 交通方便 视野开阔！', '祈年大厦  | 2室1厅 | 76.04平米 | 南 | 精装 | 有电梯', '低楼层(共32层)塔楼  -  劝业场', '468万', '单价61547元/平米')
('https://image1.ljcdn.com/120000-inspection/21a9f226-3e0b-490c-8056-996adee102dc.jpg.296x216.jpg', '新世界花园 洋房两室 东西通透 570万 诚意出售', '新世界花园  | 2室1厅 | 111.64平米 | 东 西 | 简装 | 有电梯', '中楼层(共7层)板楼  -  南市', '549万', '单价49176元/平米')
('https://image1.ljcdn.com/120000-inspection/be969221-e4c6-4828-93cd-ce8064593578.jpg.296x216.jpg', '诚基北向复式·无遮挡·视野开阔', '诚基经贸中心  | 2室2厅 | 68.76平米 | 北 | 其他 | 有电梯', '中楼层(共33层)塔楼  -  体育馆街', '325万', '单价47266元/平米')
('https://image1.ljcdn.com/120000-inspection/94e26daa-17eb-44f5-bf99-599819f5430c.jpg.296x216.jpg', '诚基经贸中心 2室2厅 322万', '诚基经贸中心  | 2室2厅 | 68.07平米 | 南 | 其他 | 有电梯', '低楼层(共33层)塔楼  -  体育馆街', '322万', '单价47305元/平米')
('https://image1.ljcdn.com/120000-inspection/dccf92b4-a632-4315-bcea-a3b6c79b1bf9.jpg.296x216.jpg', '过五无二 南北通透 视野无遮挡', '新文化花园新雅居  | 3室1厅 | 117.64平米 | 西南 北 | 其他 | 有电梯', '高楼层(共15层)板楼  -  南市', '645万', '单价54829元/平米')
('https://image1.ljcdn.com/120000-inspection/4cf023db-90d0-4541-8d05-2d24635fa7fd.jpg.296x216.jpg', '私产 过5年  南北向 通透 好楼层 电台道6号 有钥匙', '电台道  | 2室1厅 | 51.46平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)板楼  -  南营门街', '238万', '单价46250元/平米')
('https://image1.ljcdn.com/120000-inspection/d5146773-2876-4f5a-8f69-41ec58a2fbc8.jpg.296x216.jpg', '庆有西里 十佳社区 税费低 阳面大一室', '庆有西里  | 1室1厅 | 48.94平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)板楼  -  南市', '288万', '单价58848元/平米')
('https://image1.ljcdn.com/120000-inspection/a72294ab-e8d7-478e-8048-fff7af586d98.jpg.296x216.jpg', '诚基小区 精装修采光好 配套齐 交通便利', '诚基经贸中心  | 1室1厅 | 46.85平米 | 东南 | 精装 | 有电梯', '低楼层(共50层)塔楼  -  体育馆街', '218万', '单价46532元/平米')
('https://image1.ljcdn.com/120000-inspection/b34b0362-969d-4765-b352-79a707659bde.jpg.296x216.jpg', '看海河 70年住宅 可贷款 诚意出售', '环球金融中心津塔公寓  | 1室1厅 | 79.15平米 | 东北 | 精装 | 有电梯', '高楼层(共30层)塔楼  -  小白楼', '273万', '单价34492元/平米')
('https://image1.ljcdn.com/120000-inspection/a0e42023-ef9e-456e-a4f9-f272463ac4c6.jpg.296x216.jpg', '小区环境干净舒适 精装修 交通便利', '金德园  | 2室1厅 | 77.52平米 | 东 北 | 精装 | 有电梯', '高楼层(共46层)板楼  -  南营门街', '528万', '单价68112元/平米')
('https://image1.ljcdn.com/120000-inspection/e52d3236-e776-4140-9e29-8f3ee78c67c3.jpg.296x216.jpg', '文善里 两室 南北向 私产 诚意出售', '文善里  | 2室1厅 | 55.57平米 | 南 北 | 其他 | 无电梯', '中楼层(共5层)板楼  -  南营门街', '375万', '单价67483元/平米')
