('https://image1.ljcdn.com/131000-inspection/94a8d990-f5ce-4723-aa98-1e22e411f673.jpg.296x216.jpg', '上上城三季婚房装修东南两居室  看房随时', '福城上上城三季  | 2室1厅 | 92.54平米 | 东南 | 其他 | 有电梯', '中楼层(共23层)2010年建板塔结合  -  燕顺路东', '145万', '单价15669元/平米')
('https://image1.ljcdn.com/131000-inspection/2e24efbe-2749-4783-82a1-dff46d8399f6.jpg.296x216.jpg', '燕顺路精装两居 全南向 楼层高 采光好 诚心出售', '福城上上城三季  | 2室1厅 | 74.16平米 | 南 | 其他 | 有电梯', '高楼层(共23层)2011年建板塔结合  -  燕顺路东', '123万', '单价16586元/平米')
('https://image1.ljcdn.com/131000-inspection/08859842-7978-4d8d-847e-0359d9d5cfd7.JPG.296x216.jpg', '福成四期 南北通透两居 简单装修', '福泽御园  | 2室1厅 | 86.37平米 | 南 北 | 毛坯 | 有电梯', '中楼层(共20层)2007年建板塔结合  -  福成四期', '129万', '单价14936元/平米')
('https://image1.ljcdn.com/110000-inspection/rsp_pic_upload637317c8-91a7-4afb-90ca-a53b71b71bda.jpg.296x216.jpg', '纳丹堡 南北通透 两居室 全明格局', '纳丹堡  | 2室2厅 | 96.1平米 | 南 北 | 简装 | 有电梯', '低楼层(共24层)2009年建板楼  -  燕顺路西', '168万', '单价17482元/平米')
('https://image1.ljcdn.com/110000-inspection/685324b1-6507-4fdc-9e81-65c3c451e4bf.jpg.296x216.jpg', '燕京航城 南向两居 户型方正 随时看房', '燕京航城  | 2室1厅 | 87.14平米 | 南 | 其他 | 有电梯', '低楼层(共34层)2011年建板塔结合  -  燕京航城', '155万', '单价17788元/平米')
('https://image1.ljcdn.com/131000-inspection/87598b71-9bc5-4219-92cc-6477c6da6b4d.jpg.296x216.jpg', '福城上上城五期 1室1厅 78万', '福城上上城五期  | 1室1厅 | 48.98平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2009年建板楼  -  福成五期公交总站', '78万', '单价15925元/平米')
('https://image1.ljcdn.com/110000-inspection/0faa617e-bb68-4086-a6bb-a9ea16c10496.jpg.296x216.jpg', '上上城三季  南北通透  自住标准 三居室  诚心出售', '福城上上城三季  | 3室1厅 | 115.42平米 | 南 北 | 简装 | 有电梯', '低楼层(共18层)2011年建板塔结合  -  燕顺路东', '196万', '单价16982元/平米')
('https://image1.ljcdn.com/131000-inspection/d006118f-cefc-4443-9c95-4b953ccd3309.jpg.296x216.jpg', '燕顺路 夏威夷北岸 地暖南北通透两居室 看房方便', '东方夏威夷北岸  | 2室1厅 | 92.99平米 | 南 北 | 其他 | 有电梯', '中楼层(共25层)2009年建板塔结合  -  燕顺路东', '142万', '单价15271元/平米')
('https://image1.ljcdn.com/131000-inspection/6b2303b1-8413-43aa-8ad2-73ec7673c50f.JPG.296x216.jpg', '夏威夷蓝湾精装南北两居 满两年 高层采光充足视野开阔', '夏威夷蓝湾  | 2室1厅 | 88.61平米 | 南 北 | 精装', '高楼层(共33层)2014年建板楼  -  天洋城4代', '188万', '单价21217元/平米')
('https://image1.ljcdn.com/110000-inspection/c0f2f6c6-3b59-4184-be48-8669161332ca.jpg.296x216.jpg', '天洋城 南北通透三居室 产权清晰满两年 中高楼层诚售', '天洋城  | 3室1厅 | 112.56平米 | 南 北 | 毛坯 | 有电梯', '高楼层(共22层)2011年建板塔结合  -  天洋城', '213万', '单价18924元/平米')
('https://image1.ljcdn.com/110000-inspection/dc315be0-59f3-4e72-bcaf-9b61551d9b7c2.jpg.296x216.jpg', '燕顺路纳丹堡西向全明大一居可改两居采光好满五唯一', '纳丹堡  | 1室1厅 | 66.64平米 | 西 | 毛坯 | 有电梯', '低楼层(共33层)2009年建板楼  -  燕顺路西', '120万', '单价18008元/平米')
