('https://image1.ljcdn.com/500000-inspection/bff80a73-2cf7-48ce-bd22-bce54024fd57.jpg.296x216.jpg', '南坪+六公里轻轨站旁+渝能国际+板式小高层+3房', '渝能国际  | 3室2厅 | 128.31平米 | 西 | 精装 | 有电梯', '低楼层(共11层)2007年建板楼  -  六公里', '159万', '单价12392元/平米')
('https://image1.ljcdn.com/500000-inspection/34025bd2-f103-476f-bd55-cd2ac3198f9c.jpg.296x216.jpg', '三楼南北通透 平地区新区府旁  自住精装拎包入住', '江南小区  | 4室2厅 | 132.57平米 | 南 | 其他', '中楼层(共6层)板楼  -  茶园新区', '138万', '单价10410元/平米')
('https://image1.ljcdn.com/500000-inspection/903cf2e1-447c-422d-9448-9f2ae2835f42.jpg.296x216.jpg', '南岸区+万科金域学府+正规2房+中间楼层+拎包入住', '万科金域学府  | 2室2厅 | 64平米 | 西 | 精装 | 有电梯', '低楼层(共34层)2018年建塔楼  -  七公里', '105万', '单价16407元/平米')
('https://image1.ljcdn.com/500000-inspection/01764b76-b1a0-40bc-a47a-9f268883b4ed.jpg.296x216.jpg', '南滨路+轻轨站旁+金辉城春上南滨+温馨居家装修+视野广', '金辉城春上南滨  | 3室2厅 | 95平米 | 东 | 精装 | 有电梯', '高楼层(共33层)2015年建塔楼  -  融侨半岛', '180万', '单价18948元/平米')
('https://image1.ljcdn.com/500000-inspection/d8bf77c4-16fb-4905-9c03-7ec29f3ce801.JPG.296x216.jpg', '东海星洲精装跃层四房两卫，满五唯一，诚心出售', '东海星洲  | 4室2厅 | 84.93平米 | 东 东南 南 | 精装 | 有电梯', '中楼层(共18层)2008年建塔楼  -  弹子石', '138万', '单价16249元/平米')
('https://image1.ljcdn.com/500000-inspection/a9773608-351d-4d24-a2d7-324dc3a2b281.jpg.296x216.jpg', '四公里溯源阁70年产权大三房+户型方正朝中庭', '溯源阁  | 3室2厅 | 121.74平米 | 南 | 精装 | 有电梯', '低楼层(共32层)2005年建塔楼  -  四公里', '165万', '单价13554元/平米')
('https://image1.ljcdn.com/500000-inspection/320ef6d3-cf69-414e-9d18-d927c6cd4714.jpg.296x216.jpg', '一米阳光，精装修，正规一室一厅，视野好，可看江', '一米阳光  | 1室1厅 | 45.81平米 | 西南 | 其他 | 有电梯', '高楼层(共34层)2008年建塔楼  -  南坪', '71万', '单价15499元/平米')
('https://image1.ljcdn.com/500000-inspection/fbc0eb0b-80ac-4ff5-a91f-5fd57eb5d203.jpg.296x216.jpg', '茶园邱家湾轻轨站+同景国际城W组团住家装修2房+未住过', '同景国际城W组团  | 2室1厅 | 43平米 | 东 | 精装', '高楼层(共18层)暂无数据  -  茶园新区', '70万', '单价16280元/平米')
('https://image1.ljcdn.com/500000-inspection/708b914d-30d9-42c6-8c3d-14566547d5c7.jpg.296x216.jpg', '南坪 一米阳光 端头户型 正规一室一厅', '一米阳光  | 1室1厅 | 47.6平米 | 东南 | 其他 | 有电梯', '高楼层(共34层)2008年建塔楼  -  南坪', '76万', '单价15967元/平米')
('https://image1.ljcdn.com/500000-inspection/07f4d553-d2b2-413a-bd03-d3c097473c50.jpg.296x216.jpg', '南滨路 恒基翔龙江畔 清水三房可以改四房 一线江景房', '恒基翔龙江畔  | 3室2厅 | 158平米 | 南 | 毛坯 | 有电梯', '高楼层(共33层)2013年建塔楼  -  丹龙路', '260万', '单价16456元/平米')
('https://image1.ljcdn.com/500000-inspection/b0a36ebc-50e9-4944-b797-e15ea29b5ecc.jpg.296x216.jpg', '大两房+交通方便+采光好+配套齐全+小区环境好', '骏逸江南  | 3室2厅 | 87.88平米 | 东南 | 简装 | 有电梯', '中楼层(共18层)2004年建塔楼  -  四公里', '117万', '单价13314元/平米')
('https://image1.ljcdn.com/500000-inspection/65241461-7d04-4dc3-ba6a-91913914c4f5.jpg.296x216.jpg', '茶园轻轨站 同景国际城 装修跃层 带电暖 家电齐全', '同景国际城W组团  | 2室2厅 | 50.51平米 | 东南 | 精装', '高楼层(共18层)暂无数据  -  茶园新区', '78万', '单价15443元/平米')
