('https://image1.ljcdn.com/310000-inspection/test-18529faf-13af-40cf-a201-927adab8a6a8.png.296x216.jpg', '满五年唯一，地铁口，全天采光，业主诚意出售，随时看', '静安阳光华庭  | 2室2厅 | 96.33平米 | 南 | 精装 | 有电梯', '中楼层(共25层)2005年建板楼  -  曹家渡', '900万', '单价93429元/平米')
('https://image1.ljcdn.com/310000-inspection/test-94752dae-ced6-420e-8608-db1ea8766f0d.png.296x216.jpg', '京西大楼+售后公房+地铁2号线+户型方正+朝南采光', '京西大楼  | 2室1厅 | 55.13平米 | 南 | 简装 | 有电梯', '低楼层(共16层)1983年建塔楼  -  南京西路', '495万', '单价89788元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180103/5b95cb75-addf-47c0-8944-e2f84694acf1.jpg.296x216.jpg', '静安丽舍板式南北通两房，前后双阳台，客厅4.2米开间', '静安丽舍  | 2室2厅 | 126.88平米 | 南 北 | 精装 | 有电梯', '低楼层(共33层)2004年建板楼  -  曹家渡', '1100万', '单价86697元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180106/8f26849f-b8b3-4032-8d4b-bcdb972012c9.jpg.296x216.jpg', '户型正气，边套全明，高区采光好，有钥匙随时看', '新宏安大厦  | 2室2厅 | 107.97平米 | 南 | 简装 | 有电梯', '高楼层(共24层)1998年建塔楼  -  曹家渡', '830万', '单价76874元/平米')
('https://image1.ljcdn.com/310000-inspection/test-5680e7cf-b952-4733-a8c6-580424655304.png.296x216.jpg', '满五年少税费 | 业主处理资产 | 低价诚售 | 空间大', '远中风华园(公寓)  | 3室2厅 | 160.82平米 | 南 北 | 精装 | 有电梯', '低楼层(共20层)2006年建板楼  -  南京西路', '1840万', '单价114414元/平米')
('https://image1.ljcdn.com/310000-inspection/test-037288bd-b3fe-47d6-8c0a-59cca6ca381e.png.296x216.jpg', '静安豪景苑二期南北通厨卫全明大两房+外地房东诚意卖', '静安豪景苑  | 2室2厅 | 115.82平米 | 南 | 精装 | 有电梯', '低楼层(共39层)板楼  -  江宁路', '1400万', '单价120878元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170820/f95adccb-ef3d-46bb-b2c1-ead0441050ec.jpg.296x216.jpg', '闹市中安静三房 诚售价格 没有个税 采光好 看房好约', '锦安公寓  | 3室2厅 | 124.95平米 | 南 | 精装 | 有电梯', '低楼层(共24层)1996年建板楼  -  曹家渡', '890万', '单价71229元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170521/333fbe7e-7f5e-4e72-98d5-8cfe1ffabe6d.jpg.296x216.jpg', '主卧朝南 LOFT设计  看房随时 满五唯一', '君悦静安  | 1室1厅 | 55.5平米 | 南 | 精装 | 有电梯', '中楼层(共22层)2004年建塔楼  -  曹家渡', '480万', '单价86487元/平米')
('https://image1.ljcdn.com/310000-inspection/test-cae573ce-17cc-427c-bfd0-a0ef1219b21c.png.296x216.jpg', '南京西路，70年产权房，近恒隆广场，临梅陇镇，租金高', '骏豪国际  | 1室1厅 | 53.32平米 | 东南 | 精装 | 有电梯', '高楼层(共29层)2004年建塔楼  -  南京西路', '385万', '单价72206元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170831/3e699d33-d5a0-42f7-b32e-2f837cf44d4a.jpg.296x216.jpg', '满五年唯一住房+无.税+精户型装修+看房方便', '又一村(静安)  | 1室1厅 | 37.73平米 | 西南 | 精装 | 无电梯', '低楼层(共6层)1987年建板楼  -  江宁路', '385万', '单价102041元/平米')
('https://image1.ljcdn.com/310000-inspection/test-e3a135de-007a-4a1a-b1dd-1b46cf2afbd3.png.296x216.jpg', '业主诚售，自带双会所，精装带地暖空调，随时看', '远中风华园(公寓)  | 1室2厅 | 73.67平米 | 南 | 精装 | 有电梯', '低楼层(共25层)2006年建塔楼  -  南京西路', '800万', '单价108593元/平米')
('https://image1.ljcdn.com/x-se/hdic-resblock/b4062a9a-db93-492d-a8bd-276e6a456e89.jpg.296x216.jpg', '满五不唯一随时可看，装修简约采光好，不临街视野开阔', '德安大厦  | 2室1厅 | 99.25平米 | 南 | 简装 | 有电梯', '高楼层(共26层)1998年建塔楼  -  江宁路', '780万', '单价78590元/平米')
('https://image1.ljcdn.com/310000-inspection/test-41001b49-f19d-46b3-b93f-461b13422754.png.296x216.jpg', '全南两房、号楼层 满五唯一 看房我有钥', '万春小区  | 2室1厅 | 47.3平米 | 南 | 简装 | 无电梯', '中楼层(共5层)1984年建板楼  -  曹家渡', '550万', '单价116280元/平米')
