('https://image1.ljcdn.com/610100-inspection/a902211c-7f13-44c8-9142-b579e466a61e.jpg.296x216.jpg', '房龄比价新，南北通透；楼栋前面就有花园，精装修', '华远海蓝城三期  ', '中楼层(共33层)暂无数据  -  浐灞', '170万', '单价19199元/平米')
('https://image1.ljcdn.com/610100-inspection/26169bce-9b87-4c8f-b6bb-d5bf3259288e.jpg.296x216.jpg', '急售地铁口优质房源-西岸国际花园北苑', '西岸国际花园北苑  ', '高楼层(共18层)板楼  -  浐灞', '155万', '单价12070元/平米')
('https://image1.ljcdn.com/610100-inspection/c357c940-adde-4370-bfb9-bb3cf54014ba.jpg.296x216.jpg', '魏玛公馆 精装一室 楼 王位置 产权清晰 随时看房', '魏玛公馆  ', '高楼层(共24层)板塔结合  -  经开', '83万', '单价17336元/平米')
('https://image1.ljcdn.com/610100-inspection/a2d2c5b5-10ef-4e7b-a569-d3b00bb88ed2.jpg.296x216.jpg', '成熟小区三居两卫 满五满二 南北通透', '金桥太阳岛  ', '中楼层(共11层)暂无数据  -  城北', '140万', '单价12945元/平米')
('https://image1.ljcdn.com/610100-inspection/bcf2283c-2af4-48ab-af0f-fae25de84475.jpg.296x216.jpg', 'EE康城西区双地铁南北通透大两居', 'EE康城西区  ', '中楼层(共11层)板塔结合  -  经开', '160万', '单价15044元/平米')
('https://image1.ljcdn.com/610100-inspection/test-4180168d-b63e-48e5-bd85-add912b39b2e.png.296x216.jpg', '优质精装两室   满三满二   家具家电全送', '华远君城  ', '低楼层(共30层)塔楼  -  城北', '135万', '单价15518元/平米')
('https://image1.ljcdn.com/610100-inspection/1d91e8f2-06fb-4742-8e6a-8a8cbe21dd21.jpg.296x216.jpg', '满三满二，毛坯，地铁口，人车分流', '海璟印象城  ', '高楼层(共30层)板塔结合  -  浐灞', '158万', '单价12192元/平米')
('https://image1.ljcdn.com/610100-inspection/bf55450b-9b65-4659-a04d-ab013a6724e6.jpg.296x216.jpg', '华远小三居 带车位 户型方正朝南向 采光通透', '华远君城  ', '高楼层(共32层)塔楼  -  城北', '175万', '单价16161元/平米')
('https://image1.ljcdn.com/610100-inspection/6e654869-3344-42b9-8b90-db284222e541.jpg.296x216.jpg', '白桦林居经典小高层，南北通透三居室。', '白桦林居小区  ', '高楼层(共11层)塔楼  -  经开', '265万', '单价19282元/平米')
('https://image1.ljcdn.com/610100-inspection/a9c1d2c5-5809-434d-af58-400a856e6da5.jpg.296x216.jpg', '优质精装，满五满二，一居改小两居。', '华远君城  ', '中楼层(共26层)塔楼  -  城北', '92万', '单价15334元/平米')
('https://image1.ljcdn.com/610100-inspection/test-c402392c-e003-452c-bbe1-41059dbd918e.png.296x216.jpg', '满五满二 满五唯一 精装三室 近地铁交通便利', '恒大名都  ', '低楼层(共32层)板塔结合  -  浐灞', '145万', '单价15908元/平米')
('https://image1.ljcdn.com/610100-inspection/ad98f8ad-db65-439f-990a-bf94932126f1.jpg.296x216.jpg', '中海开元壹号三期  双地铁 南北通透 采光充足户型方正', '中海开元壹号  ', '中楼层(共34层)板塔结合  -  城北', '260万', '单价21067元/平米')
('https://image1.ljcdn.com/610100-inspection/test-317c2b3d-3aab-4e11-ba33-805c319f9fbc.png.296x216.jpg', '首创国际城 3室2卫 南北通透 配套齐全 交通便利', '首创国际城  ', '高楼层(共34层)板塔结合  -  经开', '160万', '单价17320元/平米')
('https://image1.ljcdn.com/610100-inspection/4dcf9371-3047-47ee-b700-44f155e98b16.jpg.296x216.jpg', '凤城十二路 首创国际城 纯南两居室 中间楼层 无遮挡', '首创国际城  ', '中楼层(共34层)板塔结合  -  经开', '145万', '单价16898元/平米')
('https://image1.ljcdn.com/610100-inspection/ad73af6d-85d0-45a1-88fe-fd8ff7278d07.jpg.296x216.jpg', '自住精装，靠谱出售，2梯6户型，东北朝向', '华远君城  ', '低楼层(共32层)板塔结合  -  城北', '140万', '单价16390元/平米')
('https://image1.ljcdn.com/610100-inspection/3179f018-5d27-41a1-b27b-b4586d8e3373.jpg.296x216.jpg', '满三满二税费低，业主急售，交通便利生活方便', '宏途星城  ', '低楼层(共32层)板塔结合  -  城北', '93万', '单价11803元/平米')
('https://image1.ljcdn.com/610100-inspection/76db04ae-e91f-48ee-b6ed-16bd3b87e91e.jpg.296x216.jpg', '华远君城 ，满五不满二，精装修，拎包入住', '华远君城  ', '低楼层(共32层)板塔结合  -  城北', '115万', '单价14613元/平米')
