('https://image1.ljcdn.com/320200-inspection/449f5ef2-f37c-48fa-bf06-d6c0f8dfa270.JPG.296x216.jpg', '扬名花园 3室2厅 99.8万', '扬名花园  ', '低楼层(共6层)板楼  -  扬名', '99.8万', '单价10732元/平米')
('https://image1.ljcdn.com/320200-inspection/961694a8-f6ca-43d7-8d3f-9d8a2a3d46ec.jpg.296x216.jpg', '九龙仓时代上城A区 3室2厅 168万', '九龙仓时代上城A区  ', '中楼层(共34层)板楼  -  中桥', '168万', '单价19967元/平米')
('https://image1.ljcdn.com/320200-inspection/04d2bb37-5b13-4f49-9260-b543f861843b.JPG.296x216.jpg', '九龙仓时代上城D区 3室1厅 215万', '九龙仓时代上城D区  ', '低楼层(共23层)板楼  -  中桥', '215万', '单价18053元/平米')
('https://image1.ljcdn.com/320200-inspection/08e67d6d-ed6a-4dc2-91b8-0f23ec2fc0be.JPG.296x216.jpg', '【链家真房源】阳光城市花园C区 三室二厅 满五唯一', '阳光城市花园C区  ', '低楼层(共13层)板塔结合  -  中桥', '335万', '单价23955元/平米')
('https://image1.ljcdn.com/320200-inspection/9e04f388-a2f3-4a93-9ace-082581bfd815.JPG.296x216.jpg', '九龙仓时代上城D区 4室2厅 260万', '九龙仓时代上城D区  ', '高楼层(共38层)板楼  -  中桥', '260万', '单价19118元/平米')
('https://image1.ljcdn.com/320200-inspection/10efc670-0d6a-4f06-a58f-bf0618104867.JPG.296x216.jpg', '优质毛坯小三房，户型方正，小区中间位置', '九龙仓时代上城A区  ', '中楼层(共34层)板楼  -  中桥', '155万', '单价18236元/平米')
('https://image1.ljcdn.com/320200-inspection/871629cb-21cd-405a-84de-a207bc5101e1.JPG.296x216.jpg', '金星苑 2室2厅 98万', '金星苑  ', '低楼层(共11层)板塔结合  -  中桥', '98万', '单价11808元/平米')
('https://image1.ljcdn.com/320200-inspection/e925fcb7-c8f7-427f-aa29-9d64e641deba.JPG.296x216.jpg', '【链家真房源】清扬御庭精装小2居 D铁旁配套齐全满2', '清扬御庭  ', '高楼层(共26层)板楼  -  清名桥', '145万', '单价20020元/平米')
('https://image1.ljcdn.com/320200-inspection/09640e85-46e8-4db4-8d1f-bd6eef214f90.JPG.296x216.jpg', '扬名花园 6室2厅 130万', '扬名花园  ', '高楼层(共6层)板楼  -  扬名', '130万', '单价6667元/平米')
('https://image1.ljcdn.com/320200-inspection/ac405cf6-66d7-4f1e-8eda-6e3c267a9a45.JPG.296x216.jpg', '扬名花园 4室2厅 120万', '扬名花园  ', '高楼层(共6层)板楼  -  扬名', '120万', '单价8732元/平米')
('https://image1.ljcdn.com/320200-inspection/04c6d3e2-7d40-4b71-aa8d-6f780b25b197.JPG.296x216.jpg', '清扬御庭 2室1厅 133万', '清扬御庭  ', '高楼层(共26层)板楼  -  清名桥', '133万', '单价18909元/平米')
