('https://image1.ljcdn.com/210200-inspection/test-ab5c69e1-c5ba-429c-bbe6-9c42b63d3ecf.png.296x216.jpg', '热岛黄 金海岸南北两室客厅带阳台价格低清水房有钥匙', '热岛黄金海岸  | 2室1厅 | 88.98平米 | 南 北 | 毛坯 | 有电梯', '低楼层(共34层)2010年建板楼  -  华润海中国', '92万', '单价10340元/平米')
('https://image1.ljcdn.com/210200-inspection/test-d0dcc23b-0f2e-4810-9cc4-0017de4cf57e.png.296x216.jpg', '华润五期 封闭小区 精美装修 南北通透 五明户型', '华润海中国五期  | 2室1厅 | 102.49平米 | 南 北 | 其他 | 有电梯', '低楼层(共34层)2015年建板楼  -  华润海中国', '160万', '单价15612元/平米')
('https://image1.ljcdn.com/210200-inspection/test-34e4005e-d5d0-4d91-a0a9-d1e1e781466b.png.296x216.jpg', '房子精装修  全天采光 近市场  近车站', '远洋时代城四期  | 2室1厅 | 74.63平米 | 南 | 精装 | 有电梯', '低楼层(共25层)2012年建板楼  -  高城山', '61万', '单价8174元/平米')
('https://image1.ljcdn.com/210200-inspection/test-03f3ff7a-9219-48fe-9c43-44623fb1e9a2.png.296x216.jpg', '湾里南四期房龄，精装两室一厅，保持很好，不挡光', '湾里南小区  | 2室1厅 | 79平米 | 南 北 | 其他 | 有电梯', '低楼层(共11层)2003年建板楼  -  金湾新城', '71万', '单价8988元/平米')
('https://image1.ljcdn.com/210200-inspection/test-6c0fb23d-3401-4019-9752-2fd51205ad57.png.296x216.jpg', '南北卧室通透 精装修低楼层东客厅180度采光', '海富经典  | 2室2厅 | 82.98平米 | 南 北 | 其他 | 有电梯', '低楼层(共28层)2009年建板塔结合  -  海富', '84.8万', '单价10220元/平米')
('https://image1.ljcdn.com/210200-inspection/aeabd4c7-fa0e-465c-a09d-4cf232a159db.jpg.296x216.jpg', '东城四室精装修，低！低！低！急！', '东城天下  | 4室2厅 | 112.78平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2005年建板楼  -  东城', '92万', '单价8158元/平米')
('https://image1.ljcdn.com/210200-inspection/9ddfb39b-dcc6-4326-911f-af27244fa371.jpg.296x216.jpg', '翠竹南里 南北通透 超低单价 教育配套好', '爱我家园  | 4室2厅 | 171平米 | 南 北 | 简装 | 无电梯', '中楼层(共5层)1998年建板楼  -  红梅翠竹', '138万', '单价8071元/平米')
('https://image1.ljcdn.com/210200-inspection/test-e1ddca70-54b4-4440-aaac-af78e4e9b8fc.png.296x216.jpg', '红星海二期两室两厅  可改三室  海景房', '红星海二期视界  | 2室2厅 | 103.82平米 | 南 | 毛坯 | 有电梯', '中楼层(共32层)2012年建塔楼  -  红星海', '135万', '单价13004元/平米')
('https://image1.ljcdn.com/210200-inspection/test-9cc89f93-a308-46f5-9a1b-2420a6150ea6.png.296x216.jpg', '金湾山城 南北通厅通透 采光好', '金湾山城  | 3室2厅 | 87.57平米 | 南 北 | 毛坯', '高楼层(共9层)2018年建板楼  -  金湾新城', '78.8万', '单价8999元/平米')
('https://image1.ljcdn.com/210200-inspection/test-f618436f-a282-4a70-b9e5-abf76f7ec010.png.296x216.jpg', '红星海 两室户型 大开间 海景房', '红星海一期城市别馆  | 2室1厅 | 112平米 | 南 | 精装 | 有电梯', '低楼层(共32层)2012年建板楼  -  红星海', '158万', '单价14108元/平米')
('https://image1.ljcdn.com/210200-inspection/test-d3db30b2-af7a-474f-ba99-26ee071c6218.png.296x216.jpg', '杏花里 两室一厅 家电家具齐全 干净整洁 南北向采光好', '杏花里  | 2室1厅 | 59.62平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)1993年建板楼  -  杏花里', '45万', '单价7548元/平米')
