('https://image1.ljcdn.com/120000-inspection/7a4be67e-0ccb-47ba-b52b-cc33893db1b1.jpg.296x216.jpg', '水运名苑 三楼 采光充足 ，拎包入住', '水运名苑  | 1室1厅 | 68.62平米 | 南 北 | 简装 | 无电梯', '中楼层(共5层)板楼  -  新开河', '190万', '单价27689元/平米')
('https://image1.ljcdn.com/120000-inspection/bdb70b13-625c-4356-a53d-e2f4935dfe96.jpg.296x216.jpg', '格调艺术领地 精装修一室全明户型 楼层适中 诚意出售', '格调艺术领地  | 1室1厅 | 71.46平米 | 南 北 | 精装 | 有电梯', '中楼层(共30层)板楼  -  新开河', '210万', '单价29388元/平米')
('https://image1.ljcdn.com/120000-inspection/9d7467fe-a33c-4b85-b7cc-9cc4261da2dd.jpg.296x216.jpg', '金蕾花园 1楼 H户型南北通透 带车位  一般装修 无抵押', '金蕾花园  | 2室1厅 | 101.08平米 | 南 北 | 简装', '低楼层(共6层)板楼  -  望海楼', '360万', '单价35616元/平米')
('https://image1.ljcdn.com/120000-inspection/e9da4bee-069c-40e2-ace4-7c826e00e0ea.jpg.296x216.jpg', '盛泰嘉园 采光充足 拎包入住 交通便利', '盛泰嘉园  | 2室1厅 | 66.74平米 | 东南 北 | 简装 | 有电梯', '中楼层(共28层)板楼  -  新开河', '160万', '单价23974元/平米')
('https://image1.ljcdn.com/120000-inspection/60458a94-39b0-4f4f-91e5-e0d0f29648cf.jpg.296x216.jpg', '配套较齐 采光较好  干净整洁', '大江北里  | 1室1厅 | 38.4平米 | 南 | 精装 | 无电梯', '高楼层(共6层)板楼  -  月牙河', '81万', '单价21094元/平米')
('https://image1.ljcdn.com/120000-inspection/30afe4f5-9d9d-4113-bff3-f90b5e671efc.jpg.296x216.jpg', '志成东里  环境安逸  交通便利  设施齐全', '志成东里  | 2室1厅 | 53.9平米 | 南 北 | 毛坯 | 无电梯', '高楼层(共5层)板楼  -  铁东路', '128万', '单价23748元/平米')
('https://image1.ljcdn.com/120000-inspection/5b08d9d1-3902-4671-b917-85eeb8b96a7a.jpg.296x216.jpg', '采光好 税点低 交通便利   视野开阔', '盛泰嘉园  | 1室1厅 | 51.37平米 | 南 | 简装 | 有电梯', '高楼层(共20层)板楼  -  新开河', '132万', '单价25696元/平米')
('https://image1.ljcdn.com/120000-inspection/4516508c-0a96-411f-bd4a-ed131861e698.jpg.296x216.jpg', '宇萃里 1室1厅 92万', '宇萃里  | 1室1厅 | 41.98平米 | 西 | 其他 | 无电梯', '中楼层(共6层)板楼  -  王串场', '92万', '单价21916元/平米')
('https://image1.ljcdn.com/120000-inspection/e7940e79-0b11-4729-b59b-fd45b74cfb90.jpg.296x216.jpg', '金田花园 1室1厅 132万', '金田花园  | 1室1厅 | 57.25平米 | 东 | 其他 | 无电梯', '高楼层(共7层)板楼  -  望海楼', '132万', '单价23057元/平米')
('https://image1.ljcdn.com/120000-inspection/d8f3a258-9495-47ac-beda-082526e8932b.jpg.296x216.jpg', '胜景花园 六楼到顶带阁楼 有钥匙随时看房', '胜景花园  | 2室2厅 | 92.56平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)板楼  -  铁东路', '260万', '单价28090元/平米')
('https://image1.ljcdn.com/120000-inspection/753bf21b-8871-4a90-9b0f-b18971ea4875.jpg.296x216.jpg', '金波里 商品院 中楼层两室夹厅 厅大好用', '金波里  | 2室1厅 | 79.15平米 | 东 西 | 其他 | 无电梯', '中楼层(共7层)板楼  -  望海楼', '239万', '单价30196元/平米')
