('https://image1.ljcdn.com/440300-inspection/bc1ca591-eb5d-407d-bece-ea5c912b17a6.jpg.296x216.jpg', '光明一号高楼层朝花园的四房，改善型住宅', '光明1号  | 4室2厅 | 121.68平米 | 东南 | 毛坯', '高楼层(共33层)2015年建板塔结合  -  公明', '475万', '单价39037元/平米')
('https://image1.ljcdn.com/440300-inspection/7131a0de-c11a-4348-9726-baf2e1b4fec4.jpg.296x216.jpg', '此房满五年 一手业主 南北通 采光好 户型方正', '宏发美域  | 6室4厅 | 191.45平米 | 南 北 | 精装', '低楼层(共16层)2009年建暂无数据  -  公明', '900万', '单价47010元/平米')
('https://image1.ljcdn.com/440300-inspection/019701af-1c5e-4cc5-bbe4-7f43fabdb61e.jpg.296x216.jpg', '光明峰荟 5室2厅 540万', '光明峰荟  | 5室2厅 | 140.31平米 | 东南 | 其他 | 有电梯', '高楼层(共36层)2016年建板塔结合  -  公明', '540万', '单价38487元/平米')
('https://image1.ljcdn.com/440300-inspection/f9b34763-26af-4a37-b519-e6699cd40597.jpg.296x216.jpg', '满5年唯一！通透户型！双阳台！朝南户型！', '宏发雍景城  | 3室2厅 | 101.34平米 | 南 | 精装', '中楼层(共6层)2005年建板塔结合  -  公明', '390万', '单价38485元/平米')
('https://image1.ljcdn.com/440300-inspection/fa6854ad-c20e-48f0-9a2f-878ac69728c3.jpg.296x216.jpg', '光明一号  实用三房 朝南向 户型方正通透', '光明1号  | 3室2厅 | 81.25平米 | 西南 | 毛坯', '低楼层(共32层)2016年建板塔结合  -  公明', '350万', '单价43077元/平米')
('https://image1.ljcdn.com/440300-inspection/489e95bc-36fa-4832-859c-be86e223e936.jpg.296x216.jpg', '光明1号 3室2厅 368万', '光明1号  | 3室2厅 | 81.25平米 | 东南 | 其他', '中楼层(共32层)板塔结合  -  公明', '368万', '单价45293元/平米')
('https://image1.ljcdn.com/440300-inspection/8ed0f9dd-1467-4fab-adc0-74d75babac3c.jpg.296x216.jpg', '光明1号 3室2厅 360万', '光明1号  | 3室2厅 | 82.73平米 | 西南 | 精装', '中楼层(共33层)2016年建板塔结合  -  公明', '360万', '单价43516元/平米')
('https://image1.ljcdn.com/440300-inspection/81e5884d-1b1c-481b-a87c-c51ece5f62ee.jpg.296x216.jpg', '宏发嘉域带装修公寓，首付五成。', '宏发嘉域  | 1室1厅 | 45.73平米 | 东南 | 其他', '高楼层(共27层)板塔结合  -  公明', '140万', '单价30615元/平米')
('https://image1.ljcdn.com/440300-inspection/db464070-fd21-4804-88b3-327f395feb98.jpg.296x216.jpg', '光明1号 1室1厅 168万', '光明1号  | 1室1厅 | 47.82平米 | 北 | 其他', '高楼层(共22层)2016年建板塔结合  -  公明', '168万', '单价35132元/平米')
('https://image1.ljcdn.com/440300-inspection/5368b00b-b883-47c5-9184-b081ee174e22.jpg.296x216.jpg', '正兆景嘉园 3室2厅 338万', '正兆景嘉园  | 3室2厅 | 88.61平米 | 东南 | 其他', '高楼层(共16层)2016年建暂无数据  -  公明', '338万', '单价38145元/平米')
('https://image1.ljcdn.com/440300-inspection/de1018d8-ebb2-46c0-a7d2-ea8f9023791d.jpg.296x216.jpg', '光明1号 3室2厅 400万', '光明1号  | 3室2厅 | 83.56平米 | 东南 | 其他', '低楼层(共33层)2017年建板塔结合  -  公明', '400万', '单价47870元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/2f1c27e0-41b1-496f-a8da-41331616ad4d.png.280x210.jpg', '光明1号 3室2厅 380万', '光明1号  | 3室2厅 | 88.42平米 | 东南 | 其他', '高楼层(共33层)2015年建板塔结合  -  公明', '380万', '单价42977元/平米')
('', '宏发上域 1室1厅 230万', '宏发上域  | 1室1厅 | 45.62平米 | 东 | 其他 | 有电梯', '中楼层(共17层)2012年建板塔结合  -  公明', '230万', '单价50417元/平米')
('', '光明1号 3室2厅 350万', '光明1号  | 3室2厅 | 83.56平米 | 南 | 其他', '低楼层(共33层)2017年建板塔结合  -  公明', '350万', '单价41887元/平米')
('', '宏发上域 1室1厅 210万', '宏发上域  | 1室1厅 | 45.36平米 | 东 | 其他 | 有电梯', '高楼层(共17层)2012年建板塔结合  -  公明', '210万', '单价46297元/平米')
('', '2015年的新小区 小区环境优美 地铁口6号线', '光明峰荟  | 3室2厅 | 89.1平米 | 东南 | 其他', '低楼层(共40层)2016年建板塔结合  -  公明', '350万', '单价39282元/平米')
('', '2015年新小区.精装修两房，电梯高楼层视野好.', '光明峰荟  | 2室2厅 | 67.24平米 | 东南 | 其他', '高楼层(共40层)2016年建板塔结合  -  公明', '300万', '单价44617元/平米')
('', '南星大厦 4室2厅 310万', '南星大厦  | 4室2厅 | 121.32平米 | 东南 | 其他', '低楼层(共17层)2001年建暂无数据  -  公明', '310万', '单价25553元/平米')
('', '宏发雍景城 2室2厅 340万', '宏发雍景城  | 2室2厅 | 81.43平米 | 南 | 精装', '低楼层(共17层)2005年建板塔结合  -  公明', '340万', '单价41754元/平米')
('', '深房传麒山西区 8室4厅 2000万', '深房传麒山西区  | 8室4厅 | 278.25平米 | 南 北 | 其他 | 无电梯', '低楼层(共2层)2013年建板楼  -  公明', '2000万', '单价71878元/平米')
('', '电梯高层   大平层5房   南北通风  有钥匙  户型好', '光明峰荟  | 5室2厅 | 131.18平米 | 南 北 | 其他 | 有电梯', '高楼层(共36层)2016年建板塔结合  -  公明', '520万', '单价39641元/平米')
('', '光明峰荟 3室2厅 400万', '光明峰荟  | 3室2厅 | 89.07平米 | 东南 | 毛坯 | 有电梯', '中楼层(共40层)2016年建板塔结合  -  公明', '400万', '单价44909元/平米')
('', '带装修公寓，好出租，生活配套齐全', '宏发嘉域  | 1室1厅 | 56.56平米 | 东南 | 其他', '高楼层(共27层)2016年建板塔结合  -  公明', '150万', '单价26521元/平米')
