('https://image1.ljcdn.com/shfdfs-image/20171002/5fba7030-d094-486c-9b4f-c77fe80af92e.jpg.296x216.jpg', '格局好.精装修拎包入住，视野开阔', '茸联苑  | 3室2厅 | 125平米 | 南 | 简装 | 无电梯', '低楼层(共6层)2007年建板楼  -  松江老城', '398万', '单价31840元/平米')
('https://image1.ljcdn.com/310000-inspection/6a0fcd9d-5788-477b-b1af-989b89f63376.jpg.296x216.jpg', '昌鑫17复18，鸟瞰松江景观房+视野开阔 唯一一套', '昌鑫花园(公寓)  | 4室2厅 | 171.13平米 | 南 | 毛坯 | 有电梯', '高楼层(共17层)2007年建板楼  -  松江新城', '618万', '单价36113元/平米')
('https://image1.ljcdn.com/310000-inspection/d23f9fa1-50a3-4c54-81d5-0043e70a133c.jpg.296x216.jpg', '润和苑 精装大两房 南北通透 满五唯一税少', '润和苑  | 2室2厅 | 94.2平米 | 南 北 | 精装 | 无电梯', '中楼层(共5层)2002年建板楼  -  泗泾', '320万', '单价33971元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170305/34cc5f3d-e68e-4baf-a569-35a211bf9b46.jpg.296x216.jpg', '精装修小户型，景观楼层满五年，业主诚心出售', '同润菲诗艾伦  | 1室1厅 | 56.59平米 | 西 | 精装 | 有电梯', '中楼层(共16层)2010年建塔楼  -  泗泾', '182万', '单价32162元/平米')
('https://image1.ljcdn.com/310000-inspection/test-642a7c00-5d9f-4366-8e40-23c5b180c1f5.png.296x216.jpg', '满五唯一，二次装修保养好，拎包即可入住', '奥林匹克花园  | 2室2厅 | 83.49平米 | 南 北 | 精装 | 有电梯', '中楼层(共16层)2006年建板楼  -  九亭', '358万', '单价42880元/平米')
('https://image1.ljcdn.com/310000-inspection/f3798a9a-286b-4afb-ba30-b73dc80c55c4.jpg.296x216.jpg', '润江花苑 泗泾站 随时看房 采光好，不临街，视野开阔', '润江花苑  | 2室2厅 | 90.11平米 | 南 | 毛坯 | 有电梯', '高楼层(共25层)2011年建塔楼  -  泗泾', '269万', '单价29853元/平米')
('https://image1.ljcdn.com/310000-inspection/test-04cd4429-230d-4b6d-9cec-715d4598f7af.png.296x216.jpg', '荣乐小区 近9号线 双南少见户型，看房随时 先到先得', '荣乐小区  | 2室1厅 | 56.64平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1986年建板楼  -  松江老城', '200万', '单价35311元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload71ae4d43-3b17-4931-87d5-3f78fd948bc6.jpg.296x216.jpg', '专业设计 体验精装修次新房 自主保养好  诚心出售', '维罗纳贵都  | 2室2厅 | 106.86平米 | 南 | 精装 | 有电梯', '低楼层(共8层)2007年建板楼  -  松江老城', '380万', '单价35561元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160105/4fc2be18-d5bc-4856-b86b-f798783390b5.jpg.296x216.jpg', '南临河独栋别墅，南花园350平方，有钥匙随时看房', '合生国际花园   | 独栋别墅 | 4室2厅 | 451平米 | 北 | 毛坯 | 无电梯', '2层2010年建板楼  -  新桥', '1450万', '单价32151元/平米')
('https://image1.ljcdn.com/310000-inspection/2bf64696-b00b-4179-abf9-1a0683a7389b.jpg.296x216.jpg', '3房2厅2卫+南北直通+一梯一户洋房', '首创锦悦  | 3室2厅 | 99.45平米 | 南 | 其他 | 无电梯', '低楼层(共6层)2015年建板楼  -  松江大学城', '420万', '单价42233元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170906/abf5d3b1-d6dd-4e6a-b5e2-7d115415f4dd.jpg.296x216.jpg', '民乐小区150平大410万三房，高.性.价.比', '民乐一村  | 3室2厅 | 150.46平米 | 南 | 精装 | 无电梯', '低楼层(共6层)1998年建板楼  -  松江老城', '410万', '单价27250元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload6cd06e3e-d19a-4743-a1fa-10eab45d5e14.jpg.296x216.jpg', '南北通三房，得房率高，采光佳，热闹地段', '九亭教师楼  | 3室2厅 | 102平米 | 南 | 精装 | 无电梯', '中楼层(共5层)2000年建板楼  -  九亭', '335万', '单价32844元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170501/117e458e-2c3e-4696-af10-533ef4dfa284.jpg.296x216.jpg', '民乐四村 送大院子 近地铁 诚意房源', '民乐四村  | 2室1厅 | 79平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1997年建板楼  -  松江老城', '265万', '单价33545元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170703/0fcea2d2-e9f3-44b4-a165-9330929416d0.jpg.296x216.jpg', '面宽16米 全房朝南 集中大花园独栋别墅 主干道位置', '伊莎士花园   | 独栋别墅 | 4室2厅 | 275.19平米 | 南 | 精装 | 无电梯', '2层板楼  -  莘闵别墅', '1285万', '单价46696元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161013/5547277e-0024-4b8b-bd95-75e3df92892b.jpg.296x216.jpg', '满五唯一税少，采光好，南北直通，学qu房，含自行车库', '文翔名苑(公寓)  | 3室2厅 | 89.41平米 | 南 北 | 精装 | 无电梯', '低楼层(共5层)2009年建板楼  -  松江大学城', '320万', '单价35791元/平米')
('https://image1.ljcdn.com/310000-inspection/test-a704e728-9da5-4834-8558-c46e2c17d818.png.296x216.jpg', '108平户型，南北通透，户型好改动，随时可看。', '金港花园(公寓)  | 2室2厅 | 108.46平米 | 南 北 | 毛坯 | 有电梯', '低楼层(共14层)2007年建板楼  -  泗泾', '350万', '单价32270元/平米')
('https://image1.ljcdn.com/310000-inspection/test-673790b1-a62e-4fea-b435-dff03cf7375a.png.296x216.jpg', '新凯家园五期，边套诚意出售，小区中间位置好楼层', '塘和家园德悦苑  | 2室1厅 | 68.37平米 | 南 | 毛坯', '低楼层(共18层)2015年建板楼  -  泗泾', '205万', '单价29984元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160312/bb60498d-d4ea-4a9f-86b5-8d9a5b4cdc42.jpg.296x216.jpg', '实用两房，房东诚意，户型佳，得房率高。', '世纪新城  | 2室2厅 | 89.06平米 | 南 | 简装 | 有电梯', '低楼层(共11层)2003年建板楼  -  松江新城', '295万', '单价33124元/平米')
('https://image1.ljcdn.com/310000-inspection/672481da-6f47-4a3f-b0dd-81c11739924d.jpg.296x216.jpg', '三房朝南 满五唯一 电梯房 保养好 税费低  诚心出售', '奥林匹克花园  | 3室2厅 | 124.65平米 | 南 | 精装 | 有电梯', '低楼层(共11层)2007年建板楼  -  九亭', '498万', '单价39952元/平米')
('https://image1.ljcdn.com/310000-inspection/test-251718c9-5543-4eec-b19c-7fc60c2c48e2.png.296x216.jpg', '绿庭新出正气小2房 精装 中高楼层 满五唯一 诚意出售', '绿庭尚城  | 1室2厅 | 68.6平米 | 南 | 其他 | 有电梯', '中楼层(共27层)2008年建板楼  -  九亭', '315万', '单价45919元/平米')
('https://image1.ljcdn.com/310000-inspection/test-98a761fe-ffd4-4470-8dc9-301b09630670.png.296x216.jpg', '花园浜小区 2室2厅 270万', '花园浜小区  | 2室2厅 | 86.33平米 | 南 | 精装 | 无电梯', '中楼层(共6层)2004年建板楼  -  松江老城', '270万', '单价31276元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170314/b094497a-68ae-4c69-9137-4dae5801a403.jpg.296x216.jpg', '精装修两房，送产权车位，满五年唯一，随时看房', '同润加州(公寓)  | 2室2厅 | 94.83平米 | 南 | 精装 | 无电梯', '中楼层(共5层)2005年建板楼  -  莘闵别墅', '340万', '单价35854元/平米')
('https://image1.ljcdn.com/310000-inspection/153b1c15-5f51-47d1-86d6-33ebad4fa757.jpg.296x216.jpg', '海派青城 精装下叠加别墅 带大花园 位置好停车方便', '海派青城  | 2室1厅 | 86.35平米 | 南 | 其他 | 无电梯', '低楼层(共2层)2009年建板楼  -  新桥', '265万', '单价30690元/平米')
('https://image1.ljcdn.com/310000-inspection/test-d552076f-2800-4860-842a-9227c258edac.png.296x216.jpg', '带产权车位+高区采光+三面环水+送全部家电满5年', '上海源花城  | 3室2厅 | 135.33平米 | 南 北 | 精装 | 有电梯', '高楼层(共17层)2006年建板楼  -  九亭', '470万', '单价34730元/平米')
('https://image1.ljcdn.com/310000-inspection/test-72034e91-98c8-41f7-bbdb-d7c8633d6aed.png.296x216.jpg', '二期前排位置，满五年唯一，业主出国变现，现在急售', '三湘四季花城  | 2室2厅 | 91.88平米 | 南 | 毛坯 | 有电梯', '低楼层(共18层)2007年建板楼  -  松江大学城', '388万', '单价42229元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170708/eedc4f47-8e6f-486d-9657-9f14c451097a.jpg.296x216.jpg', '精装全明 采光好 满五唯一税费少 上师大 随时看房', '天虹一村  | 2室2厅 | 82.96平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1994年建板楼  -  松江新城', '245万', '单价29533元/平米')
('https://image1.ljcdn.com/310000-inspection/07be5143-b725-4f4d-9692-7836a9382a6e.jpg.296x216.jpg', '润景苑舒适大3房，房东诚意出售，看房随时', '润景苑  | 3室2厅 | 140平米 | 南 | 精装 | 无电梯', '中楼层(共6层)2009年建板楼  -  新桥', '400万', '单价28572元/平米')
('https://image1.ljcdn.com/310000-inspection/test-9548ae1e-78c6-455e-a12b-4c7ddbb69b5a.png.296x216.jpg', '看房方便 繁华地段 东靠地中海 西靠东鼎商场 南靠公园', '阳光翠庭  | 3室2厅 | 144.82平米 | 南 北 | 毛坯 | 有电梯', '低楼层(共18层)2005年建板楼  -  松江新城', '410万', '单价28312元/平米')
('https://image1.ljcdn.com/310000-inspection/test-426f631e-ea01-453f-8dbb-210aed2f221d.png.296x216.jpg', '保利新挂牌 靠南门 南北通透毛坯房 有钥匙随时可看', '保利西子湾  | 2室2厅 | 90.34平米 | 南 北 | 毛坯 | 有电梯', '低楼层(共14层)2008年建板楼  -  松江大学城', '355万', '单价39296元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170317/6062a700-a5dc-48d2-8be1-016985255bdd.jpg.296x216.jpg', '三星苑双南房户型，得房率高，成熟商圈，少税诚售', '三星苑  | 2室2厅 | 91.03平米 | 南 | 精装 | 无电梯', '中楼层(共5层)2007年建板楼  -  松江老城', '300万', '单价32957元/平米')
('https://image1.ljcdn.com/310000-inspection/b6a524da-00fd-4c14-8168-3a780676cdbb.jpg.296x216.jpg', '出行便利 景观房 精装两房 满五唯一税费少 诚心出售', '西新苑  | 2室1厅 | 69.54平米 | 南 | 简装', '低楼层(共11层)2007年建板楼  -  松江老城', '235万', '单价33794元/平米')
('https://image1.ljcdn.com/310000-inspection/test-8ee5c5cb-ec30-4e55-86cb-8192ae82f726.png.296x216.jpg', '佘山始发站房子一手动迁 满五为一 只需缴契税', '新凯一期  | 2室1厅 | 79.49平米 | 南 | 简装 | 无电梯', '低楼层(共6层)2006年建板楼  -  泗泾', '254万', '单价31954元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171015/fce63b30-26fb-4c7b-9f73-080ba2604752.jpg.296x216.jpg', '金地自在城(二期) 3室2厅 372万', '金地自在城(二期)  | 3室2厅 | 94平米 | 暂无数据 | 精装 | 有电梯', '中楼层(共18层)2015年建板楼  -  泗泾', '372万', '单价39575元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170520/73872b75-8e4a-4555-9aef-7c601ab05ec7.jpg.296x216.jpg', '南兰桥公寓  大三房  房型正气  南北通透  满5唯一', '兰桥公寓  | 3室2厅 | 128.5平米 | 南 | 精装 | 无电梯', '低楼层(共5层)2002年建板楼  -  松江新城', '420万', '单价32685元/平米')
('https://image1.ljcdn.com/310000-inspection/test-54e4102a-76a2-4166-a20f-9add033c5738.png.296x216.jpg', '古楼新苑 装修自住一室户 朝南采光充足 业主诚心出售', '古楼新苑  | 1室1厅 | 64.03平米 | 南 | 精装 | 有电梯', '中楼层(共14层)2013年建板楼  -  泗泾', '220万', '单价34359元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170813/b79f33b4-9a3f-4399-a35b-534d617fa290.jpg.296x216.jpg', '看房电话13671843937 景观房临河，南北通3房', '朗庭上郡苑(公寓)  | 2室2厅 | 89.03平米 | 南 北 | 毛坯 | 有电梯', '低楼层(共8层)2010年建板楼  -  九亭', '318万', '单价35719元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploade201cabf-3327-4bf8-8850-1fa0433351e9.JPG.296x216.jpg', '沿海新降价房源  地上三层的别墅  满五唯一 税少', '沿海丽水馨庭(别墅)   | 叠拼别墅 | 3室2厅 | 172.8平米 | 北 | 简装 | 无电梯', '下叠(共4层)2007年建板楼  -  莘闵别墅', '610万', '单价35301元/平米')
('https://image1.ljcdn.com/shfdfs-image/20150513/c9649f1c-3132-4738-a6aa-8f1e682ba079.jpg.296x216.jpg', '满五唯一省个税，近3万方公园.双南大房间，采光好', '珠江新城  | 2室2厅 | 102.57平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2005年建板楼  -  松江新城', '305万', '单价29736元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170514/7aaa13d0-e362-476c-a346-d5a5a23b1fce.jpg.296x216.jpg', '新城地铁站少出的一复二户型，价格低两南两北，带花园', '鼎信公寓  | 4室2厅 | 160平米 | 南 北 | 精装 | 无电梯', '低楼层(共3层)2002年建板楼  -  松江新城', '610万', '单价38125元/平米')
('https://image1.ljcdn.com/310000-inspection/5b5386e2-a303-4a42-9f23-4e6dce104213.jpg.296x216.jpg', '地铁九号线，满五唯一，装修，配套齐全，视野开阔！', '新凯一期  | 2室1厅 | 77.83平米 | 南 | 精装 | 有电梯', '中楼层(共14层)2006年建板楼  -  泗泾', '268万', '单价34435元/平米')
('https://image1.ljcdn.com/shfdfs-image/20151223/9524ba21-e441-4c4f-b353-54b26067735d.jpg.296x216.jpg', '南花园150平方，满五年唯一，有钥匙随时看房', '合生国际花园   | 双拼别墅 | 4室2厅 | 360平米 | 北 | 毛坯 | 无电梯', '3层2010年建板楼  -  新桥', '920万', '单价25556元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160629/8e9f0ac7-b3e0-4ac3-ba3b-3f99c5f61f42.jpg.296x216.jpg', '三湘四季花城，正气两房，南北户型，配套成熟', '三湘四季花城  | 2室2厅 | 100.91平米 | 南 | 精装 | 有电梯', '高楼层(共14层)2006年建板楼  -  松江大学城', '450万', '单价44595元/平米')
('https://image1.ljcdn.com/310000-inspection/b394800d-0775-45cd-8071-9ec7a50128b6.jpg.296x216.jpg', '丽水豪庭 2室2厅 245万', '丽水豪庭  | 2室2厅 | 76.97平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2006年建板楼  -  泗泾', '245万', '单价31831元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170830/1341c9ad-1ceb-4a53-b245-926396da6b46.jpg.296x216.jpg', '同润山河小城，9号线，精装两房，税费少，价格可谈', '同润菲诗艾伦  | 2室1厅 | 66.21平米 | 南 | 精装 | 有电梯', '低楼层(共17层)2010年建塔楼  -  泗泾', '228万', '单价34436元/平米')
('https://image1.ljcdn.com/310000-inspection/test-fb227ebc-f87d-4193-862b-4f368e2dcf9a.png.296x216.jpg', '小区交通便捷+看房有钥匙+全南户型采光足', '奥林匹克花园  | 1室2厅 | 67.34平米 | 南 北 | 精装 | 有电梯', '低楼层(共10层)2008年建板楼  -  九亭', '285万', '单价42323元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160628/dd19d2cd-c435-4eb4-9d7f-920a3a7c779c.jpg.296x216.jpg', '新凯家园一期 精装自住 看房方便诚心出售', '新凯一期  | 3室2厅 | 94.5平米 | 南 | 精装 | 无电梯', '中楼层(共5层)2008年建板楼  -  泗泾', '316万', '单价33440元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160304/646b5b9c-83fd-4676-98b5-0560da5e7b21.jpg.296x216.jpg', '小区楼WANG位置+中间楼层+看房随时', '中大九里德(公寓)  | 2室2厅 | 87.45平米 | 南 | 精装 | 有电梯', '中楼层(共14层)2011年建板楼  -  九亭', '400万', '单价45741元/平米')
('https://image1.ljcdn.com/310000-inspection/26c5cc60-0fb2-4a0c-a422-21d3ee793818.jpg.296x216.jpg', '维罗纳贵都  70年产权 上学方便 带钥匙  看房随时', '维罗纳贵都  | 1室1厅 | 35.56平米 | 南 | 简装 | 无电梯', '低楼层(共6层)2008年建板楼  -  松江老城', '126万', '单价35434元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171126/471904d3-c328-4374-8170-dcafdf960df7.jpg.296x216.jpg', '白云新村 1室1厅 116万', '白云新村  | 1室1厅 | 32.92平米 | 暂无数据 | 简装 | 无电梯', '中楼层(共6层)1986年建板楼  -  松江老城', '116万', '单价35237元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170918/8d12fdf6-8778-4c8a-b5a0-6bf6f91e660e.jpg.296x216.jpg', '茸北好房 一楼带院子， 采光非 常好 ，小区位置安静', '天虹四村  | 2室1厅 | 80平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1996年建板楼  -  松江新城', '250万', '单价31250元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170927/24f8950f-3e8b-41c0-a40f-3fa907bc6eee.jpg.296x216.jpg', '新桥镇七十年产权住宅、一改二、随时看房', '万宇阳光苑  | 1室1厅 | 63.68平米 | 南 | 精装 | 有电梯', '高楼层(共17层)2009年建塔楼  -  新桥', '206万', '单价32350元/平米')
('https://image1.ljcdn.com/310000-inspection/599576bb-08fe-42df-a3fc-46ce25ae7f99.jpg.296x216.jpg', '小区稀有G4户型带阁楼 可做50平左右 自行设计改造', '同润菲诗艾伦  | 3室2厅 | 88.94平米 | 南 | 简装 | 有电梯', '高楼层(共16层)2011年建板楼  -  泗泾', '325万', '单价36542元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161225/78d81667-a210-4105-93c3-e383f1ab192c.jpg.296x216.jpg', '江秋新苑品质小区，总价低，交通便利，配套齐全', '江秋新苑(公寓)  | 3室2厅 | 134.32平米 | 南 | 精装 | 无电梯', '中楼层(共5层)2013年建板楼  -  佘山', '308万', '单价22931元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170430/c2a0038e-800b-43d4-bd64-a75073701ff2.jpg.296x216.jpg', '9号大学城站精装一房，带大花园，看房方便', '绿地蔷薇九里(公寓)  | 1室1厅 | 62.36平米 | 南 | 精装 | 有电梯', '低楼层(共11层)2011年建板楼  -  松江大学城', '295万', '单价47306元/平米')
('https://image1.ljcdn.com/310000-inspection/test-7babaedf-6ffb-4646-a5f3-d9a65aac0c8c.png.296x216.jpg', '诚意出售 纯毛坯房 房型正气 交通便利！ ！！', '东鼎名人府邸  | 4室2厅 | 245.09平米 | 南 | 毛坯 | 有电梯', '低楼层(共25层)2013年建板楼  -  松江新城', '800万', '单价32642元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161225/7b277e31-ffba-40ac-a774-aa32ceaf6fda.jpg.296x216.jpg', '保利西子湾 精装自住 近万达、三湘财富广场  看房方便', '保利西子湾  | 2室2厅 | 89.03平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2009年建板楼  -  松江大学城', '360万', '单价40436元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170708/376fea00-9ceb-4722-a4c4-91b1ed7add53.jpg.296x216.jpg', '税费低，小孩上课不用等红绿灯，穿马路。', '德邑小城(公寓)  | 3室2厅 | 88平米 | 南 | 其他 | 有电梯', '中楼层(共11层)2009年建板楼  -  松江新城', '360万', '单价40910元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170703/8bbb833d-eadb-43ca-a6cf-964af307306b.jpg.296x216.jpg', '税费低，小孩上课不用等红绿灯，穿马路。', '德邑小城(公寓)  | 2室2厅 | 80平米 | 暂无数据 | 精装 | 有电梯', '低楼层(共11层)2009年建板楼  -  松江新城', '315万', '单价39375元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171025/30dbf0b8-473c-4100-9d35-288b6b8fb8a4.jpg.296x216.jpg', '紫东新苑 5室2厅 580万', '紫东新苑  | 5室2厅 | 238平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2005年建板楼  -  松江新城', '580万', '单价24370元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160922/1d38de01-af4d-4998-b374-46478b312e60.jpg.296x216.jpg', '新凯城丹桂苑+电梯2房+房子满两年+诚意出售', '新凯城丹桂苑  | 2室1厅 | 66.29平米 | 南 | 毛坯 | 有电梯', '低楼层(共9层)2011年建板楼  -  泗泾', '217万', '单价32735元/平米')
('https://image1.ljcdn.com/310000-inspection/test-9f064ea3-4aac-49b6-84f6-2578b24741b9.png.296x216.jpg', '新凯城丹桂苑 2室1厅 239万', '新凯城丹桂苑  | 2室1厅 | 66.31平米 | 南 | 毛坯 | 有电梯', '中楼层(共11层)2011年建板楼  -  泗泾', '239万', '单价36043元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170917/a04bc2ae-ea36-40b2-a539-018c6a44fced.jpg.296x216.jpg', '采光充足 楼层佳 正气三房 业主诚意出售', '莱顿小城  | 3室2厅 | 120.75平米 | 南 | 简装 | 有电梯', '中楼层(共11层)2007年建板楼  -  松江大学城', '430万', '单价35611元/平米')
('https://image1.ljcdn.com/310000-inspection/6da8c6bf-ec6c-41db-ad35-642ed7ae82bd.jpg.296x216.jpg', '松江新城区 精装小户型 有阁楼 轻松一房变两房', '新城家园  | 2室1厅 | 52.49平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2011年建板楼  -  松江大学城', '198万', '单价37722元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170425/e2b44d3a-0d24-458e-b056-8f20f2996048.jpg.296x216.jpg', '摩卡小城 2室2厅 410万', '摩卡小城  | 2室2厅 | 88.09平米 | 南 | 精装 | 有电梯', '高楼层(共14层)2010年建板楼  -  九亭', '410万', '单价46544元/平米')
