('https://image1.ljcdn.com/420100-inspection/40a718c3-9792-4849-911b-a400a1d5b7a6.jpeg.296x216.jpg', '户型格局很好 很通透 小高层 有电梯 公摊小预约看', '名都花园  | 3室1厅 | 137.05平米 | 南 北 | 简装 | 有电梯', '低楼层(共11层)2005年建板楼  -  卓刀泉', '265万', '单价19337元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload215a475f-0ffb-41e1-be3c-bfe5f66c2164.jpg.296x216.jpg', '徐东爱家国际华城，精装大三房，高楼层 诚心出售', '爱家国际华城  | 3室2厅 | 121.29平米 | 南 北 | 其他 | 有电梯', '高楼层(共24层)2010年建板塔结合  -  团结大道', '273万', '单价22509元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload0f14acdb-c2c2-4592-9d34-5c21bb5e2ef8.jpg.296x216.jpg', '虹顶家园电梯大四房，单价低税费少', '虹顶家园  | 4室2厅 | 150.64平米 | 南 | 其他 | 有电梯', '中楼层(共11层)1996年建塔楼  -  老南湖', '338万', '单价22438元/平米')
('https://image1.ljcdn.com/420100-inspection/5a09bc07-f028-4b49-9080-389e792d898a.jpg.296x216.jpg', '武昌火车站武昌城市公园精装两房业主诚心出售', '武昌城市公园  | 2室2厅 | 82.56平米 | 南 | 简装 | 有电梯', '低楼层(共18层)2005年建板楼  -  武昌火车站', '180万', '单价21803元/平米')
('https://image1.ljcdn.com/420100-inspection/7614b39f-ff6e-4c67-a4be-612e43ea30b0.jpg.296x216.jpg', '景虹花园 中高楼层精装大三房 满五年 视野开阔', '景虹花园  | 3室2厅 | 107.51平米 | 南 北 | 精装 | 有电梯', '高楼层(共18层)2009年建板楼  -  老南湖', '225万', '单价20929元/平米')
('https://image1.ljcdn.com/420100-inspection/09a73615-eafe-4aa1-abb7-70b6ec35ff36.jpg.296x216.jpg', '金地西岸故事精装三房中间楼层，视野好满两年后期税少', '金地西岸故事  | 3室2厅 | 94.91平米 | 南 | 精装 | 有电梯', '中楼层(共33层)2011年建板塔结合  -  珞狮南路', '196.5万', '单价20704元/平米')
('https://image1.ljcdn.com/420100-inspection/bf05e90d-181c-4675-a450-875cebeec7f0.jpg.296x216.jpg', '精装修朝南三房，看房方便，采光充足，诚心出售！', '泰然南湖玫瑰湾三期  | 3室2厅 | 102平米 | 南 | 精装 | 有电梯', '低楼层(共33层)2011年建板楼  -  珞狮南路', '196万', '单价19216元/平米')
('https://image1.ljcdn.com/420100-inspection/83cad40f-2172-4639-955e-05ef81a067e5.jpg.296x216.jpg', '南北通透采光好，精装，业主诚心出售价格低', '027社区  | 3室2厅 | 112.44平米 | 南 北 | 其他 | 有电梯', '高楼层(共18层)2008年建塔楼  -  老南湖', '245万', '单价21790元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload0a7d6112-824b-4e03-b764-d6da10205fbc.jpg.296x216.jpg', '珞珈雅苑 产证满两年 全南户型 高楼层 采光视野好', '珞珈雅苑  | 2室2厅 | 89.13平米 | 南 北 | 其他 | 有电梯', '高楼层(共30层)2014年建板楼  -  珞狮南路', '182万', '单价20420元/平米')
('https://image1.ljcdn.com/420100-inspection/test-c46c2c42-4cfd-474f-b060-739045a1c3b3.png.296x216.jpg', '满二  南北通透 复式毛坯 公摊低  诚心出售', '富强万象新城  | 3室2厅 | 94.42平米 | 南 北 | 毛坯', '高楼层(共6层)暂无数据  -  白沙洲', '160万', '单价16946元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload62ce5235-f5ea-45df-816b-9b9f292e8168.jpg.296x216.jpg', '房子南北无遮挡 视野千米 户型通透 满二税费低', '金地圣爱米伦  | 3室2厅 | 129.16平米 | 南 北 | 其他 | 有电梯', '低楼层(共32层)2014年建板楼  -  新南湖', '315万', '单价24389元/平米')
('https://image1.ljcdn.com/420100-inspection/844e0f82-ecd5-4ac2-82ad-ca109bd3d4aa.JPG.296x216.jpg', '成熟花园小区 公摊小 南北通透 交通便利 随时可看', '美地家园  | 3室2厅 | 134.12平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  青山', '236万', '单价17597元/平米')
