('https://image1.ljcdn.com/310000-inspection/aa7db73e-724f-4b3c-89d5-8523aeab662f.jpg.296x216.jpg', '送阁楼70平，带南北窗户，近南翔地铁，景观古漪园', '民东公寓  | 4室2厅 | 83.72平米 | 南 | 简装 | 无电梯', '高楼层(共6层)2000年建板楼  -  南翔', '330万', '单价39418元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171205/85fabe02-d1a4-42d5-b56a-de341a5d6b52.jpg.296x216.jpg', '外冈佳苑 2室2厅 220万', '外冈佳苑  | 2室2厅 | 81平米 | 南 | 其他', '高楼层(共18层)2013年建板楼  -  外冈', '220万', '单价27161元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170922/34a71b20-5afb-4a9d-a9e9-d65068318659.jpg.296x216.jpg', '安亭新镇风苑 2室2厅 360万', '安亭新镇风苑  | 2室2厅 | 117.44平米 | 南 | 精装 | 无电梯', '中楼层(共5层)2005年建板楼  -  安亭', '360万', '单价30654元/平米')
('https://image1.ljcdn.com/310000-inspection/test-a4b53f4a-2f8a-4e20-acd2-9ba43b7dcf2c.png.296x216.jpg', '满五年 单价低 老城区配套成熟 生活便捷 有钥匙方便看', '城中路171弄  | 3室0厅 | 75.04平米 | 南 北 | 毛坯 | 无电梯', '高楼层(共5层)1972年建板楼  -  嘉定老城', '172万', '单价22922元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploada068383c-99a6-4551-99c9-d96e14659c8a.JPG.296x216.jpg', '万科品质、边套全明户型、楼层佳', '万科金色领域  | 3室2厅 | 83.82平米 | 南 北 | 精装', '中楼层(共18层)2014年建板楼  -  菊园新区', '270万', '单价32212元/平米')
('https://image1.ljcdn.com/310000-inspection/test-d6333e92-85c8-4feb-8063-da606f7b198b.png.296x216.jpg', '实用性小三房，功能性佳，适合初次置业家庭，看房方便', '盘古天地  | 2室2厅 | 88.42平米 | 南 | 精装 | 有电梯', '低楼层(共29层)2010年建板楼  -  嘉定新城', '290万', '单价32799元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload45fb919a-b9d6-4fad-8434-9ba8a4721e5a.JPG.296x216.jpg', '南北通透两房，近地铁，满二唯一。', '新城悠活城  | 2室1厅 | 74平米 | 南 北 | 精装 | 有电梯', '低楼层(共25层)2011年建板楼  -  菊园新区', '251万', '单价33919元/平米')
('https://image1.ljcdn.com/310000-inspection/test-094b8652-d071-4483-b33a-090c6b4988fc.png.296x216.jpg', '新城地铁站，拎包入住，交通便利，免个税，配套齐全', '中信泰富又一城  | 2室2厅 | 89.56平米 | 南 北 | 精装 | 有电梯', '低楼层(共36层)2011年建板楼  -  嘉定新城', '355万', '单价39639元/平米')
('https://image1.ljcdn.com/310000-inspection/test-5d45ed96-b103-47bf-9627-206583b6e102.png.296x216.jpg', '品质小区 ，景观楼层视野宽阔，带中空地暖，交通方便', '保利天鹅语(公寓)  | 2室2厅 | 91.93平米 | 南 | 精装 | 有电梯', '高楼层(共32层)2014年建板楼  -  嘉定新城', '335万', '单价36441元/平米')
('https://image1.ljcdn.com/310000-inspection/test-ed2665c4-d7c8-49e2-ba69-7046e4fd99bf.png.296x216.jpg', '一手动迁没有赠值税，中等楼层，交通便利，生活配套好', '翔和雅苑  | 2室2厅 | 70.46平米 | 南 | 毛坯', '中楼层(共26层)2013年建暂无数据  -  南翔', '258万', '单价36617元/平米')
('https://image1.ljcdn.com/310000-inspection/test-ad5ca727-5456-4c65-89d9-b3e7afed3239.png.296x216.jpg', '双南两房 单价低总价低 配套全 交通便利 有钥匙', '清河路173号  | 2室1厅 | 51.54平米 | 南 | 简装', '中楼层(共7层)1981年建板楼  -  嘉定老城', '144万', '单价27940元/平米')
