('https://image1.ljcdn.com/320100-inspection/cfeb780c-c5ec-4421-a8d9-d8323a0ee0d5.jpg.296x216.jpg', '两房朝南  楼栋位置好 无增值税', '左邻右里  | 2室1厅 | 73.31平米 | 南 | 其他 | 有电梯', '中楼层(共18层)2010年建板楼  -  岔路口', '245万', '单价33420元/平米')
('https://image1.ljcdn.com/320100-inspection/d7d9ae02-b975-4d47-9187-2f706226e821.jpg.296x216.jpg', '翠屏湾花园城 精装三房 拎包入住 前后送院子 业主急售', '翠屏湾花园城  | 3室1厅 | 126.92平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)2005年建板楼  -  将军大道', '252万', '单价19856元/平米')
('https://image1.ljcdn.com/320100-inspection/c18ba9d6-0ced-476f-8cc0-8fb59f27586a.JPG.296x216.jpg', '满两年 精装修 南北通透 业主诚心出售', '东方红郡  | 2室2厅 | 85.33平米 | 南 北 | 其他 | 有电梯', '低楼层(共11层)2013年建板楼  -  麒麟镇', '212万', '单价24845元/平米')
('https://image1.ljcdn.com/320100-inspection/30e0b102-88e0-4531-9bba-d70dd2bb68cd.JPG.296x216.jpg', '满两年中间楼层 挑高70年产权 结婚精装修 采光充足', '东郊小镇第八街区  | 2室1厅 | 45.39平米 | 东南 | 其他 | 有电梯', '低楼层(共9层)2013年建板塔结合  -  麒麟镇', '126万', '单价27760元/平米')
('https://image1.ljcdn.com/320100-inspection/7a72eca5-f181-4800-9291-c322deb06c5d.JPG.296x216.jpg', '满五唯一 精装修拎包入住  中间楼层 采光好', '东郊小镇第六街区  | 3室2厅 | 88.99平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2010年建板楼  -  麒麟镇', '178万', '单价20003元/平米')
('https://image1.ljcdn.com/320100-inspection/047e99df-0190-4a26-bc5d-e4762480d0e6.jpg.296x216.jpg', '明月港湾 精装三房 南北通透 业主诚售 采光好', '明月港湾月亮湾  | 3室2厅 | 126.21平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)2002年建板楼  -  岔路口', '300万', '单价23770元/平米')
('https://image1.ljcdn.com/320100-inspection/1a66f08d-b3c9-4312-8ae4-2f8dbc548f6c.jpg.296x216.jpg', '市政天元城椰树座 满五年无个税 居家装修 有两个车位', '市政天元城  | 3室2厅 | 121.72平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)2004年建板楼  -  东山镇', '338万', '单价27769元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload534e5017-cbf6-4c9c-a109-33cbc2c53bcc.jpg.296x216.jpg', '有露台 南北通透  采光没有影响  拎包入住 有车位', '市政天元城  | 2室2厅 | 95.31平米 | 南 北 | 其他 | 无电梯', '低楼层(共5层)2005年建板楼  -  东山镇', '262万', '单价27490元/平米')
('https://image1.ljcdn.com/320100-inspection/test-4f8efec5-76f3-495f-9cf4-6b2384f3130e.png.296x216.jpg', '天地新城天琴大三房 采光好 看房方便 业主诚售', '天地新城天琴座  | 3室2厅 | 123.98平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)2004年建板塔结合  -  岔路口', '280万', '单价22585元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadac2a8e8f-eeea-463c-90bb-aaaaba5fea2b.JPG.296x216.jpg', '正南挑高采光棒  满两年次卧赠送面积大可开窗户', '东郊小镇第八街区  | 2室1厅 | 40.66平米 | 南 | 其他 | 有电梯', '低楼层(共9层)2013年建板塔结合  -  麒麟镇', '117万', '单价28776元/平米')
('https://image1.ljcdn.com/320100-inspection/5cd923a5-a6b2-454e-b148-504d02b2c95d.jpg.296x216.jpg', '双龙大道 紫薇花园 小两房  送阁楼', '紫薇花园  | 2室2厅 | 79.09平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)2006年建板楼  -  岔路口', '180万', '单价22759元/平米')
('https://image1.ljcdn.com/320100-inspection/9347dc63-97b9-4961-be8a-ae9aa83421b0.jpg.296x216.jpg', '景枫里外城  精装修电梯三房  家具家电全送  看房随时', '景枫里外城  | 3室2厅 | 81.74平米 | 南 北 | 其他', '低楼层(共15层)暂无数据  -  禄口', '142万', '单价17373元/平米')
