('https://image1.ljcdn.com/510100-inspection/test-a6c426d3-9fca-41f7-9209-af36aebfbc40.png.296x216.jpg', '四七号线双地铁 电梯小高层三阳台套二', '长融一代天骄  | 2室2厅 | 81.99平米 | 北 | 简装 | 有电梯', '低楼层(共11层)2006年建板塔结合  -  万年场', '116万', '单价14149元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3427642d-1157-4eb7-b8b6-32e5f87850f8.png.296x216.jpg', '高地 套三双卫 东南朝向  看沙河美景  通风较好', '高地  | 3室2厅 | 126.61平米 | 东南 | 简装 | 有电梯', '高楼层(共25层)2008年建板楼  -  建设路', '255万', '单价20141元/平米')
('https://image1.ljcdn.com/510100-inspection/test-498c8b58-908e-4488-9537-9ed9ab1b409d.png.296x216.jpg', '标准小套三，带家具家电，有装修', '红枫岭三期  | 3室2厅 | 90.04平米 | 东北 | 精装 | 有电梯', '低楼层(共33层)2009年建板塔结合  -  东郊记忆', '158万', '单价17548元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f20adadf-0274-41af-aaea-4ecf0aa74ed4.png.296x216.jpg', '华润二期套三双卫，对中庭，朝东南', '华润二十四城二期  | 3室2厅 | 88平米 | 东南 | 简装 | 有电梯', '低楼层(共32层)2010年建塔楼  -  万象城', '210万', '单价23864元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b43d801c-1a11-4edd-aca0-27f5c6a2f762.png.296x216.jpg', '随时看房套三，面积比实际大15个平方', '华润二十四城一期  | 3室2厅 | 89.84平米 | 东南 | 简装 | 有电梯', '高楼层(共32层)2009年建塔楼  -  万象城', '199万', '单价22151元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a17f1805-a1e7-450f-af50-8120d079c919.png.296x216.jpg', '浅水半岛三期＋套二客厅带阳台居家装修', '浅水半岛三期  | 2室1厅 | 80.85平米 | 东 | 简装 | 有电梯', '高楼层(共27层)2010年建板塔结合  -  八里小区', '139万', '单价17193元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5ceaf35f-f2cd-4688-b240-a100493efe9e.png.296x216.jpg', '园林小区，电梯套三双卫，安静不临街，带阳台', '新城俊园  | 3室2厅 | 104.99平米 | 东南 | 其他 | 有电梯', '中楼层(共11层)2003年建板楼  -  猛追湾', '185万', '单价17621元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6cffa30c-2748-42d9-bc91-dbf912f82adf.png.296x216.jpg', '绿地  新里柏仕公馆  带装修小套二', '新里柏仕公馆  | 2室1厅 | 72.3平米 | 东 | 简装 | 有电梯', '中楼层(共32层)2011年建塔楼  -  东客站', '121万', '单价16736元/平米')
('https://image1.ljcdn.com/510100-inspection/test-39a0b306-29df-40f7-a4a7-727950d8d6ec.png.296x216.jpg', '房满两年免增值税，户型好，中间楼层', '华宇阳光水岸  | 2室2厅 | 68.37平米 | 东 | 其他 | 有电梯', '高楼层(共21层)2010年建板塔结合  -  驷马桥', '110万', '单价16089元/平米')
('https://image1.ljcdn.com/510100-inspection/test-cea1eb41-2a0e-41fd-b52a-bdab6961dd13.png.296x216.jpg', '金科一城  标准套二 对中庭 带飘窗', '金科一城  | 2室1厅 | 67.69平米 | 东 | 其他 | 有电梯', '低楼层(共20层)2012年建塔楼  -  动物园', '110万', '单价16251元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0873323f-ac65-43ce-b795-4ffa0b1d9af2.png.296x216.jpg', '富丽东方小套三 卧室带阳台出售', '富丽东方  | 3室1厅 | 87.67平米 | 东南 | 简装 | 有电梯', '低楼层(共18层)2008年建塔楼  -  成渝立交', '155万', '单价17680元/平米')
