('https://image1.ljcdn.com/110000-inspection/394801c8-5826-4ef6-ab63-d96585577a63.jpg.296x216.jpg', '使用面积60平两居，商品房满五年，13号线和8号线双轨', '霍营小区 2室1厅', '顶层(共6层)霍营', '303万', '单价63629元/平米')
('https://image1.ljcdn.com/110000-inspection/test-9cce29f3-cba9-4f5b-9e91-b794698df271.png.296x216.jpg', '北三区 全南两居室 户型方正 采光好 视野开阔', '天通苑北三区 2室1厅', '高楼层(共6层)天通苑', '416万', '单价42768元/平米')
('https://image1.ljcdn.com/110000-inspection/a51550f6-ac7c-4a2a-90f9-398304f2ae9e.jpg.296x216.jpg', '叠拼别墅，毛坯次新房，40平米北露台，独立入户', '合木山庄 5室2厅', '低楼层(共3层)天通苑', '768万', '单价52937元/平米')
('https://image1.ljcdn.com/110000-inspection/bb11beae-5ed3-4861-a2c6-649303cb2e9b.jpg.296x216.jpg', '满五年业主家庭名下无其他住房，中间位置', '龙博苑二区 2室1厅', '顶层(共6层)回龙观', '390万', '单价48812元/平米')
('https://image1.ljcdn.com/110000-inspection/1dc1fd71-03f0-40ac-b072-474fe361d51e.jpg.296x216.jpg', '商品房满五年唯一 有电梯高楼层 东南2居室 已留钥匙', '天通苑北一区 2室1厅', '高楼层(共11层)天通苑', '460万', '单价40802元/平米')
('https://image1.ljcdn.com/110000-inspection/4d6b2f20-182e-46eb-92dd-99b2823501a2.JPG.296x216.jpg', '满五年唯一住房 南北通透  户型方正', '天通苑北三区 2室1厅', '底层(共6层)天通苑', '415万', '单价42806元/平米')
('https://image1.ljcdn.com/110000-inspection/test-587a8973-5983-4bfd-b6cf-1eb46acb471d.png.296x216.jpg', '望都家园中间楼层眼镜房三居室，满五年无个税', '望都家园 3室2厅', '中楼层(共6层)北七家', '570万', '单价39958元/平米')
('https://image1.ljcdn.com/110000-inspection/6ff4e709-0d9b-4108-808e-c7505def6364.jpg.296x216.jpg', '龙锦苑东五区 钢混结构 南北通透2居室 看房随时', '龙锦苑东五区 2室1厅', '中楼层(共6层)霍营', '420万', '单价42135元/平米')
('https://image1.ljcdn.com/110000-inspection/rsp_pic_upload0afccb07-f73d-4bee-857c-c47cdcad8e74.jpg.296x216.jpg', '满五唯一三居室 西南朝向 采光充足', '溪城家园 3室1厅', '中楼层(共15层)立水桥', '450万', '单价50871元/平米')
('https://image1.ljcdn.com/110000-inspection/98433126-eb5a-4f0a-be56-2cb737f10c7c.jpg.296x216.jpg', '万科金域华府 南北通透两居室 精装修 中楼层 明厨明卫', '金域华府一期 2室1厅', '中楼层(共28层)回龙观', '535万', '单价59333元/平米')
