('https://image1.ljcdn.com/510100-inspection/5410de2c-ebaa-4cd0-b8f5-8bad703e0705.jpg.296x216.jpg', '套三双卫 有装修 高楼层 采光好', '和贵久居福  | 3室2厅 | 116.27平米 | 南 北 | 其他 | 有电梯', '高楼层(共18层)2008年建板塔结合  -  航空港', '145万', '单价12471元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8d0eeddb-029c-4c94-9da4-6a49582f0e04.png.296x216.jpg', '剑南大道套三双卫户型方正，正朝南，居家装修，满五', '家益庭园  | 3室2厅 | 130.38平米 | 南 | 其他 | 有电梯', '高楼层(共18层)板塔结合  -  警院', '169万', '单价12963元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f6ec9539-1f36-4670-9f71-80d8eeb9dd80.png.296x216.jpg', '香博城  套二 精装修 客厅带大阳台', '香博城  | 2室2厅 | 89.71平米 | 东南 | 精装', '低楼层(共25层)板塔结合  -  蛟龙港', '100万', '单价11148元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0eebd3fc-ff34-49fc-85d3-44d55367b31e.png.296x216.jpg', '套四双卫户型，横厅设计，带阳台，厨房带生活阳台', '九龙仓时代上城  | 4室2厅 | 112平米 | 东南 | 其他', '低楼层(共28层)板塔结合  -  华府', '168万', '单价15000元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d50b60b6-6d0a-4380-b39b-14e01bdd72b3.png.296x216.jpg', '空港十六区 标准套三 高楼层 不临路', '空港十六区  | 3室2厅 | 125.42平米 | 东 | 其他 | 有电梯', '高楼层(共18层)2009年建塔楼  -  航空港', '162万', '单价12917元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9aadb49b-1597-49e9-9c2e-30a4f5f0e022.png.296x216.jpg', '圣菲套三出售 带家具家电 带车位', '蓝光圣菲town城  | 3室2厅 | 106.87平米 | 南 | 其他 | 有电梯', '低楼层(共22层)2009年建塔楼  -  航空港', '160万', '单价14972元/平米')
('https://image1.ljcdn.com/510100-inspection/test-72f0db69-bf29-447a-94c8-91c474a97d92.png.296x216.jpg', '华府板块清水套二采光良好户型方正', '通瑞月光湖  | 2室1厅 | 79.79平米 | 东南 | 其他 | 有电梯', '低楼层(共26层)塔楼  -  公兴', '105万', '单价13160元/平米')
('https://image1.ljcdn.com/510100-inspection/test-145894ff-3aaf-4a82-a53b-c2c1630f2215.png.296x216.jpg', '朝南对小区，带花园，清水，好装修', '和贵久居福  | 3室2厅 | 116.8平米 | 南 北 | 毛坯 | 有电梯', '低楼层(共18层)2008年建板塔结合  -  航空港', '152万', '单价13014元/平米')
('https://image1.ljcdn.com/510100-inspection/test-42b7ac61-dc22-45c2-8780-26cea8230ca0.png.296x216.jpg', '东立国际花城中间楼层户型方正清水套二', '东立国际花城  | 2室2厅 | 87.55平米 | 南 | 其他 | 有电梯', '高楼层(共14层)2015年建板塔结合  -  蛟龙港', '108万', '单价12336元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3f346ebb-b28b-43c8-b216-cd5ea58e2d7f.png.296x216.jpg', '棠湖泊林城朝东南高楼层清水套三', '棠湖泊林城  | 3室1厅 | 114平米 | 东南 | 毛坯', '高楼层(共34层)2017年建塔楼  -  华府', '162万', '单价14211元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4349ca19-4ac5-4764-b72a-8f522a905923.png.296x216.jpg', '清水联排别墅带子母车库，户型方正，带前后大花园。', '远大林语城   | 联排别墅 | 5室2厅 | 276平米 | 南 | 其他 | 无电梯', '3层暂无数据  -  蛟龙港', '370万', '单价13406元/平米')
