('https://image1.ljcdn.com/610100-inspection/test-af73f136-763f-40dc-9591-99648ea2b162.png.296x216.jpg', '南北通透 中间楼层 精装三居 房本满二年', '曲江华府  ', '中楼层(共15层)板楼  -  曲江', '285万', '单价19444元/平米')
('https://image1.ljcdn.com/610100-inspection/150ef721-b0e6-4d04-adc6-bd3a630d09b0.jpg.296x216.jpg', '高新区 枫韵蓝湾 近地铁 精装两居', '枫韵蓝湾  ', '中楼层(共18层)暂无数据  -  高新', '135万', '单价14540元/平米')
('https://image1.ljcdn.com/610100-inspection/042f3022-16ed-4c20-9de4-bf7dd3fd2584.JPG.296x216.jpg', '万科金域曲江\u3000南湖\u3000满二\u3000本在手\u3000随时签', '万科金域曲江二期  ', '低楼层(共34层)板塔结合  -  曲江', '290万', '单价22667元/平米')
('https://image1.ljcdn.com/610100-inspection/3c08b6af-2c93-41bb-a1d1-4003b21b41e1.jpg.296x216.jpg', '金泰假日花城，电梯入户三居室中间楼层，急售房本在手', '金泰假日花城  ', '中楼层(共14层)板楼  -  城南', '270万', '单价21194元/平米')
('https://image1.ljcdn.com/610100-inspection/cf2de1ec-a75b-4961-931d-c557ebd318e5.JPG.296x216.jpg', '中海御湖 新出好房 业主诚心卖 看房方便 视野无遮挡', '中海御湖  ', '高楼层(共33层)板塔结合  -  曲江', '288万', '单价30538元/平米')
('https://image1.ljcdn.com/610100-inspection/326ab32e-05a7-446b-a531-0af4c111385b.jpg.296x216.jpg', '鱼化寨 复地优尚 三室两厅一厨一卫 婚房装修', '复地优尚国际一期  ', '低楼层(共27层)板塔结合  -  高新', '150万', '单价17266元/平米')
('https://image1.ljcdn.com/610100-inspection/rsp_pic_upload56e291c9-e148-4edb-96b3-e91c29a52bd0.JPG.296x216.jpg', '曲江明珠 南北通透三居室 精装修 免费赠送车位', '曲江明珠  ', '低楼层(共26层)板楼  -  曲江', '235万', '单价18952元/平米')
('https://image1.ljcdn.com/610100-inspection/7202f573-49b8-4f1b-a3c1-91d449e8a378.jpg.296x216.jpg', '大平层，全景湖景房，带车位，价可谈', '五湖名邸东区  ', '高楼层(共33层)板楼  -  浐灞', '254万', '单价14683元/平米')
('https://image1.ljcdn.com/610100-inspection/2eb165f1-3ec4-4a55-b684-25392f0897ee.jpg.296x216.jpg', '高新科技四路 绿港花园  精装大三居 真实在售', '绿港花园  ', '中楼层(共32层)板塔结合  -  高新', '225万', '单价15518元/平米')
('https://image1.ljcdn.com/610100-inspection/32453381-ded1-45d0-9306-276925ada3b4.jpg.296x216.jpg', '高新区 品质小区 恒大城 南向精装两房 首付55 可按揭', '恒大城  ', '低楼层(共32层)板塔结合  -  城西', '168万', '单价19157元/平米')
('https://image1.ljcdn.com/610100-inspection/12654b97-7166-4bf6-aab7-9b53d379ac62.jpg.296x216.jpg', '曲江华府  南北通透   满五满二   精装修', '曲江华府  ', '中楼层(共7层)板楼  -  曲江', '430万', '单价28898元/平米')
('https://image1.ljcdn.com/610100-inspection/45678510-2395-493a-bcbf-3f70450df092.jpg.296x216.jpg', '纯南标准两室、毛坯装修空间大、看外事学院景观好', '天朗蓝湖树  ', '高楼层(共25层)塔楼  -  高新', '172万', '单价18163元/平米')
('https://image1.ljcdn.com/610100-inspection/c915ecac-f665-427d-b7b6-a786cdc07b58.JPG.296x216.jpg', '中海东郡精装修 小高层 带YI中YI小 房产证过二 贷自还', '中海东郡  ', '中楼层(共18层)板塔结合  -  曲江', '350万', '单价27503元/平米')
('https://image1.ljcdn.com/610100-inspection/42fc4853-c796-4abf-a850-81170d6b2675.jpg.296x216.jpg', '钥匙在手，满五满二，有增值税。', '曲江明珠  ', '高楼层(共18层)板塔结合  -  曲江', '226万', '单价19055元/平米')
('https://image1.ljcdn.com/610100-inspection/rsp_pic_upload7082541f-43e8-47df-9260-de589898d997.JPG.296x216.jpg', '小区中间位置 冬暖夏凉 满五满二，产权清晰，带车位', '曲江6号  ', '地下室(共11层)板楼  -  曲江', '220万', '单价15922元/平米')
('https://image1.ljcdn.com/610100-inspection/9f82c36a-479d-45aa-83f8-8e24d1d186ed.JPG.296x216.jpg', '紫御华府精装大平层 户型方正 满五满二  南北通透', '中海紫御华府  ', '低楼层(共11层)板楼  -  曲江', '560万', '单价30761元/平米')
('https://image1.ljcdn.com/610100-inspection/4f48dfb2-c2f3-426e-b99e-a56f2a7cfd49.JPG.296x216.jpg', '地铁口 莱安逸境 可按揭 随时交易 三大公园 满两年', '莱安逸境  ', '高楼层(共30层)板塔结合  -  高新', '65万', '单价20968元/平米')
('https://image1.ljcdn.com/610100-inspection/test-600de312-febc-47d2-a385-3c5a737caf5a.png.296x216.jpg', '曲江华府 环境好 干净舒适 安静惬意 适合家庭生活居住', '曲江华府  ', '低楼层(共15层)板楼  -  曲江', '305万', '单价20983元/平米')
('https://image1.ljcdn.com/610100-inspection/4d23b068-539b-4fdd-a3ed-73eb2ad31480.JPG.296x216.jpg', '曲江风景线 南北通透三居室 毛坯房 随时可看房！', '曲江风景线  ', '低楼层(共27层)板楼  -  曲江', '310万', '单价19993元/平米')
('https://image1.ljcdn.com/610100-inspection/964f0727-7135-4c1f-a2fb-841089860616.jpg.296x216.jpg', '不临街 房本在手 随时签约 绿化好', '曲江观邸  ', '低楼层(共18层)板楼  -  曲江', '360万', '单价22223元/平米')
('https://image1.ljcdn.com/610100-inspection/cc68754f-c409-4b6a-85d0-519476632eb1.jpg.296x216.jpg', '简单装修 南北通透，采光良好，格局方正。', '易道郡玫瑰公馆一期  ', '低楼层(共27层)板楼  -  高新', '260万', '单价17688元/平米')
('https://image1.ljcdn.com/610100-inspection/fbdcfdbe-ec57-435c-9bb0-958bf3ea5336.jpg.296x216.jpg', '恒大城 南向 两居 精装 满五满二 中间楼层 可按揭', '恒大城  ', '低楼层(共32层)板塔结合  -  城西', '169万', '单价18654元/平米')
