('https://image1.ljcdn.com/440100-inspection/da37c589-54c1-4ff3-b053-6e9fc93060d5.JPG.296x216.jpg', '楼层好视野宽阔，阳光充足，配套设施齐全', '富力金港城东区  | 3室2厅 | 97.07平米 | 北 | 精装 | 有电梯', '高楼层(共9层)2012年建塔楼  -  花东镇', '160万', '单价16483元/平米')
('https://image1.ljcdn.com/440100-inspection/587c7afc-c283-4a33-921a-773f4dd4633f.JPG.296x216.jpg', '豪利花园 3室2厅 230万', '豪利花园  | 3室2厅 | 97平米 | 北 | 精装 | 有电梯', '中楼层(共15层)2002年建塔楼  -  新区', '230万', '单价23712元/平米')
('https://image1.ljcdn.com/440100-inspection/9821f78f-1c52-4e3b-8f1c-502a566f903e.JPG.296x216.jpg', '富庄庭 3室2厅 230万', '富庄庭  | 3室2厅 | 95.92平米 | 南 | 其他 | 有电梯', '低楼层(共20层)塔楼  -  旧区', '230万', '单价23979元/平米')
('https://image1.ljcdn.com/440100-inspection/0d69601c-3c3f-4a81-ba82-39767436923d.JPG.296x216.jpg', '云峰花园1期 2室2厅 198万', '云峰花园1期  | 2室2厅 | 82.68平米 | 南 | 简装 | 有电梯', '中楼层(共11层)塔楼  -  旧区', '198万', '单价23948元/平米')
('https://image1.ljcdn.com/440100-inspection/524187e0-5633-450b-87d2-d566d17bfc66.jpg.296x216.jpg', '豪利花园 2室2厅 205万', '豪利花园  | 2室2厅 | 89.85平米 | 南 | 其他 | 有电梯', '高楼层(共12层)塔楼  -  新区', '205万', '单价22816元/平米')
('https://image1.ljcdn.com/440100-inspection/7a5dcd8e-8731-4937-a313-6bd0bc25d8b3.JPG.296x216.jpg', '合和新城一期，北向户型，3房2卫，', '合和新城  | 3室2厅 | 130.36平米 | 北 | 其他', '中楼层(共15层)2006年建塔楼  -  旧区', '265万', '单价20329元/平米')
('https://image1.ljcdn.com/440100-inspection/8c35b16b-11ff-4f0e-b695-da748c3338f7.JPG.296x216.jpg', '富力金港城东区 3室2厅 185万', '富力金港城东区  | 3室2厅 | 99平米 | 南 | 其他 | 有电梯', '高楼层(共18层)2012年建塔楼  -  花东镇', '185万', '单价18687元/平米')
('https://image1.ljcdn.com/440100-inspection/480391a8-7d94-4331-80ac-cda1efe9eb2b.jpg.296x216.jpg', '低楼层,楼栋位置,装修保养好,适合一家大小入住', '富丽花园  | 4室2厅 | 109.9平米 | 南 | 简装 | 无电梯', '中楼层(共8层)2001年建塔楼  -  铁路西', '165万', '单价15014元/平米')
('https://image1.ljcdn.com/440100-inspection/e6411c0f-8f75-4dd2-ae00-47521863bfe9.JPG.296x216.jpg', '富力金港城  特大三房 精装修 电梯高层 望别墅 无遮挡', '富力金港城北区  | 3室2厅 | 130平米 | 南 | 其他 | 有电梯', '中楼层(共17层)2012年建塔楼  -  花东镇', '220万', '单价16924元/平米')
('https://image1.ljcdn.com/440100-inspection/88ed0218-e348-4f2b-aa79-785c8543d909.JPG.296x216.jpg', '毛坯出售 配套成熟 小区管理完善', '花都颐和山庄A区  | 3室2厅 | 146.88平米 | 东南 | 其他 | 无电梯', '高楼层(共9层)2010年建板楼  -  芙蓉镇', '161万', '单价10962元/平米')
('https://image1.ljcdn.com/440100-inspection/7fc9fad1-1e3e-4232-a772-83447b0a23ef.jpg.296x216.jpg', '嘉信华庭 3室2厅 170万', '嘉信华庭  | 3室2厅 | 107.46平米 | 南 | 精装 | 无电梯', '低楼层(共9层)2002年建塔楼  -  铁路西', '170万', '单价15820元/平米')
