('https://image1.ljcdn.com/420100-inspection/test-73836a4a-1c6f-455a-b480-e5dca7418941.png.296x216.jpg', '万科金域蓝湾， 不临街安静住处，新证但是单价低', '万科金域蓝湾  | 3室1厅 | 91平米 | 东 南 北 | 其他', '低楼层(共34层)2012年建板楼  -  沌口', '180万', '单价19781元/平米')
('https://image1.ljcdn.com/420100-inspection/3eefc23b-2702-46f5-9c4f-bf2a5fc4eda2.JPG.296x216.jpg', '金色港湾四房，交通便利，两证满两年', '金色港湾四期  | 4室2厅 | 176.36平米 | 南 | 其他', '低楼层(共18层)2008年建板楼  -  沌口', '297万', '单价16841元/平米')
('https://image1.ljcdn.com/420100-inspection/1d842f9b-dde3-4da4-99b0-d1425576355a.jpg.296x216.jpg', '长江楚韵 一线临江 无遮挡 朝南户型 毛坯四居室', '长江楚韵  | 4室2厅 | 134.14平米 | 南 | 其他 | 有电梯', '中楼层(共31层)2013年建板塔结合  -  沌口', '175万', '单价13047元/平米')
('https://image1.ljcdn.com/420100-inspection/test-1f62c130-42d6-4a51-95b0-9be0f5195a02.png.296x216.jpg', '港湾江城一线江景毛坯两房 总价低 适合刚需', '港湾江城  | 2室1厅 | 85.16平米 | 南 | 其他 | 有电梯', '高楼层(共32层)2015年建塔楼  -  沌口', '108万', '单价12683元/平米')
('https://image1.ljcdn.com/420100-inspection/bc4c8702-eb99-420e-9ace-756e97fbeae0.JPG.296x216.jpg', '泰合百花公园  老证   采光好', '泰合百花公园  | 3室2厅 | 148.39平米 | 南 | 其他', '低楼层(共8层)暂无数据  -  沌口', '225万', '单价15163元/平米')
('https://image1.ljcdn.com/420100-inspection/edf32d55-1888-4c7b-badd-9584c70fd8a8.jpg.296x216.jpg', '色港湾四期A区 简装三房 南北通透', '金色港湾四期  | 3室2厅 | 140.32平米 | 南 北 | 其他', '低楼层(共11层)暂无数据  -  沌口', '218万', '单价15536元/平米')
('https://image1.ljcdn.com/420100-inspection/c864ee86-61c7-404b-92e1-978eff3007ba.jpg.296x216.jpg', '万科金域蓝湾 3室2厅 235万', '万科金域蓝湾  | 3室2厅 | 109.96平米 | 南 | 其他', '低楼层(共33层)2013年建板楼  -  沌口', '235万', '单价21372元/平米')
('https://image1.ljcdn.com/420100-inspection/test-f964afbc-ca1a-44ab-a331-0353bc984974.png.296x216.jpg', '万科翡翠玖玺三房，小区配套成熟，交通便利！', '万科翡翠玖玺  | 3室2厅 | 109平米 | 南 | 其他', '低楼层(共34层)2018年建板楼  -  沌口', '235万', '单价21560元/平米')
('https://image1.ljcdn.com/420100-inspection/test-ef2e65ca-c640-4a87-b682-472acbbe2070.png.296x216.jpg', '金桥普林斯顿 蔡甸四环和五环在这里距离3.2公里 环湖', '金桥普林斯顿  | 3室2厅 | 113.81平米 | 南 北 | 其他', '中楼层(共17层)板楼  -  蔡甸其它', '148万', '单价13005元/平米')
('', '金色港湾四期 毛坯四房 老证 无增值税', '金色港湾四期  | 4室2厅 | 146.82平米 | 南 北 | 其他', '低楼层(共6层)暂无数据  -  沌口', '230万', '单价15666元/平米')
('https://image1.ljcdn.com/420100-inspection/test-6064245a-6039-4c9a-b003-0299d5f6ace0.png.296x216.jpg', '东风阳光城黄馨苑 中高楼层 毛坯三房', '东风阳光城黄馨苑  | 3室2厅 | 89.98平米 | 南 | 其他', '中楼层(共32层)2012年建塔楼  -  沌口', '145万', '单价16115元/平米')
