('https://image1.ljcdn.com/420100-inspection/test-5f706bf0-bcdd-40a0-9c13-f95e12ef34a3.png.296x216.jpg', '满2年..税费少.单价低..送阳台.复式楼', '碧苑花园  | 5室1厅 | 163.79平米 | 南 北 | 其他', '中楼层(共8层)2005年建塔楼  -  青山', '246万', '单价15020元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload5167445c-7920-4b71-9177-bb172e1cd855.JPG.296x216.jpg', '奥山商圈，婚房装修，保养很好，采光充足，视野好！', '青合仕家  | 3室2厅 | 126平米 | 南 北 | 其他', '中楼层(共7层)2005年建板楼  -  青山', '238万', '单价18889元/平米')
('https://image1.ljcdn.com/420100-inspection/5b47c57e-869e-49be-b3ac-c51ac7f1c859.JPG.296x216.jpg', '众圆商圈精装三居室，低楼层有绿化采光还好', '江南春城  | 3室1厅 | 90.47平米 | 南 | 其他', '低楼层(共22层)2008年建板塔结合  -  青山', '207万', '单价22881元/平米')
('https://image1.ljcdn.com/420100-inspection/527c7acf-a86f-40d3-a19d-794a9989f2b6.JPG.296x216.jpg', '奥山澜郡精装小三房 采光好 视野开阔', '奥山澜郡  | 3室1厅 | 90平米 | 南 | 其他', '低楼层(共34层)暂无数据  -  青山', '230万', '单价25556元/平米')
('https://image1.ljcdn.com/420100-inspection/15fec6ba-381d-4bb5-92be-a8372275041b.JPG.296x216.jpg', '奥山正商圈 配套齐全 生活方便  交通便利', '奥山世纪城CC尚品  | 3室1厅 | 98平米 | 南 | 其他 | 有电梯', '中楼层(共29层)2013年建板楼  -  青山', '249万', '单价25409元/平米')
('https://image1.ljcdn.com/420100-inspection/f5227ebc-bf37-45dc-a178-cffd3f08c9d1.JPG.296x216.jpg', '奥山正商圈  生活方便 交通便利 精装三房', '奥山世纪城V公馆  | 3室1厅 | 111.61平米 | 南 北 | 其他', '高楼层(共34层)2015年建板楼  -  青山', '300万', '单价26880元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_uploadb8ffba69-d79d-452b-b417-45ea5906f93b.JPG.296x216.jpg', '中建开元公馆 2室1厅 185万', '中建开元公馆  | 2室1厅 | 75.45平米 | 南 | 其他', '低楼层(共34层)2015年建板楼  -  青山', '185万', '单价24520元/平米')
('https://image1.ljcdn.com/420100-inspection/921ffbd0-2eb3-4e85-98d7-75df5456fc4e.jpg.296x216.jpg', '奥山世纪城CC尚品，3居室，二环线旁，精装修', '奥山世纪城CC尚品  | 3室1厅 | 97.38平米 | 东 北 | 精装 | 有电梯', '高楼层(共29层)2013年建板楼  -  青山', '230万', '单价23619元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload8d530c6d-7019-4b30-bf17-b9549651fb17.JPG.296x216.jpg', '奥山CC尚品中间楼层 采光好 诚心出售', '奥山世纪城CC尚品  | 1室1厅 | 40.47平米 | 南 | 其他 | 有电梯', '高楼层(共29层)2013年建板楼  -  青山', '92万', '单价22733元/平米')
('https://image1.ljcdn.com/420100-inspection/82d9346a-b277-4264-b86c-0890620f3841.JPG.296x216.jpg', '奥山世纪城CC尚品精装小三房 采光好 视野开阔', '奥山世纪城CC尚品  | 3室2厅 | 103.42平米 | 东南 | 其他 | 有电梯', '低楼层(共29层)2013年建板楼  -  青山', '270万', '单价26108元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload03e20e7a-c843-41bf-b991-bcbab55a70a5.JPG.296x216.jpg', '大华滨江天地一期铂金郦府  大两居 诚心出售', '大华滨江天地一期铂金郦府  | 2室2厅 | 97.65平米 | 南 | 其他', '中楼层(共34层)2015年建板楼  -  青山', '240万', '单价24578元/平米')
