('https://image1.ljcdn.com/330100-inspection/8a25b2f3-e7f2-4845-a24d-8c748c15320c.jpg.296x216.jpg', '满二年，精装修，视野开阔，采光充足，房东诚心出售！', '竹海水韵  | 3室2厅 | 88.32平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2011年建板塔结合  -  闲林', '240万', '单价27174元/平米')
('https://image1.ljcdn.com/330100-inspection/63c54ee0-f6ee-4e10-aa6d-a21116877725.jpg.296x216.jpg', '满五唯一 精装全配 中间楼层 地铁口', '庭院深深  | 2室2厅 | 88.07平米 | 南 | 精装 | 有电梯', '中楼层(共26层)2012年建板楼  -  闲林', '230万', '单价26116元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploada035aaa2-7317-4c99-ac8d-d23ca716e279.jpg.296x216.jpg', '绿城蓝庭  满五唯一  精装修   楼层好 视野开阔', '绿城蓝庭东区  | 3室2厅 | 140.34平米 | 南 | 精装 | 有电梯', '高楼层(共9层)2013年建板楼  -  临平', '350万', '单价24940元/平米')
('https://image1.ljcdn.com/330100-inspection/9bfe9c84-fab1-4ffe-8b54-cff22a08be8f.jpg.296x216.jpg', '亲亲家园一期  房东诚心出售 一楼带花园 户型方正', '亲亲家园一期  | 3室2厅 | 93.49平米 | 南 北 | 精装 | 有电梯', '低楼层(共11层)2006年建板塔结合  -  三墩', '300万', '单价32089元/平米')
('https://image1.ljcdn.com/330100-inspection/23dfc300-07e4-424a-9c55-f66a3861fee5.jpg.296x216.jpg', '满五唯一，南北双阳台，小区环境优美，采光通风很好', '广厦天都城天风苑  | 3室2厅 | 102平米 | 南 | 精装', '中楼层(共5层)2003年建板楼  -  星桥', '235万', '单价23040元/平米')
('https://image1.ljcdn.com/330100-inspection/8c254e8f-b78c-4c54-ab89-7321bae2bff4.JPG.296x216.jpg', '闲林山水89方唯一毛坯东边套，诚心出售', '闲林山水紫薇苑  | 2室1厅 | 89.17平米 | 南 北 | 毛坯 | 有电梯', '高楼层(共18层)2010年建板楼  -  闲林', '238万', '单价26691元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploadeb1ea4f4-1175-4928-afec-88140528ff40.jpg.296x216.jpg', '满五唯一，精装修，户型方正，楼层好，采光好。', '广厦天都城天月苑  | 3室1厅 | 114.2平米 | 南 | 精装', '中楼层(共5层)2005年建板楼  -  星桥', '300万', '单价26270元/平米')
('https://image1.ljcdn.com/330100-inspection/d289bb26-5b75-48f1-b14f-59944c238c39.jpg.296x216.jpg', '满五年 ，无增值税 ，采光充足，南北通透，跃式风格', '风雅乐府  | 3室2厅 | 88.08平米 | 南 | 毛坯 | 有电梯', '中楼层(共32层)2012年建板楼  -  万达广场', '295万', '单价33493元/平米')
('https://image1.ljcdn.com/330100-inspection/7b3738d2-e70f-40e0-ad2e-a5480cd9855c.jpg.296x216.jpg', '南北双阳台现代化装修，无增值税无个税。', '爵士风情花园  | 3室2厅 | 113平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)2008年建板楼  -  闲林', '260万', '单价23009元/平米')
('https://image1.ljcdn.com/330100-inspection/018d9ad2-d9a6-425b-bac5-33a064db7d48.jpg.296x216.jpg', '探梅里精装电梯 满两年 高楼层 带车位 采光好 未住过', '良渚文化村探梅里B  | 2室2厅 | 89平米 | 南 | 精装 | 有电梯', '高楼层(共6层)2014年建板楼  -  良渚', '280万', '单价31461元/平米')
('https://image1.ljcdn.com/330100-inspection/672cadc3-76c2-402d-b8ca-59e292ba41fd.jpg.296x216.jpg', '满五唯一，采光好，带装修，配套齐全', '金箭公寓  | 3室1厅 | 136平米 | 西南 | 简装 | 有电梯', '低楼层(共19层)2000年建板楼  -  临平', '238万', '单价17500元/平米')
