('https://image1.ljcdn.com/442000-inspection/6d3f7944-ec7f-4b52-bf51-6397abee9fb3.jpg.296x216.jpg', '利和广场，南下市场，恒信花园，诚意出售', '恒信花园D区  ', '高楼层(共5层)2002年建塔楼  -  利和广场', '120万', '单价12374元/平米')
('https://image1.ljcdn.com/442000-inspection/d512391c-5627-4c2d-863f-75b2c9422635.jpg.296x216.jpg', '远洋城美域 3室2厅 236万', '远洋城美域  ', '中楼层(共18层)2007年建板楼  -  博览中心', '236万', '单价17713元/平米')
('https://image1.ljcdn.com/442000-inspection/cbec0e9d-95b6-4fbf-a9c0-653830600aaf.jpg.296x216.jpg', '绿韵花都 中层三房 朝南 无抵押 车位可出售', '绿韵花都  ', '低楼层(共11层)2004年建塔楼  -  齐东', '200万', '单价15041元/平米')
('https://image1.ljcdn.com/442000-inspection/05ead065-83c2-46cd-972e-b944131b88bc.jpg.296x216.jpg', '东区 三房 毛坯 南北对流 赠送平台', '顺府江南  ', '中楼层(共18层)2012年建塔楼  -  齐东', '205.2万', '单价18937元/平米')
('https://image1.ljcdn.com/442000-inspection/449fd72d-f92d-4a30-bb95-3c99acab8cd3.jpg.296x216.jpg', '起湾 9室2厅 598万', '起湾  ', '低楼层(共4层)暂无数据  -  沙岗墟', '598万', '单价8400元/平米')
('https://image1.ljcdn.com/442000-inspection/a3c27cd5-8bb1-42f6-8e9f-8ab6c756a1a2.jpg.296x216.jpg', '东区绿韵花都带使用车位 水云轩小 学  电梯三房不靠路', '绿韵花都  ', '中楼层(共11层)2004年建塔楼  -  齐东', '155万', '单价18032元/平米')
('https://image1.ljcdn.com/442000-inspection/6be2c48e-e11b-4e73-b676-04df9925d27b.jpg.296x216.jpg', '优雅翠园 3室2厅 280万', '优雅翠园  ', '高楼层(共7层)2006年建板楼  -  槎桥', '280万', '单价22765元/平米')
('https://image1.ljcdn.com/442000-inspection/bfb6069b-4201-4636-8410-82dac7b01032.jpg.296x216.jpg', '远洋城领域 精装大三房 南向户型 中间楼层 采光通风好', '远洋城领域  ', '中楼层(共11层)2007年建板楼  -  博览中心', '400万', '单价24391元/平米')
('https://image1.ljcdn.com/442000-inspection/f8f84aa9-76b6-4f08-ace7-bc6e030e67ad.jpg.296x216.jpg', '东区 朗晴假日 精装朝南 高楼层非顶楼 读雍景园学校', '朗晴假日三期  ', '高楼层(共12层)2006年建板楼  -  槎桥', '160万', '单价16969元/平米')
('https://image1.ljcdn.com/442000-inspection/06b099d4-c0a7-470c-b22b-2800b7ac5768.jpg.296x216.jpg', '远洋城尊域 4室2厅 533万', '远洋城尊域  ', '低楼层(共11层)2007年建板楼  -  博览中心', '533万', '单价22968元/平米')
('https://image1.ljcdn.com/442000-inspection/825980e8-6a9e-4abc-a4fc-d1a1b6fb3108.jpg.296x216.jpg', '东区华鸿水云轩 高档住宅 精致电梯复式3房', '华鸿水云轩  ', '低楼层(共9层)2010年建板楼  -  水云轩小学', '335万', '单价19945元/平米')
('https://image1.ljcdn.com/442000-inspection/2a3da4a9-0730-4253-a3ec-6a8478cfe594.jpg.296x216.jpg', '东区 帝璟东方 毛坯三房两厅 不靠路 朝南单位', '帝璟东方  ', '低楼层(共19层)2001年建板楼  -  博览中心', '270万', '单价22892元/平米')
('https://image1.ljcdn.com/442000-inspection/7fe6589f-5e6b-44ac-970a-65cb5c7c5ea6.jpg.296x216.jpg', '顺景飞扬居  舒适两房  拎包入住', '顺景飞扬居  ', '高楼层(共7层)塔楼  -  利和广场', '88万', '单价9013元/平米')
('https://image1.ljcdn.com/442000-inspection/fd7dd16d-8226-4e6d-9c46-26ea88cd1c20.jpg.296x216.jpg', '装修别致  高楼层 视野采光好  业主诚心出售', '雍景园  ', '中楼层(共13层)2000年建塔楼  -  利和广场', '216万', '单价21600元/平米')
('https://image1.ljcdn.com/442000-inspection/cead2cb6-4509-4ee8-9f8f-66ddd90f278e.jpg.296x216.jpg', '远洋城万象花园 3室2厅 350万', '远洋城万象花园  ', '中楼层(共17层)2011年建板楼  -  博览中心', '350万', '单价22597元/平米')
('https://image1.ljcdn.com/442000-inspection/28e83ea7-2f89-4b1b-b6d6-a50540722253.jpg.296x216.jpg', '水云轩，学区房， 投资， 自住。', '华鸿水云轩  ', '中楼层(共29层)2010年建板楼  -  水云轩小学', '800万', '单价28369元/平米')
('https://image1.ljcdn.com/442000-inspection/23c038a7-8c31-4624-9c30-0617ead42f99.jpg.296x216.jpg', '豪装四房 保养好 满五年 业主度假用', '雅居乐熹玥  ', '中楼层(共15层)2010年建板楼  -  市一中', '490万', '单价24103元/平米')
