('https://image1.ljcdn.com/120000-inspection/8c898f4e-9939-4185-a7c8-dde325d380cf.jpg.296x216.jpg', '水蓝花园，2楼通透2室，采光好！', '水蓝花园  | 2室2厅 | 112.33平米 | 南 北 | 精装 | 无电梯', '低楼层(共6层)板楼  -  水上公园街', '410万', '单价36500元/平米')
('https://image1.ljcdn.com/120000-inspection/d656aba7-2446-496f-a52d-9a2cb6c4b662.JPG.296x216.jpg', '金宇里 大一室 交通便利 采光充足 视野宽阔', '金宇里  | 1室1厅 | 48.95平米 | 南 | 其他 | 无电梯', '中楼层(共6层)板楼  -  王顶堤', '144万', '单价29418元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_upload2ba1d626-2e9c-4c27-be63-713d6b33e007.jpg.296x216.jpg', '南北通透 采光合适 配套齐全 诚心卖房', '广泰园  | 3室2厅 | 107.13平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)板楼  -  广开街', '430万', '单价40139元/平米')
('https://image1.ljcdn.com/120000-inspection/9019bee9-ad4e-4b00-97af-9c2d7c9b4a7b.jpg.296x216.jpg', '裕达花园 精装两室 采光充足 小区环境好', '裕达花园  | 2室1厅 | 89.42平米 | 南 北 | 其他 | 有电梯', '高楼层(共32层)板楼  -  向阳路', '320万', '单价35787元/平米')
('https://image1.ljcdn.com/120000-inspection/f469eb85-7324-4b95-8e07-500b54469f64.jpg.296x216.jpg', '邮电公寓  西南朝向 采光好  看房方便', '邮电公寓  | 2室2厅 | 93.42平米 | 西南 | 精装 | 有电梯', '高楼层(共27层)板楼  -  兴南街', '368万', '单价39392元/平米')
('https://image1.ljcdn.com/120000-inspection/0431dba2-60e4-4107-9283-8730e63e66e9.jpg.296x216.jpg', '宝龙湾家园 1室1厅 213万', '宝龙湾家园  | 1室1厅 | 61.87平米 | 西 | 精装 | 有电梯', '中楼层(共32层)板楼  -  广开街', '213万', '单价34428元/平米')
('https://image1.ljcdn.com/120000-inspection/a768e3e4-9860-40e0-b83c-9bc946e9db55.jpg.296x216.jpg', '华苑久华里 简装两室 H户型带阁楼 南北通透 诚心出售', '久华里  | 2室1厅 | 97.33平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)板楼  -  华苑', '330万', '单价33906元/平米')
('https://image1.ljcdn.com/120000-inspection/779527e5-c96a-4a41-8d55-4b4a9745db40.jpg.296x216.jpg', '晋丰大厦 民宅两室 满两年 精装修 朝南 随时看房', '晋丰大厦  | 2室1厅 | 71.36平米 | 南 | 精装 | 有电梯', '中楼层(共16层)塔楼  -  鼓楼街', '365万', '单价51150元/平米')
('https://image1.ljcdn.com/120000-inspection/25e17f76-2ef5-45e5-a155-33e8de44f7d7.jpg.296x216.jpg', '70年产权私产可贷款南开区中间楼层阳面一居室35㎡总价', '集园里  | 1室1厅 | 35.14平米 | 南 北 | 其他 | 无电梯', '中楼层(共5层)板楼  -  向阳路', '107万', '单价30450元/平米')
('https://image1.ljcdn.com/120000-inspection/8d8faf0d-e4e4-45e1-add8-2a1054f5f651.jpg.296x216.jpg', '三潭西里 中间楼层 南北通透 户型方正 采光充足', '三潭西里  | 2室1厅 | 58.83平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)板楼  -  万兴街', '210万', '单价35697元/平米')
('https://image1.ljcdn.com/120000-inspection/b2fb7c87-2662-45bb-9ec0-689c57f6a3cd.jpg.296x216.jpg', '南开龙滨园 通透小两室 临南翠屏公园', '龙滨园  | 2室1厅 | 80.91平米 | 南 | 简装 | 无电梯', '低楼层(共6层)板楼  -  体育中心街', '350万', '单价43258元/平米')
