('https://image1.ljcdn.com/441300-inspection/844b6f9c-1bff-49e7-8ef5-8c6edc544638.jpg.296x216.jpg', '满五唯 一 临深片区 60栋大盘社区 5站接南站14号地铁', '花样年别样城一期  ', '中楼层(共11层)板塔结合  -  淡水', '95万', '单价9245元/平米')
('https://image1.ljcdn.com/441300-inspection/8342b70a-40ba-4745-9b3d-a204878fd59c.jpg.296x216.jpg', '满五唯一临深地铁口物业 惠阳行 政中 心 精装三房', '花样年别样城三期  ', '中楼层(共33层)板塔结合  -  淡水', '90万', '单价11054元/平米')
('https://image1.ljcdn.com/441300-inspection/64df261f-4dfa-4632-9a8d-3e29cefae6c3.jpg.296x216.jpg', '满五唯一税费低东方新城 星河盛世 壹方水榭 通透户型', '东方新城  ', '中楼层(共10层)暂无数据  -  淡水', '80万', '单价9524元/平米')
('https://image1.ljcdn.com/441300-inspection/7ee2af26-489f-45a2-9ca9-6e11f1d91330.jpg.296x216.jpg', '满五唯一 百万大盘 地铁14号线草洋站 恒大星河旁', '半岛1号三期  ', '低楼层(共16层)暂无数据  -  淡水', '96万', '单价11163元/平米')
('https://image1.ljcdn.com/441300-inspection/3219446b-f9ed-40dc-a35c-a13fb4786db9.jpg.296x216.jpg', '满五唯一 临深片区 全新大三房 接驳14号线南站 地铁口', '花样年别样城二期  ', '中楼层(共33层)板塔结合  -  淡水', '130万', '单价11636元/平米')
('https://image1.ljcdn.com/441300-inspection/rsp_pic_upload833ec14d-629e-4047-81db-04e763e7f14a.jpg.296x216.jpg', '精装修高楼层大三房，东西南北通，看凤凰山，采光好', '花样年别样城二期  ', '中楼层(共33层)板塔结合  -  淡水', '93万', '单价12553元/平米')
('https://image1.ljcdn.com/441300-inspection/73dc80d9-b196-4d0e-8d07-796a719d2e3c.jpg.296x216.jpg', '星河丹堤 满五唯一免个税 背靠亚公顶森林公园 大三房', '星河丹堤C区  ', '高楼层(共31层)板塔结合  -  南站新城', '148万', '单价16591元/平米')
('https://image1.ljcdn.com/441300-inspection/5372991e-88f8-4e5b-a712-2b6f0f18aa96.jpg.296x216.jpg', '惠州顶 级豪 宅满五唯一无 税省15万税 学 位没用过 诚', '星河丹堤C区  ', '低楼层(共31层)板塔结合  -  南站新城', '243万', '单价18000元/平米')
('https://image1.ljcdn.com/441300-inspection/3968fa5e-403a-4781-bdb4-30c1784968a7.jpg.296x216.jpg', '惠州南站、满五唯一、地铁物业、精装大四房送全套家私', '瑞景居  ', '高楼层(共12层)暂无数据  -  南站新城', '145万', '单价9405元/平米')
('https://image1.ljcdn.com/441300-inspection/fce747df-b052-4a6e-9164-6c8c9e45fa98.jpg.296x216.jpg', '满五唯一 市政周 边，三房改四房，精装修中高楼视野好', '广场明珠  ', '高楼层(共23层)暂无数据  -  淡水', '120万', '单价8617元/平米')
('https://image1.ljcdn.com/441300-inspection/b337ba07-f9ce-442a-b679-045f9edf3b7b.jpg.296x216.jpg', '地铁1号线 临深片区 满五唯一 大社区 九年义务教育', '花样年别样城一期  ', '中楼层(共11层)板塔结合  -  淡水', '85万', '单价9445元/平米')
('https://image1.ljcdn.com/441300-inspection/589804cf-53ae-4c68-ac02-0c8922954917.jpg.296x216.jpg', '全款97折 满五唯一  惠州南站 地铁口 带装修 拎包入住', '花样年别样城一期  ', '中楼层(共11层)板塔结合  -  淡水', '77万', '单价11000元/平米')
('https://image1.ljcdn.com/441300-inspection/fa48fc90-f6ce-4623-8949-97ec69fbb6af.jpg.296x216.jpg', '临深片区 笋到没朋友 1线号地铁接南站  自带九年学 校', '花样年别样城一期  ', '高楼层(共11层)板塔结合  -  淡水', '81万', '单价9129元/平米')
('https://image1.ljcdn.com/441300-inspection/6cfa4e6f-7078-44c4-bcb6-3da59d68bd8c.jpg.296x216.jpg', '保利央企开发，高品质小区。高楼层看小区花园。', '保利阳光城  ', '高楼层(共23层)板楼  -  淡水', '90万', '单价11242元/平米')
('https://image1.ljcdn.com/441300-inspection/fc22413b-6ff3-4a7d-8046-e3f80df8fa82.jpg.296x216.jpg', '满五唯一 门口沃尔玛 精装大三房 地铁14号线白云站', '润福苑  ', '高楼层(共18层)暂无数据  -  淡水', '93万', '单价8187元/平米')
