('https://image1.ljcdn.com/120000-inspection/1b7573c6-ec21-48db-aa45-8c62e7954aeb.jpg.296x216.jpg', '新湾花园，顶楼有阁楼有地下室3室2卫 南北通透采光好', '新湾花园北园  | 3室1厅 | 77.89平米 | 南 北 | 简装', '高楼层(共6层)板楼  -  新湾', '160万', '单价20542元/平米')
('https://image1.ljcdn.com/120000-inspection/36f0ac7b-e87d-4224-b37b-86195f9ba867.jpg.296x216.jpg', '保利金街 满五唯一 空户 无尾款', '盛世家园  | 2室2厅 | 102.4平米 | 南 | 毛坯', '高楼层(共23层)暂无数据  -  保利金街', '198万', '单价19336元/平米')
('https://image1.ljcdn.com/120000-inspection/194d340a-b2fe-4caf-a375-8290b4feb5ee.jpg.296x216.jpg', '经纬置业 精装修 业主诚心出售 前排无遮挡', '经纬城市绿洲华清家园  | 2室1厅 | 91.19平米 | 南 | 精装', '高楼层(共33层)暂无数据  -  佛罗伦萨', '181万', '单价19849元/平米')
('https://image1.ljcdn.com/120000-inspection/0cba746a-b0f7-4a95-af12-1045409e3fef.jpg.296x216.jpg', '远洋香奈 2室2厅 195万', '远洋香奈  | 2室2厅 | 87.21平米 | 南 北 | 其他', '高楼层(共24层)板楼  -  佛罗伦萨', '195万', '单价22360元/平米')
('https://image1.ljcdn.com/120000-inspection/70ab4195-925d-4c8e-931f-6cf86964c63e.jpg.296x216.jpg', '亨通花园西区 3室2厅 170万', '亨通花园西区  | 3室2厅 | 128.15平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  佛罗伦萨', '170万', '单价13266元/平米')
('https://image1.ljcdn.com/120000-inspection/e32ecd0c-8d87-463d-980d-43289fe89cd1.jpg.296x216.jpg', '户型方正，全明格局，彩光好，位置好，小区环境好', '盛世郦园  | 2室2厅 | 86.55平米 | 南 | 简装', '中楼层(共31层)板楼  -  保利金街', '196万', '单价22646元/平米')
('https://image1.ljcdn.com/120000-inspection/c442494d-5962-42ee-a7e2-6c84308e620b.jpg.296x216.jpg', '富力尚悦居 小三居 交通便利 带装修', '富力尚悦居  | 3室2厅 | 90.87平米 | 南 | 其他 | 有电梯', '低楼层(共32层)板楼  -  体育中心', '192万', '单价21130元/平米')
('https://image1.ljcdn.com/120000-inspection/edde3789-a370-42fc-8cb3-8340620eeee1.jpg.296x216.jpg', '君利花园 2室2厅1卫 双阳户型，采光充足', '君利花园  | 2室2厅 | 94.44平米 | 南 | 毛坯', '高楼层(共26层)板楼  -  下朱庄', '115万', '单价12178元/平米')
('https://image1.ljcdn.com/120000-inspection/003e71a2-71ca-412a-bd1b-c29f2755ebcd.jpg.296x216.jpg', '远洋香奈 3室1厅 292万', '远洋香奈  | 3室1厅 | 124.02平米 | 东 南 北 | 毛坯', '低楼层(共8层)板楼  -  佛罗伦萨', '292万', '单价23545元/平米')
('https://image1.ljcdn.com/120000-inspection/b9ead3bc-6cd8-4258-bb6f-0a3455491cfa.jpg.296x216.jpg', '低总价，南北通透，链家优选房源', '盛世馨园  | 2室2厅 | 98.71平米 | 南 北 | 简装', '高楼层(共15层)暂无数据  -  佛罗伦萨', '164万', '单价16615元/平米')
('https://image1.ljcdn.com/120000-inspection/c57e5a7a-b6e6-46d6-9037-0ba254bef603.jpg.296x216.jpg', '保利上河雅颂北区，南北通透三室两卫', '保利上河雅苑北区  | 3室2厅 | 119.32平米 | 南 北 | 其他', '中楼层(共33层)暂无数据  -  保利金街', '299万', '单价25059元/平米')
