('https://image1.ljcdn.com/320200-inspection/bc768a05-5daa-4ff2-b98f-1c0f22ddbe9e.JPG.296x216.jpg', '溪湾雅苑精装三房 中间楼层 三开间朝南 拎包入住', '万达城溪湾雅苑南区  ', '中楼层(共17层)板楼  -  雪浪/南泉', '193万', '单价18558元/平米')
('https://image1.ljcdn.com/320200-inspection/2ea221ee-efc6-4b2d-bf06-e563b4d8586c.JPG.296x216.jpg', '周新苑经典户型，南北两房，电梯高层，采光足，格局正', '周新苑五期  ', '中楼层(共27层)板楼  -  万象城/东绛', '94万', '单价10000元/平米')
('https://image1.ljcdn.com/320200-inspection/e2126e16-d187-4ce2-83e5-5084f86f2e7c.JPG.296x216.jpg', '链家真房源 雅居乐好楼层 好户型 好价格 满二年的', '雅居乐中央府  ', '中楼层(共32层)板楼  -  塘铁桥', '350万', '单价24527元/平米')
('https://image1.ljcdn.com/320200-inspection/31f9b523-99df-420e-9a74-877420379f2a.JPG.296x216.jpg', '太湖国际一街区-珀丽南岸 2室2厅 237.6万', '太湖国际一街区-珀丽南岸  ', '低楼层(共11层)暂无数据  -  万象城/东绛', '237.6万', '单价22000元/平米')
('https://image1.ljcdn.com/320200-inspection/rsp_pic_upload1a2fec37-c54c-4ad4-b5fa-f109d210f36c.JPG.296x216.jpg', '太湖国际 满两年  高楼层 视野采光佳 业主诚心出售', '太湖国际二街区-聆湖社区  ', '高楼层(共32层)板塔结合  -  万象城/东绛', '195万', '单价21808元/平米')
('https://image1.ljcdn.com/320200-inspection/dff5af4f-5193-48a9-b2a6-c6b22253861d.JPG.296x216.jpg', '西园里 2室1厅 80万', '西园里  ', '中楼层(共7层)板楼  -  新体育中心', '80万', '单价12559元/平米')
('https://image1.ljcdn.com/320200-inspection/4598f7b0-55f5-4416-a975-bca14c32961b.JPG.296x216.jpg', '瑜憬湾环境优美小区安静两室一厅采光充足业主诚心出售', '瑜憬湾  ', '高楼层(共24层)板楼  -  新体育中心', '178万', '单价19384元/平米')
('https://image1.ljcdn.com/320200-inspection/d6b82332-25c1-4fac-8d59-15b9ea625dd6.JPG.296x216.jpg', '孙蒋新村 2室2厅 100万', '孙蒋新村  ', '中楼层(共7层)暂无数据  -  河埒口', '100万', '单价10969元/平米')
('https://image1.ljcdn.com/320200-inspection/bf79afb1-26bc-4bdf-9e8c-9c045336c5ea.JPG.296x216.jpg', '融创熙园一期 4室2厅 288万', '融创熙园一期  ', '低楼层(共18层)塔楼  -  长广溪/大学城', '288万', '单价24426元/平米')
('https://image1.ljcdn.com/320200-inspection/9fca2d97-b92e-4273-a25b-435352e35edf.JPG.296x216.jpg', '周新苑西三期-1 2室1厅 68万', '周新苑西三期-1  ', '低楼层(共6层)板楼  -  万象城/东绛', '68万', '单价10625元/平米')
('https://image1.ljcdn.com/320200-inspection/4cf795ed-04ab-4fa2-9615-548b970e3bc4.JPG.296x216.jpg', '【链家真房源】万达广场C区 2室2厅 满五唯一 随时可看', '万达广场C区  ', '低楼层(共33层)板塔结合  -  河埒口', '189万', '单价19517元/平米')
('https://image1.ljcdn.com/320200-inspection/83dcaf43-6790-48fe-bca3-4e6ee113598b.JPG.296x216.jpg', '【链家真房源】 中建溪岸观邸 景观位置 精装修 满二', '中建溪岸观邸  ', '低楼层(共33层)板楼  -  河埒口', '252万', '单价19619元/平米')
('https://image1.ljcdn.com/320200-inspection/rsp_pic_uploadc7b7bb1c-d5a9-405f-95d7-b65b1ea68a73.JPG.296x216.jpg', '【链 家真 房源】魅力万科三区 满二 精装 南北通透', '魅力万科城三区  ', '高楼层(共18层)板楼  -  万象城/东绛', '263万', '单价23784元/平米')
('https://image1.ljcdn.com/320200-inspection/0150933a-5909-4857-9cf2-a7dee8c22299.jpg.296x216.jpg', '新梁溪人家 1室1厅 59万', '新梁溪人家  ', '中楼层(共14层)板楼  -  新体育中心', '59万', '单价10728元/平米')
('https://image1.ljcdn.com/320200-inspection/test-288d713e-8434-4c70-995b-f1b36a31e70c.png.296x216.jpg', '【链家真房源】西太湖花园 3室2厅 中间楼层 看房方便', '西太湖花园  ', '中楼层(共7层)板楼  -  河埒口', '170万', '单价15513元/平米')
('https://image1.ljcdn.com/320200-inspection/2dc84ca9-b364-4bd4-95b7-816900b6dff8.JPG.296x216.jpg', '西园里 2室2厅 95万', '西园里  ', '中楼层(共7层)板楼  -  新体育中心', '95万', '单价12828元/平米')
('https://image1.ljcdn.com/320200-inspection/385b08ff-4abd-4e89-bfe7-c4bde2393006.JPG.296x216.jpg', '奥林花园A区 3室2厅 210万', '奥林花园A区  ', '中楼层(共17层)板塔结合  -  新体育中心', '210万', '单价16620元/平米')
('https://image1.ljcdn.com/320200-inspection/9aba05b8-19ac-4631-8a7b-bc37e71eb1ca.JPG.296x216.jpg', '链 家 真 房 源 融创熙园 2室1厅 采光充足 精装', '融创熙园三期  ', '高楼层(共27层)塔楼  -  长广溪/大学城', '210万', '单价23596元/平米')
