('https://image1.ljcdn.com/420100-inspection/7b6e0aa0-2a84-48ab-af62-6d1f301aa738.jpg.296x216.jpg', '高楼层，视野开阔，采光足，明厨明卫，户型方正，', '恒大城  | 3室2厅 | 93平米 | 南 北 | 精装 | 有电梯', '高楼层(共32层)2012年建板楼  -  金银湖', '135万', '单价14517元/平米')
('https://image1.ljcdn.com/420100-inspection/483168f4-58b9-4aa2-85c7-5e6218582294.jpg.296x216.jpg', '鹏海家园 正规三室 户型方正  满五唯一', '鹏海家园  | 3室2厅 | 98.93平米 | 南 | 其他 | 无电梯', '低楼层(共6层)2005年建板楼  -  将军路', '150万', '单价15163元/平米')
('https://image1.ljcdn.com/420100-inspection/test-a1afada1-4f9f-4b19-9554-ce7ad04a267e.png.296x216.jpg', '华星花园 3室2厅 127万', '华星花园  | 3室2厅 | 102.02平米 | 南 | 其他', '高楼层(共7层)2005年建板楼  -  吴家山', '127万', '单价12449元/平米')
('https://image1.ljcdn.com/420100-inspection/a851fa0d-4a2a-46d3-a3ad-0a122326e80f.jpg.296x216.jpg', '泰跃金河两房 有装修 有电梯 小区环境清幽', '泰跃金河  | 2室2厅 | 96.4平米 | 南 | 精装 | 有电梯', '低楼层(共17层)2006年建塔楼  -  金银湖', '123万', '单价12760元/平米')
('https://image1.ljcdn.com/420100-inspection/2440b1c1-400f-47db-b82a-03eb7eff2e33.JPG.296x216.jpg', '豪.装复式楼.可以用于孩子上学，南北通透环境优美！', '新康苑  | 5室3厅 | 303平米 | 南 北 | 精装 | 无电梯', '高楼层(共7层)2006年建板楼  -  常青花园', '550万', '单价18152元/平米')
('https://image1.ljcdn.com/420100-inspection/71a76052-e4c0-48af-b6f8-ae6f5e0c1b48.jpg.296x216.jpg', '金银湖碧海花园精装修南北通透三房两证满带80平院子', '碧海花园  | 3室2厅 | 134.7平米 | 南 北 | 其他 | 无电梯', '低楼层(共7层)2004年建塔楼  -  金银湖', '188万', '单价13957元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_uploadd5bf440d-bc6d-4243-8206-85f633b06c30.JPG.296x216.jpg', '美联一期居家装修小三房   老证税费少', '美联奥林匹克花园一期  | 3室2厅 | 88.7平米 | 南 | 其他 | 有电梯', '中楼层(共25层)2015年建板楼  -  常青花园', '172万', '单价19392元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload9da43663-9a10-47bc-832b-90d74fed7885.jpg.296x216.jpg', '沿海赛洛城一期，南北通透，视野开阔 业主诚心出售', '沿海赛洛城  | 4室2厅 | 166.3平米 | 南 北 | 其他 | 无电梯', '高楼层(共10层)2007年建板楼  -  金银湖', '320万', '单价19243元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_uploadc3a5d147-8a39-47a2-8a24-b238b7a002ec.JPG.296x216.jpg', '新康苑 中空三层复式 精装修 老证 业主诚心卖', '新康苑  | 6室3厅 | 303.21平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)2006年建板楼  -  常青花园', '520万', '单价17150元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload4a31ba33-864e-4892-9898-8ae582a5a7eb.jpg.296x216.jpg', '婚房装修，中高楼层，证满，后期费用少，业主诚心出售', '航天兴隆国际  | 2室2厅 | 86.8平米 | 南 北 | 其他 | 有电梯', '高楼层(共28层)2014年建板楼  -  金银湖', '140万', '单价16130元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload51f25014-5a3c-4d2b-ac02-582f09c38b8f.JPG.296x216.jpg', '老证无抵押 带一个使用权车位 南北双露台 看常青花园', '常青花园十一小区  | 4室2厅 | 185.98平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2006年建板楼  -  常青花园', '350万', '单价18820元/平米')
