('https://image1.ljcdn.com/370101-inspection/b48c9c90-9a54-4575-8f2b-60d421ce443b.jpg.296x216.jpg', '阳光100G区 大两房 一梯两户 南北通透 看房方便', '阳光100国际新城G区  | 2室2厅 | 115.93平米 | 南 北 | 精装 | 有电梯', '中楼层(共18层)2008年建板楼  -  阳光100区', '242万', '单价20875元/平米')
('https://image1.ljcdn.com/370101-inspection/9362eeb0-bb1a-4e07-b3fc-8052edc503f9.jpg.296x216.jpg', '西市场商圈 机车大厂宿舍一楼 双气 大院方便停车', '槐村街7到9号  | 2室1厅 | 63.58平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)1991年建板楼  -  中大槐树', '112万', '单价17616元/平米')
('https://image1.ljcdn.com/370101-inspection/9779895d-7a12-4838-b877-3442c97e443a.jpg.296x216.jpg', '明星小区 两室两厅 低楼层 南北通透', '明星小区北区  | 2室2厅 | 91平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)1996年建板楼  -  腊山', '140万', '单价15385元/平米')
('https://image1.ljcdn.com/370101-inspection/b7a65e45-5cde-41df-8b01-65ff4ff2518b.jpg.296x216.jpg', '南北通透 公摊小 一梯两户 物业认真负责', '龙湖名景台  | 3室2厅 | 125.91平米 | 南 北 | 精装', '低楼层(共11层)2016年建板楼  -  西客站', '270万', '单价21444元/平米')
('https://image1.ljcdn.com/370101-inspection/cd7a8de7-0ffb-4b26-8302-9268a73107d2.jpg.296x216.jpg', '阳光100  大两居室 精装修 采光好 出行方便', '阳光100国际新城E区  | 2室2厅 | 109.83平米 | 东 | 精装 | 有电梯', '中楼层(共18层)2006年建塔楼  -  阳光100区', '190万', '单价17300元/平米')
('https://image1.ljcdn.com/370101-inspection/c54c226c-c374-42f8-8ce8-7f3be2513757.jpg.296x216.jpg', '香榭丽公馆 法式大盘 精装三居 南北通透 好楼层', '绿地新里香榭丽公馆  | 3室2厅 | 135.87平米 | 南 北 | 精装', '中楼层(共31层)2016年建板楼  -  西客站', '245万', '单价18032元/平米')
('https://image1.ljcdn.com/370101-inspection/1381fb1c-a542-46bb-ab7c-8c6e46de413c.JPG.296x216.jpg', '匡山小区 两室两厅 南北通透 精装修', '匡山小区  | 2室2厅 | 77.52平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)1993年建板楼  -  匡山区', '130万', '单价16770元/平米')
('https://image1.ljcdn.com/370101-inspection/70529cab-f98f-4982-8f6e-d69f09b5b526.JPG.296x216.jpg', '外海西子城市花园  一期复式 视野宽阔', '外海西子城市花园  | 4室2厅 | 158平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)2003年建板楼  -  匡山区', '260万', '单价16456元/平米')
('https://image1.ljcdn.com/370101-inspection/ead431cb-1aef-49e2-8599-7a439438eeb1.jpg.296x216.jpg', '御景城一室一厅精装修电梯房 出行便利 满两年免增值税', '路劲御景城  | 1室1厅 | 47.98平米 | 北 | 其他 | 有电梯', '中楼层(共18层)2012年建板塔结合  -  中大槐树', '89万', '单价18550元/平米')
('https://image1.ljcdn.com/370101-inspection/cade8079-c83f-4126-9ec6-a2a117a9929e.jpg.296x216.jpg', '香桔市 精装修 一室一厅 有房产证 能贷款', '香桔市  | 1室1厅 | 51.17平米 | 南 | 精装 | 有电梯', '低楼层(共11层)2009年建板楼  -  营市街', '86万', '单价16807元/平米')
('https://image1.ljcdn.com/370101-inspection/9078e469-5060-42b2-8202-63e42d127163.jpg.296x216.jpg', '阳光100G区南北通透三居 满五年 可正常贷款 看房方便', '阳光100国际新城G区  | 3室2厅 | 143.57平米 | 南 北 | 精装 | 有电梯', '低楼层(共18层)2008年建板楼  -  阳光100区', '299万', '单价20827元/平米')
