('https://image1.ljcdn.com/410100-inspection/rsp_pic_upload593a0120-ee31-4497-ac89-45693706a7ba.jpg.296x216.jpg', '中华园多层一梯两户板楼6/7，钥匙房，满五唯一', '中华园  ', '高楼层(共7层)暂无数据  -  绿茵广场', '185万', '单价10499元/平米')
('https://image1.ljcdn.com/410100-inspection/ec242038-9a70-4416-a173-83b6ba2a5abf.JPG.296x216.jpg', '冠.军花园 顶楼复式  南北通透采光好 业主自装壁挂炉', '冠军花园  ', '高楼层(共6层)暂无数据  -  索凌路北段', '135万', '单价13674元/平米')
('https://image1.ljcdn.com/410100-inspection/49d6ab15-61bf-427c-b668-384971318177.jpg.296x216.jpg', '保利海上五月花玫瑰园，一楼带院。', '保利海上五月花玫瑰园  ', '低楼层(共6层)板楼  -  北大学城', '400万', '单价27973元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_upload7d4ac1d2-4032-4fe5-96d7-a7f25c576bc0.jpg.296x216.jpg', '华润城市之音满五年唯一没有个税，标准四房，一楼', '华润城市知音  ', '6层板楼  -  绿茵广场', '175万', '单价13343元/平米')
('https://image1.ljcdn.com/410100-inspection/test-fdc78de9-9af5-4e43-a1fa-6db44e182a1d.png.296x216.jpg', '买房是一个过程，很高兴为您服务双地铁口小区配套齐全', '裕华第九城市  ', '高楼层(共26层)板塔结合  -  省体育中心', '68万', '单价13246元/平米')
('https://image1.ljcdn.com/410100-inspection/bc090a7a-66c6-44ba-8d28-9e7918b5f7e2.jpg.296x216.jpg', '裕华美霖  94平 大两房 南北通透  一楼带30多平小院', '裕华美霖  ', '6层板楼  -  刘寨', '168万', '单价17873元/平米')
('https://image1.ljcdn.com/410100-inspection/test-e02359b9-d1b0-4b35-9da8-d4bf67b134d5.png.296x216.jpg', '普罗旺世多层 精装修 4层边户 满五年 随时看房！！！', '普罗旺世佛罗伦斯东院  ', '中楼层(共6层)板楼  -  庙李', '208万', '单价19979元/平米')
('https://image1.ljcdn.com/410100-inspection/af58dc25-9c95-400b-baac-0e0c8d6a7163.jpg.296x216.jpg', '思念果岭  通透两房 精装 送阳台 带飘窗 送车位', '思念果岭国际社区二期湖光山色  ', '中楼层(共6层)暂无数据  -  邙山', '115万', '单价12337元/平米')
('https://image1.ljcdn.com/410100-inspection/ed2895b0-7db8-49c8-9646-f6b5c83aa947.jpg.296x216.jpg', '北郡一期花汀洋房  地铁站口稀有5+1层电梯一二层复式', '北郡一期  ', '低楼层(共6层)板塔结合  -  北大学城', '416万', '单价30111元/平米')
('https://image1.ljcdn.com/410100-inspection/979d745d-b356-4d35-bcb3-54a8dfe110d8.jpg.296x216.jpg', '地铁口  多层电梯 复式  满五唯一   送30平米露台', '天和人家  ', '高楼层(共7层)暂无数据  -  省体育中心', '182万', '单价15112元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_upload25bdf896-8ee4-4c03-9f15-7f8cd14cef4e.jpg.296x216.jpg', '永威迎宾府南北通透大三房双阳台满两年', '永威迎宾府  ', '低楼层(共18层)暂无数据  -  北大学城', '247万', '单价18056元/平米')
('https://image1.ljcdn.com/410100-inspection/test-6347f20e-5126-468f-9629-dcda08aa5fcb.png.296x216.jpg', '北郡三期 地铁口 南北通透大三房 诚心出售', '北郡三期  ', '高楼层(共20层)暂无数据  -  北大学城', '200万', '单价15385元/平米')
