('https://image1.ljcdn.com/130100-inspection/840e600b-ad9e-4d57-bc8e-a00389c34901.jpg.296x216.jpg', '荣御府 2室1厅 145万', '荣御府  ', '中楼层(共28层)板楼  -  天山海世界', '145万', '单价14796元/平米')
('https://image1.ljcdn.com/130100-inspection/e533c8c6-5a07-405c-958a-97f0692348b5.jpg.296x216.jpg', '太行嘉苑 3室2厅 178万', '太行嘉苑  ', '高楼层(共27层)板楼  -  天山海世界', '178万', '单价12915元/平米')
('https://image1.ljcdn.com/130100-inspection/21dc0c96-99c0-4511-b6f7-f0d4657e798f.jpg.296x216.jpg', '恒大绿洲 精装3室 好楼层 南北通透', '恒大绿洲  ', '低楼层(共33层)板楼  -  东开发区', '140万', '单价14433元/平米')
('https://image1.ljcdn.com/130100-inspection/cde584f5-8ea2-4b51-bd59-4fbfb4cc7d8c.jpg.296x216.jpg', '卓达星辰花园 精装大三室 南北通透 卧室270度采光', '卓达星辰花园  ', '高楼层(共24层)暂无数据  -  天山海世界', '273万', '单价15819元/平米')
('https://image1.ljcdn.com/130100-inspection/d615de01-1898-4efe-b66e-b683cc5dc1c3.jpg.296x216.jpg', '东海盛景南苑 2室2厅 132万', '东海盛景南苑  ', '中楼层(共27层)板楼  -  富力', '132万', '单价13470元/平米')
('https://image1.ljcdn.com/130100-inspection/2f903309-d330-4dd2-a2d8-39135fc3480a.jpg.296x216.jpg', '中间楼层 全明户型 客厅方正 南向 次卧朝东  随时可看', '同祥城  ', '中楼层(共34层)板楼  -  天山海世界', '131万', '单价15774元/平米')
('https://image1.ljcdn.com/130100-inspection/777c9320-12ad-430c-81fa-4ee606d0f4bf.jpg.296x216.jpg', '珠峰国际花园 水榭花都旁 品质社区 南北通透三居室', '珠峰国际花园  ', '低楼层(共27层)板楼  -  天山海世界', '190万', '单价14019元/平米')
('https://image1.ljcdn.com/130100-inspection/4a62ac52-54e2-48f0-8ff1-18e79c9867a8.jpg.296x216.jpg', '精装两室 全南朝向 房屋保养较好 中间楼层', '卓达星辰花园  ', '中楼层(共24层)板楼  -  天山海世界', '163万', '单价13700元/平米')
('https://image1.ljcdn.com/130100-inspection/rsp_pic_uploadb0132c77-ed54-44a0-bdf7-e59db334d75b.jpg.296x216.jpg', '链家真房源 筑业花园 四室 中间楼层 随时看房', '筑业花园  ', '高楼层(共29层)板楼  -  天山海世界', '230万', '单价11861元/平米')
('https://image1.ljcdn.com/130100-inspection/59158bd5-96f5-4d5b-b33c-c3aac604bb50.jpg.296x216.jpg', '同祥城三室两厅，诚心出售，户型南北通透，双阳卧室', '同祥城C区  ', '低楼层(共34层)板楼  -  天山海世界', '190万', '单价14772元/平米')
('https://image1.ljcdn.com/130100-inspection/dee13c44-b3ca-48b0-900e-0b0f5a63369f.jpg.296x216.jpg', '新小区，配套全，南向俩居室，业主诚心出售，看房方便', '同祥城  ', '中楼层(共34层)板楼  -  天山海世界', '150万', '单价15828元/平米')
('', '石家庄信息工程职业学院家属楼 3室2厅 260万', '石家庄信息工程职业学院家属楼  ', '高楼层(共6层)暂无数据  -  天山海世界', '260万', '单价16997元/平米')
('https://image1.ljcdn.com/130100-inspection/b04a1443-adcc-4d2a-8d75-169b04f3c067.jpg.296x216.jpg', '此房楼层好，视野开阔，采光充足，小区交通便利。', '弘达明尚  ', '中楼层(共32层)板楼  -  天山海世界', '112万', '单价14920元/平米')
('', '天山水榭花都 2室2厅 165万', '天山水榭花都  ', '低楼层(共32层)板楼  -  天山海世界', '165万', '单价18750元/平米')
('https://image1.ljcdn.com/130100-inspection/ef0c1fed-c7ea-4e6f-ace4-c448ca60a2ae.jpg.296x216.jpg', '天山水榭花都 1室1厅 87万', '天山水榭花都  ', '高楼层(共32层)板楼  -  天山海世界', '87万', '单价18125元/平米')
