('', '蓝光coco蜜园 3室2厅 160万', '蓝光coco蜜园  ', '高楼层(共18层)暂无数据  -  安镇', '160万', '单价22510元/平米')
('', '蓝光coco蜜园 3室2厅 160万', '蓝光coco蜜园  ', '中楼层(共18层)暂无数据  -  安镇', '160万', '单价22223元/平米')
('', '蓝光coco蜜园 3室2厅 150万', '蓝光coco蜜园  ', '高楼层(共23层)暂无数据  -  安镇', '150万', '单价19737元/平米')
('', '碧桂园三期 稀 缺 户型4房开发商统一装修，送车位。', '无锡碧桂园领誉  ', '低楼层(共18层)暂无数据  -  安镇', '215万', '单价18266元/平米')
('https://image1.ljcdn.com/320200-inspection/37003223-d41e-437a-a41c-2acb0da0b9a1.jpg.296x216.jpg', '东太华苑 3室2厅 145万', '东太华苑  ', '中楼层(共7层)暂无数据  -  东亭', '145万', '单价11948元/平米')
('', '华夏东城一品 2室1厅 105万', '华夏东城一品  ', '低楼层(共18层)板楼  -  安镇', '105万', '单价12884元/平米')
('https://image1.ljcdn.com/320200-inspection/d50762b6-6563-4fd5-bd52-be8144c429c1.jpg.296x216.jpg', '东太华苑 3室2厅 149万', '东太华苑  ', '中楼层(共7层)暂无数据  -  东亭', '149万', '单价12329元/平米')
('', '无锡碧桂园B区 5室2厅 470万', '无锡碧桂园B区  ', '高楼层(共17层)暂无数据  -  安镇', '470万', '单价17217元/平米')
('https://image1.ljcdn.com/320200-inspection/ab16b25c-4558-4db8-b124-a0fd03d6cdce.jpg.296x216.jpg', '中邦城市花园 2室2厅 148万', '中邦城市花园  ', '中楼层(共32层)板楼  -  东亭', '148万', '单价17284元/平米')
('https://image1.ljcdn.com/131000-inspection/0042a3e7-8888-473b-b7a6-e3251a55f325.jpg.296x216.jpg', '春江花园C区 南北通透大三房送地下车位  随时签约', '春江花园C区（锡山）  ', '低楼层(共11层)暂无数据  -  东亭', '180万', '单价13417元/平米')
('', '蓝光coco蜜园 3室2厅 155万', '蓝光coco蜜园  ', '低楼层(共23层)暂无数据  -  安镇', '155万', '单价20180元/平米')
('https://image1.ljcdn.com/320200-inspection/84fcf884-3f21-4e07-80fb-fccf8f0867e6.jpg.296x216.jpg', '桑达园小区 2室1厅 135万', '桑达园小区  ', '中楼层(共11层)暂无数据  -  东亭', '135万', '单价13776元/平米')
('https://image1.ljcdn.com/320200-inspection/0bb4a829-faaa-480a-a755-3e7324912e38.jpg.296x216.jpg', '【链家真房源】首创隽府  两居室   采光好', '首创隽府  ', '低楼层(共25层)暂无数据  -  东亭', '148万', '单价15417元/平米')
('', '华夏新时代紫汀苑 5室2厅 175万', '华夏新时代紫汀苑  ', '高楼层(共12层)暂无数据  -  安镇', '175万', '单价8975元/平米')
('https://image1.ljcdn.com/320200-inspection/9a2c59b2-4dfc-4396-8f0c-d6b1adc0bfbb.jpg.296x216.jpg', '春江花园A区（锡山） 3室2厅 165万', '春江花园A区（锡山）  ', '低楼层(共6层)暂无数据  -  东亭', '165万', '单价12429元/平米')
('https://image1.ljcdn.com/320200-inspection/07c7821a-ae7c-4457-b037-f111400b95c0.jpg.296x216.jpg', '首创隽府精装大两房税费少看房方便', '首创隽府  ', '高楼层(共6层)暂无数据  -  东亭', '150万', '单价15951元/平米')
('', '万业观山鸿郡洋房毛培出售  此房属于稀、缺户型', '万业观山泓郡  ', '中楼层(共6层)暂无数据  -  安镇', '220万', '单价20110元/平米')
('https://image1.ljcdn.com/320200-inspection/test-729b02b7-9367-40c0-a5a4-1c7fd1010b91.png.296x216.jpg', '东芳名苑 4室2厅 195万', '东芳名苑  ', '低楼层(共6层)暂无数据  -  东北塘', '195万', '单价11471元/平米')
('', '三开间朝阳，另赠送面积30平，采光充足，房东诚心出售', '无锡碧桂园B区  ', '低楼层(共21层)暂无数据  -  安镇', '153万', '单价16631元/平米')
('', '碧桂园一期 大三房 南北通透 全新毛坯房 满2年', '无锡碧桂园A区  ', '低楼层(共26层)暂无数据  -  安镇', '208万', '单价16378元/平米')
('https://image1.ljcdn.com/320200-inspection/94f0b4df-8457-4286-a900-d6018e273119.jpg.296x216.jpg', '金锡苑北区 2室1厅 68万', '金锡苑北区  ', '高楼层(共6层)暂无数据  -  东亭', '68万', '单价11930元/平米')
('', '无锡碧桂园B区 3室2厅 200万', '无锡碧桂园B区  ', '低楼层(共27层)暂无数据  -  安镇', '200万', '单价16667元/平米')
('', '华夏名都花苑 4室2厅 200万', '华夏名都花苑  ', '未知(共0层)暂无数据  -  安镇', '200万', '单价15504元/平米')
('https://image1.ljcdn.com/320200-inspection/2d2b8bd7-b8f7-4e6b-a681-b6b8fb3f95b4.jpg.296x216.jpg', '东太华苑 3室1厅 142万', '东太华苑  ', '低楼层(共7层)暂无数据  -  东亭', '142万', '单价12019元/平米')
('', '红豆香江豪庭 3室2厅 220万', '红豆香江豪庭  ', '高楼层(共33层)板楼  -  安镇', '220万', '单价17323元/平米')
('', '华夏东城一品 2室2厅 118万', '华夏东城一品  ', '未知(共0层)暂无数据  -  安镇', '118万', '单价14375元/平米')
('https://image1.ljcdn.com/320200-inspection/e0cb93d0-cc7c-4317-94b7-02ccc3910311.jpg.296x216.jpg', '中邦城市花园 2室2厅 135万', '中邦城市花园  ', '高楼层(共30层)板塔结合  -  东亭', '135万', '单价15041元/平米')
('', '红豆香江豪庭 2室2厅 145万', '红豆香江豪庭  ', '低楼层(共33层)板楼  -  安镇', '145万', '单价16293元/平米')
('', '蓝光COCO蜜园 刚需三房中间套', '蓝光coco蜜园  ', '低楼层(共18层)暂无数据  -  安镇', '158万', '单价21945元/平米')
('https://image1.ljcdn.com/320200-inspection/accb8d6c-c756-4757-8260-e16316e6f2a0.jpg.296x216.jpg', '赛维拉精装 房东自住 赠送面积大 拎包入住', '赛维拉假日花园  ', '中楼层(共5层)暂无数据  -  东亭', '245万', '单价15706元/平米')
('', '无锡碧桂园A区 3室2厅 210万', '无锡碧桂园A区  ', '未知(共0层)暂无数据  -  安镇', '210万', '单价17500元/平米')
('', '云林苑 3室1厅 80万', '云林苑  ', '高楼层(共11层)暂无数据  -  东亭', '80万', '单价9249元/平米')
('', '红豆香江豪庭 2室2厅 162万', '红豆香江豪庭  ', '未知(共18层)板楼  -  安镇', '162万', '单价18211元/平米')
('', '蓝光coco蜜园 豪 装三房 户型好 满两年税费少诚心出售', '蓝光coco蜜园  ', '高楼层(共18层)暂无数据  -  安镇', '170万', '单价20970元/平米')
('https://image1.ljcdn.com/320200-inspection/c2311640-50a1-4261-9e47-6f3c5b50cc93.jpg.296x216.jpg', '首创隽府 毛坯    户型方正 采光好', '首创隽府  ', '中楼层(共25层)暂无数据  -  东亭', '238万', '单价14252元/平米')
('', '金锡苑 3室2厅 245万', '金锡苑  ', '中楼层(共6层)暂无数据  -  东亭', '245万', '单价16367元/平米')
