('https://image1.ljcdn.com/370200-inspection/test-3f1a7f97-05ef-46be-846b-7b39b52010db.png.296x216.jpg', '市南低密度居住区 小区经典2居 带产权车位 前后花园', '瑞纳紫域  | 2室1厅 | 98.39平米 | 南 | 简装 | 无电梯', '中楼层(共5层)2008年建板楼  -  天山银海', '400万', '单价40655元/平米')
('https://image1.ljcdn.com/370200-inspection/93198a6c-66a4-423a-9412-2520823da855.jpg.296x216.jpg', '镇江路 3室1厅 200万', '镇江路  | 3室1厅 | 104.94平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)1999年建板楼  -  镇江路', '200万', '单价19059元/平米')
('https://image1.ljcdn.com/370200-inspection/02486db7-4c95-4910-b68c-b2d5d046c8c6.jpg.296x216.jpg', '户型方正，双南户型，采光好，楼层好，业主诚心卖。', '明月峡路8-42号（双号）  | 2室1厅 | 84.99平米 | 南 北 | 其他', '中楼层(共7层)暂无数据  -  团岛', '228万', '单价26827元/平米')
('https://image1.ljcdn.com/370200-inspection/b55a42e7-dc65-4026-934e-85e9ed6aca95.jpg.296x216.jpg', '依山雅居 精装套二   观海视野 采光棒 满五唯一省双税', '依山雅居  | 2室2厅 | 93.46平米 | 南 西 | 简装 | 有电梯', '高楼层(共20层)2010年建板楼  -  福安', '318万', '单价34026元/平米')
('https://image1.ljcdn.com/370200-inspection/ad1b4218-075b-4cef-bd29-9095fd29b7c2.jpg.296x216.jpg', '宁夏路双号 CBD区域 南北通透格局 单价低', '宁夏路（双号）  | 2室1厅 | 64.38平米 | 南 北 | 其他', '高楼层(共7层)1999年建板楼  -  中央CBD', '146万', '单价22678元/平米')
('https://image1.ljcdn.com/370200-inspection/test-9f3e0143-8503-4b5d-ab13-13925f04a8d6.png.296x216.jpg', '鲁信长乐，封闭小区，生活舒适，交通便利。', '鲁信长乐花园  | 2室1厅 | 120.89平米 | 南 北 | 其他 | 有电梯', '低楼层(共9层)2001年建板楼  -  远洋广场', '408万', '单价33750元/平米')
('https://image1.ljcdn.com/370200-inspection/528c3c24-eb45-4962-bf89-45446558fc2f.jpg.296x216.jpg', '实际面积95平 双南卧北厅套二  多层中间层 南北通透', '仙居路  | 2室1厅 | 85.2平米 | 南 北 | 简装 | 无电梯', '中楼层(共5层)1997年建板楼  -  田家花园', '285万', '单价33451元/平米')
('https://image1.ljcdn.com/370200-inspection/test-6110edac-261f-4df5-ade3-c5e8c98a45b9.png.296x216.jpg', '新上套二厅 平地二楼 满五唯一 业主诚售', '福林小区（宁夏路）  | 2室1厅 | 60.45平米 | 南 北 | 简装 | 无电梯', '低楼层(共7层)1993年建板楼  -  大尧', '188万', '单价31101元/平米')
('https://image1.ljcdn.com/370200-inspection/6089ff48-f63a-4578-bbef-e7218d1471b9.jpg.296x216.jpg', '新贵都小区 精装修大套一可做套二', '新贵都B区  | 1室1厅 | 53.37平米 | 南 | 其他 | 无电梯', '中楼层(共8层)2002年建板楼  -  新贵都', '172万', '单价32228元/平米')
('https://image1.ljcdn.com/370200-inspection/5bbe35ab-1f26-4c0e-be98-cb82061d7e21.jpg.296x216.jpg', '闽江路青啤花园套二中间楼层满五年唯一', '青啤花园  | 2室1厅 | 89.17平米 | 南 北 | 精装 | 无电梯', '中楼层(共7层)1997年建板楼  -  闽江路', '300万', '单价33644元/平米')
('https://image1.ljcdn.com/370200-inspection/test-16cfa9ad-10cd-4f2b-bf9b-ffc20fb51f71.png.296x216.jpg', '（精）湛山盐城路 低楼层 精装套二厅 全明户型 采光好', '盐城路  | 2室0厅 | 58.45平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1995年建板楼  -  湛山', '268万', '单价45852元/平米')
('https://image1.ljcdn.com/370200-inspection/test-56081686-7ed1-4f11-b1ef-e27f2f2b6c5f.png.296x216.jpg', '天福苑 东明厅套三 高楼层采光好 精装修拎包入住', '天福苑  | 3室2厅 | 130.96平米 | 东 南 北 | 精装 | 有电梯', '高楼层(共16层)2003年建板楼  -  天山银海', '450万', '单价34362元/平米')
('https://image1.ljcdn.com/370200-inspection/rsp_pic_upload6c72b898-02a6-4c76-b093-36db5320c8bc.jpg.296x216.jpg', '泛海名人   精装修双南卧一北卧南北通透套三。', '泛海名人广场  | 3室2厅 | 179.14平米 | 南 北 | 其他 | 有电梯', '中楼层(共30层)2001年建塔楼  -  远洋广场', '500万', '单价27912元/平米')
('https://image1.ljcdn.com/370200-inspection/6c46b135-c77b-4cda-aec9-fcfcebd21f8a.jpg.296x216.jpg', '广电大厦 天台路 南北通透明厅套二 低楼层 采光好', '天台路  | 2室1厅 | 55.92平米 | 南 北 | 其他 | 无电梯', '低楼层(共8层)1992年建板楼  -  田家花园', '156万', '单价27897元/平米')
