('https://image1.ljcdn.com/320500-inspection/d145675d-db0c-4d58-a20b-57962470b647.jpg.296x216.jpg', '怡馨花园 3室2厅 317万', '怡馨花园  | 3室2厅 | 124.19平米 | 南 | 其他', '中楼层(共4层)2005年建板楼  -  狮山', '317万', '单价25526元/平米')
('https://image1.ljcdn.com/320500-inspection/aef6c447-5006-4706-ab68-1dc07b5d21b4.jpg.296x216.jpg', '仁恒棠悦湾二期 品质物业  通透三房 精装科技住宅', '仁恒棠悦湾  | 3室2厅 | 115平米 | 南 | 其他 | 有电梯', '中楼层(共26层)2017年建板楼  -  横塘', '405万', '单价35218元/平米')
('https://image1.ljcdn.com/320500-inspection/a5d81c9c-e0e6-4698-8d52-56fddcd11202.jpg.296x216.jpg', '惠泽云锦城 3室2厅 184万', '惠泽云锦城  | 3室2厅 | 106.29平米 | 南 | 其他 | 有电梯', '高楼层(共18层)2012年建板楼  -  浒墅关经济技术开发区', '184万', '单价17312元/平米')
('https://image1.ljcdn.com/320500-inspection/5c840673-20e0-4b38-a694-1f12f4fe617d.jpg.296x216.jpg', '银枫大厦 3室2厅 185万', '银枫大厦  | 3室2厅 | 124.73平米 | 南 北 | 其他 | 无电梯', '中楼层(共5层)2002年建板楼  -  狮山', '185万', '单价14833元/平米')
('https://image1.ljcdn.com/320500-inspection/00c71b5e-f135-4412-8661-d6161bccd3f3.jpg.296x216.jpg', '美田山水之恋 2室2厅 202万', '美田山水之恋  | 2室2厅 | 96平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2006年建板楼  -  横塘', '202万', '单价21042元/平米')
('https://image1.ljcdn.com/320500-inspection/b99a3fa7-0c1b-42b9-b121-8ffb78ba985e.jpg.296x216.jpg', '山水映象，一楼带院子，毛坯，南北通透，采光佳', '山水映象  | 3室2厅 | 143.79平米 | 南 北 | 其他 | 有电梯', '低楼层(共8层)2010年建板楼  -  横塘', '240万', '单价16692元/平米')
('https://image1.ljcdn.com/320500-inspection/b215a2bc-c308-425e-acdc-90ab7d03ffd8.jpg.296x216.jpg', '旭辉上河郡 3室2厅 188万', '旭辉上河郡  | 3室2厅 | 93平米 | 南 | 其他 | 有电梯', '中楼层(共16层)2012年建板楼  -  浒墅关经济技术开发区', '188万', '单价20216元/平米')
('https://image1.ljcdn.com/320500-inspection/7b0263fe-ab51-464e-b033-8b0fc5118c6b.jpg.296x216.jpg', '林枫苑 3室2厅 186万', '林枫苑  | 3室2厅 | 95平米 | 南 | 其他 | 无电梯', '中楼层(共6层)1998年建板楼  -  枫桥', '186万', '单价19579元/平米')
('https://image1.ljcdn.com/320500-inspection/09a365c6-888d-4814-9782-25bf4a5be683.jpg.296x216.jpg', '蓝天广场 2室1厅 110万', '蓝天广场  | 2室1厅 | 82平米 | 东 西 | 其他 | 有电梯', '低楼层(共10层)2015年建板楼  -  枫桥', '110万', '单价13415元/平米')
('https://image1.ljcdn.com/320500-inspection/e9db7c9a-47f1-4ea5-b6b1-e0a2bb62e746.jpg.296x216.jpg', '万科遇见山 3室1厅 280万', '万科遇见山  | 3室1厅 | 113.49平米 | 南 北 | 其他 | 有电梯', '低楼层(共8层)2018年建塔楼  -  阳山生态区', '280万', '单价24672元/平米')
('https://image1.ljcdn.com/320500-inspection/618e44ff-85e7-4cbd-b5d2-d40eb919b72b.jpg.296x216.jpg', '中梁香缇 2室2厅 123万', '中梁香缇  | 2室2厅 | 50.36平米 | 南 北 | 其他 | 有电梯', '中楼层(共19层)2013年建板楼  -  狮山', '123万', '单价24425元/平米')
