('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploadf45114b3-fccf-4250-befd-7bfc2e23c8eb.JPG.296x216.jpg', '实验小学英华街 2室1厅 145万', '实验小学英华街  | 2室1厅 | 63.02平米 | 南 | 简装 | 有电梯', '中楼层(共18层)1990年建板楼  -  英华街', '145万', '单价23009元/平米')
('https://image1.ljcdn.com/210200-inspection/a6519710-12f4-4e71-910f-86bb363bd48b.JPG.296x216.jpg', '香炉礁南北对卧 户型规矩 视野好采光好 位置近地铁', '香炉礁  | 2室1厅 | 67.47平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1993年建板楼  -  香炉礁', '60万', '单价8893元/平米')
('https://image1.ljcdn.com/210200-inspection/test-1f27a6d2-9a68-4541-98c7-b6734c4d7ac9.png.296x216.jpg', '双兴北巷 1室1厅 44万', '双兴北巷  | 1室1厅 | 45平米 | 南 | 简装', '高楼层(共7层)1995年建板楼  -  大菜市', '44万', '单价9778元/平米')
('https://image1.ljcdn.com/210200-inspection/69a4d5a5-3d0a-44cb-9097-7564781927fe.JPG.296x216.jpg', '香炉礁一室一厅好房中间楼层精装修', '香炉礁  | 1室1厅 | 49.51平米 | 东 西 | 精装 | 无电梯', '中楼层(共7层)1995年建塔楼  -  香炉礁', '52万', '单价10503元/平米')
('https://image1.ljcdn.com/210200-inspection/test-2ed54b1d-8f8f-4bd3-9dca-93573832249d.png.296x216.jpg', '体育场 低楼层 南北两室 户型好', '建业南街  | 2室1厅 | 58.27平米 | 南 北 | 精装', '中楼层(共4层)板楼  -  太原街', '90万', '单价15446元/平米')
('https://image1.ljcdn.com/210200-inspection/test-e1b53e5f-e78f-4bc0-90d8-ec8b7cd4017a.png.296x216.jpg', '小户型南向1室一厅带简装修好房', '工人村  | 1室1厅 | 36.72平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1985年建板楼  -  香炉礁', '37万', '单价10077元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload61832451-62ad-4985-8d1d-61ea0ac4dd06.JPG.296x216.jpg', '34中水仙 非一非顶 位置好没有坡 得房率可以', '34中纪念街  | 2室1厅 | 64.82平米 | 东 西 | 简装 | 无电梯', '高楼层(共7层)1990年建板楼  -  唐山街', '174万', '单价26844元/平米')
('https://image1.ljcdn.com/210200-inspection/728af116-e6a7-4049-9b48-f4552d8b5206.JPG.296x216.jpg', '景润二期框架房南北向采光好封闭小区', '景润二期  | 2室2厅 | 93.06平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2000年建板楼  -  北京公园', '115万', '单价12358元/平米')
('https://image1.ljcdn.com/210200-inspection/eaca5ae7-5d54-4e7e-b7ab-35bc13821975.JPG.296x216.jpg', '香炉礁地铁站两室带装修刘楼光线足', '香炉礁  | 2室2厅 | 69.68平米 | 南 北 | 简装 | 无电梯', '中楼层(共8层)1993年建板楼  -  香炉礁', '68.5万', '单价9831元/平米')
('https://image1.ljcdn.com/210200-inspection/test-3113dc10-a49e-408c-b403-f4bb787ac6d9.png.296x216.jpg', '中华名城 2室2厅 270万', '中华名城  | 2室2厅 | 136.57平米 | 南 北 | 其他 | 无电梯', '中楼层(共5层)2003年建板楼  -  八一路', '270万', '单价19771元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploada964b52b-a129-439c-8b9a-e32e927e85d2.jpg.296x216.jpg', '八一路杏红巷两室一厅中间楼层环境好光线好', '杏红巷  | 2室1厅 | 59.73平米 | 南 | 简装 | 无电梯', '低楼层(共7层)1994年建板楼  -  八一路', '60万', '单价10046元/平米')
