('https://image1.ljcdn.com/370101-inspection/145f66a2-cd22-457c-8e5d-6691b15b0ac1.jpg.296x216.jpg', '未来城  双南向二居室  满两年  精装修', '未来城  | 2室2厅 | 96.67平米 | 南 | 精装 | 有电梯', '中楼层(共22层)2010年建塔楼  -  国际会展中心', '192万', '单价19862元/平米')
('https://image1.ljcdn.com/370101-inspection/1f025012-0235-4fc8-9bd8-8d3e38df1795.jpg.296x216.jpg', '过渡型三室 精装 满五年 中海奥龙观邸 产权车位 万科', '中海奥龙觀邸  | 3室2厅 | 113.87平米 | 南 | 精装', '低楼层(共28层)2012年建板楼  -  汉峪', '285万', '单价25029元/平米')
('https://image1.ljcdn.com/370101-inspection/rsp_pic_uploaddcd8a0aa-ccc1-4f15-bf31-3211ed9588cf.jpg.296x216.jpg', '精装修，南北通透，采光好，户型方正，出行便利', '万科金域国际  | 3室1厅 | 145.7平米 | 南 北 | 精装', '低楼层(共24层)板楼  -  齐鲁软件园', '355万', '单价24366元/平米')
('https://image1.ljcdn.com/370101-inspection/3d04a552-2e16-4659-b09b-a711db97efa9.jpg.296x216.jpg', '高新区 新东方花园 多层带电梯 看房提前预约', '新东方花园  | 3室2厅 | 138平米 | 南 北 | 精装 | 有电梯', '低楼层(共12层)2005年建板楼  -  康虹路', '240万', '单价17392元/平米')
('https://image1.ljcdn.com/370101-inspection/42ad57e0-759a-4723-895f-0977d1b712e8.jpg.296x216.jpg', '茗筑美嘉 精装两室 证满两年 三个阳台', '茗筑美嘉  | 2室2厅 | 91平米 | 南 | 精装 | 有电梯', '高楼层(共24层)2009年建板楼  -  康虹路', '168万', '单价18462元/平米')
('https://image1.ljcdn.com/370101-inspection/8c6920d0-8b42-434a-bbfe-3522faa1cb02.jpg.296x216.jpg', '万达商圈+精装三居室+南北通透+有地下室+随时看房', '盛世花城  | 3室2厅 | 147.13平米 | 南 北 | 其他 | 有电梯', '低楼层(共17层)2008年建板楼  -  国际会展中心', '280万', '单价19031元/平米')
('https://image1.ljcdn.com/370101-inspection/fcf7b2fe-78f4-4300-8f71-0d694ab66ffb.jpg.296x216.jpg', '海信慧园东区精装修，不沿街不靠路，高楼层采光充足', '海信慧园东区  | 2室2厅 | 92.62平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2010年建板楼  -  康虹路', '174万', '单价18787元/平米')
('https://image1.ljcdn.com/370101-inspection/cb1143c3-ced6-4f32-bd30-842270ef5cba.jpg.296x216.jpg', '高新区 雨滴广场 精装修 采光充足 公摊小', '黄金时代  | 3室2厅 | 118.25平米 | 南 北 | 其他 | 无电梯', '中楼层(共7层)2004年建板楼  -  齐鲁软件园', '280万', '单价23679元/平米')
('https://image1.ljcdn.com/370101-inspection/feeb07a5-a150-4fa8-b296-79b43a4e2162.jpg.296x216.jpg', '茗筑美嘉 精装两居 两室朝阳 户型方正 满两年免增值税', '茗筑美嘉  | 2室2厅 | 91.56平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2009年建板楼  -  康虹路', '183万', '单价19987元/平米')
('https://image1.ljcdn.com/370101-inspection/858a45f6-5d67-4258-812e-f71ba3e17716.jpg.296x216.jpg', '龙园两室，有车位，看房方便，生活便利。', '龙园  | 2室2厅 | 96.7平米 | 南 | 其他 | 有电梯', '中楼层(共22层)2011年建板楼  -  齐鲁软件园', '210万', '单价21717元/平米')
('https://image1.ljcdn.com/370101-inspection/rsp_pic_uploadafe66f71-6224-483c-aec2-981128efb8ba.jpg.296x216.jpg', '高新万达广场 鑫苑国际 南北通透板楼 送车位 诚心出售', '鑫苑国际城市花园  | 2室1厅 | 78.59平米 | 南 北 | 简装 | 有电梯', '中楼层(共9层)2009年建板楼  -  国际会展中心', '175万', '单价22268元/平米')
