('https://image1.ljcdn.com/440100-inspection/test-34b31523-11a5-4cbd-aeb9-f2ebcafaf1c6.png.296x216.jpg', '惠百氏广场电梯精装东向一房一厅满两年无按揭看房方便', '惠百氏广场  | 1室1厅 | 54.14平米 | 东 | 精装 | 有电梯', '中楼层(共11层)塔楼  -  新塘', '136万', '单价25121元/平米')
('https://image1.ljcdn.com/440100-inspection/d09d8cb2-32ca-48df-843b-23e20d7d792b.jpg.296x216.jpg', '亚太新城自住三房出售，南北通透！', '亚太新城富华苑  | 3室2厅 | 93.7平米 | 北 | 其他 | 无电梯', '中楼层(共5层)塔楼  -  新塘', '170万', '单价18144元/平米')
('https://image1.ljcdn.com/440100-inspection/d3295ceb-1e57-4e86-ac43-c02c756ad07a.jpg.296x216.jpg', '东方名都 中层 东南向 带入户花园 精装修', '东方名都  | 4室2厅 | 144.57平米 | 东南 | 其他 | 有电梯', '中楼层(共29层)2013年建塔楼  -  新塘', '400万', '单价27669元/平米')
('https://image1.ljcdn.com/440100-inspection/8df4828c-e02a-49d9-90d4-60a1f4437ae7.jpg.296x216.jpg', '碧桂园凤凰城凤扬苑 4室2厅 780万', '碧桂园凤凰城凤扬苑   | 独栋别墅 | 4室2厅 | 218.63平米 | 南 | 精装 | 无电梯', '1层2010年建暂无数据  -  凤凰城', '780万', '单价35677元/平米')
('https://image1.ljcdn.com/440100-inspection/650a9020-1867-43cb-9a6c-94d4f81e30b9.jpg.296x216.jpg', '翡翠绿洲  十一期 满两年精装 南向大两房', '翡翠绿洲湖绣苑  | 2室2厅 | 95.53平米 | 南 | 精装 | 有电梯', '低楼层(共25层)2011年建塔楼  -  凤凰城', '230万', '单价24077元/平米')
('https://image1.ljcdn.com/440100-inspection/test-3b08cc03-2262-470e-9970-a684672e6cef.png.296x216.jpg', '凤馨苑 精装三房 保养好', '碧桂园凤凰城凤馨苑  | 3室2厅 | 95.73平米 | 西 | 精装 | 有电梯', '高楼层(共18层)2002年建塔楼  -  凤凰城', '232万', '单价24235元/平米')
('https://image1.ljcdn.com/440100-inspection/659fdea1-d431-4196-a3e8-c86089b550ca.jpg.296x216.jpg', '新塘新世界花园嘉华苑 2室2厅 155万', '新塘新世界花园嘉华苑  | 2室2厅 | 77.31平米 | 东北 | 其他 | 无电梯', '高楼层(共5层)塔楼  -  新塘', '155万', '单价20050元/平米')
('https://image1.ljcdn.com/440100-inspection/8d3453a0-6d8e-460a-b675-db3197588061.jpg.296x216.jpg', '南向大三房 安静看花园 精装修 南北对流 近地铁', '假日花园  | 3室3厅 | 138.6平米 | 东南 | 精装 | 有电梯', '低楼层(共18层)塔楼  -  新塘', '360万', '单价25975元/平米')
('https://image1.ljcdn.com/440100-inspection/aff107e6-7e3a-45d4-a960-d13e9f08dc9a.jpg.296x216.jpg', '翡翠绿洲湖翠苑 高层南向大两房', '翡翠绿洲湖翠苑  | 2室2厅 | 94.66平米 | 南 | 其他 | 有电梯', '高楼层(共24层)2011年建塔楼  -  凤凰城', '215万', '单价22713元/平米')
('https://image1.ljcdn.com/440100-inspection/87060641-93b8-4c33-92da-f8fe5633f26d.jpg.296x216.jpg', '翡翠绿洲森林半岛 精装修大两房 花园洋房', '翡翠绿洲森林半岛  | 2室2厅 | 101.26平米 | 东 | 其他 | 有电梯', '高楼层(共24层)2011年建塔楼  -  凤凰城', '230万', '单价22714元/平米')
('https://image1.ljcdn.com/440100-inspection/3f432cfd-2c96-4887-9729-d9bfb2243d50.jpg.296x216.jpg', '凤妍苑精装三房 南北对流 望花园', '碧桂园凤凰城凤妍苑  | 3室2厅 | 95.15平米 | 北 | 其他 | 有电梯', '中楼层(共17层)2002年建塔楼  -  凤凰城', '258万', '单价27116元/平米')
('https://image1.ljcdn.com/440100-inspection/test-ed44e3a0-1149-4d26-b015-c5d89182b057.png.296x216.jpg', '碧桂园凤凰城凤馨苑 3室2厅 230万', '碧桂园凤凰城凤馨苑  | 3室2厅 | 92.39平米 | 北 | 精装 | 有电梯', '高楼层(共18层)2002年建塔楼  -  凤凰城', '230万', '单价24895元/平米')
