('https://image1.ljcdn.com/320500-inspection/test-aba98dd5-ce89-47a1-93b6-e94635269f8e.png.296x216.jpg', '伟业迎春世家 2室2厅 169万', '伟业迎春世家  | 2室2厅 | 93.87平米 | 南 | 其他 | 有电梯', '低楼层(共27层)2013年建板楼  -  太湖新城（吴江）', '169万', '单价18004元/平米')
('https://image1.ljcdn.com/320500-inspection/test-fe3c4562-f27d-479b-99a2-da04647189a5.png.296x216.jpg', '伟业迎春华府 2室2厅 150万', '伟业迎春华府  | 2室2厅 | 89平米 | 南 | 其他 | 有电梯', '低楼层(共18层)2011年建板楼  -  太湖新城（吴江）', '150万', '单价16854元/平米')
('https://image1.ljcdn.com/320500-inspection/450e516e-935e-4dc3-ab43-5c95a5312393.jpg.296x216.jpg', '新湖明珠城米兰苑 3室2厅 225万', '新湖明珠城米兰苑  | 3室2厅 | 121.3平米 | 南 | 精装', '高楼层(共6层)板楼  -  太湖新城（吴江）', '225万', '单价18550元/平米')
('https://image1.ljcdn.com/320500-inspection/252684ef-550f-4828-8141-778d2643eabb.jpg.296x216.jpg', '新湖明珠城望湖苑 2室2厅 163万', '新湖明珠城望湖苑  | 2室2厅 | 89平米 | 南 | 精装 | 有电梯', '中楼层(共23层)2016年建板楼  -  太湖新城（吴江）', '163万', '单价18315元/平米')
('', '苏高新地产天城花园 3室2厅 208万', '苏高新地产天城花园  | 3室2厅 | 139.77平米 | 南 | 其他 | 无电梯', '中楼层(共6层)2015年建板塔结合  -  松陵', '208万', '单价14882元/平米')
('', '景瑞东环之歌 3室2厅 142万', '景瑞东环之歌  | 3室2厅 | 86平米 | 南 | 其他 | 有电梯', '高楼层(共21层)2018年建板楼  -  松陵', '142万', '单价16512元/平米')
('https://image1.ljcdn.com/320500-inspection/test-2652f3c2-33f1-4378-8926-235af7551e25.png.296x216.jpg', '万科碧桂园 4室2厅 173万', '万科碧桂园  | 4室2厅 | 90.89平米 | 南 | 毛坯 | 有电梯', '高楼层(共34层)2018年建板塔结合  -  太湖新城（吴江）', '173万', '单价19034元/平米')
('https://image1.ljcdn.com/320500-inspection/test-a6f020d2-3576-4ff0-894b-70ae1fc5229c.png.296x216.jpg', '伟业迎春世家 3室2厅 190万', '伟业迎春世家  | 3室2厅 | 98.41平米 | 南 | 其他 | 有电梯', '中楼层(共16层)2015年建板楼  -  太湖新城（吴江）', '190万', '单价19307元/平米')
('', '湖滨华城祥瑞苑 3室2厅 186万', '湖滨华城祥瑞苑  | 3室2厅 | 138平米 | 南 | 其他 | 有电梯', '中楼层(共13层)2012年建板楼  -  松陵', '186万', '单价13479元/平米')
('https://image1.ljcdn.com/320500-inspection/test-0b4c5345-4f2a-407e-a7b9-9115d3e42c1d.png.296x216.jpg', '新城招商香溪源 3室2厅 218万', '新城招商香溪源  | 3室2厅 | 108平米 | 南 | 其他 | 有电梯', '中楼层(共11层)2019年建板塔结合  -  太湖新城（吴江）', '218万', '单价20186元/平米')
('', '伟业迎春丽家 2室2厅 133万', '伟业迎春丽家  | 2室2厅 | 80.8平米 | 南 | 其他 | 有电梯', '中楼层(共18层)2015年建板楼  -  太湖新城（吴江）', '133万', '单价16461元/平米')
('https://image1.ljcdn.com/320500-inspection/test-406d8b83-79d4-4753-87e5-7caabe35e590.png.296x216.jpg', '中房颐园 4室2厅 298万', '中房颐园  | 4室2厅 | 143平米 | 南 | 其他 | 有电梯', '低楼层(共18层)板塔结合  -  太湖新城（吴江）', '298万', '单价20840元/平米')
('https://image1.ljcdn.com/320500-inspection/test-05ce11ea-4879-419b-bd5d-a26c7a0d594a.png.296x216.jpg', '苏高新地产天城花园 4室2厅 225万', '苏高新地产天城花园  | 4室2厅 | 141平米 | 南 | 其他 | 有电梯', '高楼层(共24层)2015年建板塔结合  -  松陵', '225万', '单价15958元/平米')
('https://image1.ljcdn.com/320500-inspection/test-c805cb56-25a4-4812-94c8-a81416e85e59.png.296x216.jpg', '梅石小区 3室2厅 165万', '梅石小区  | 3室2厅 | 97平米 | 南 | 其他 | 无电梯', '中楼层(共5层)2006年建板楼  -  松陵', '165万', '单价17011元/平米')
('https://image1.ljcdn.com/320500-inspection/test-b66a26c5-a9b1-4c40-9be5-028f111efb9f.png.296x216.jpg', '新城红树湾 3室2厅 169万', '新城红树湾  | 3室2厅 | 87.5平米 | 南 | 其他 | 有电梯', '中楼层(共34层)2015年建板塔结合  -  太湖新城（吴江）', '169万', '单价19315元/平米')
('', '格林悦城花园 2室1厅 128万', '格林悦城花园  | 2室1厅 | 79平米 | 南 北 | 精装 | 有电梯', '中楼层(共6层)2014年建板楼  -  松陵', '128万', '单价16203元/平米')
('https://image1.ljcdn.com/320500-inspection/test-4932d412-18f3-4906-8167-533d94169e4c.png.296x216.jpg', '新湖明珠城紫桂苑 4室2厅 294万', '新湖明珠城紫桂苑  | 4室2厅 | 170平米 | 南 | 毛坯', '低楼层(共17层)暂无数据  -  太湖新城（吴江）', '294万', '单价17295元/平米')
('https://image1.ljcdn.com/320500-inspection/test-e0d70a24-38de-47b0-8085-85e174e4af46.png.296x216.jpg', '吴江新城吾悦广场 1室1厅 35万', '吴江新城吾悦广场  | 1室1厅 | 39平米 | 西北 | 其他 | 有电梯', '高楼层(共24层)板楼  -  太湖新城（吴江）', '35万', '单价8975元/平米')
('https://image1.ljcdn.com/320500-inspection/test-ba5dd121-81a1-48cc-b186-842fb21ab688.png.296x216.jpg', '新城红树湾 3室2厅 164万', '新城红树湾  | 3室2厅 | 88.31平米 | 南 | 毛坯 | 有电梯', '高楼层(共34层)2015年建板塔结合  -  太湖新城（吴江）', '164万', '单价18571元/平米')
