('https://image1.ljcdn.com/500000-inspection/e72f92d9-8924-440f-926e-86ab6841b139.JPG.296x216.jpg', '正规三房  +朝南超中庭+看房方便+诚心出售', '大城小爱  | 3室2厅 | 82平米 | 南 | 简装 | 有电梯', '高楼层(共34层)2010年建塔楼  -  石桥铺', '125万', '单价15244元/平米')
('https://image1.ljcdn.com/500000-inspection/923b1701-b126-43c8-b5d9-3fad45b5e00a.JPG.296x216.jpg', '急售 重庆大学旁兴亚沙宾国际  正规两房价格很理想。', '兴亚沙滨国际  | 2室2厅 | 74.55平米 | 西南 | 简装 | 有电梯', '低楼层(共21层)2017年建塔楼  -  沙滨路', '105万', '单价14085元/平米')
('https://image1.ljcdn.com/500000-inspection/535e9d02-10ca-454d-981a-fb150720edcd.jpg.296x216.jpg', '正规两房，精装修，9成新，配套完善，旁边万达', '中房千寻  | 2室2厅 | 76.85平米 | 东 | 精装 | 有电梯', '低楼层(共33层)2011年建塔楼  -  石桥铺', '116万', '单价15095元/平米')
('https://image1.ljcdn.com/500000-inspection/cd42f7aa-36bb-455a-991d-afc685794fbb.jpg.296x216.jpg', '南方苹果派 一室一厅 精装修满两年带家具家电拎包入住', '南方苹果派  | 2室1厅 | 54.61平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2014年建塔楼  -  石桥铺', '85万', '单价15565元/平米')
('https://image1.ljcdn.com/500000-inspection/caf3e311-b96c-43bc-b587-9b4cfadf7101.jpg.296x216.jpg', '龙湖u城四组团清水三房，带前后露台', '龙湖U城四组团  | 3室2厅 | 130.49平米 | 南 北 | 毛坯 | 有电梯', '中楼层(共8层)2012年建板楼  -  大学城', '228万', '单价17473元/平米')
('https://image1.ljcdn.com/500000-inspection/b162140d-76c7-48ae-806a-ce7a181ff6c7.jpg.296x216.jpg', '融汇温泉城童话里 正规两房 朝中庭 配套成熟 诚心售', '融汇温泉城童话里  | 2室2厅 | 67平米 | 南 | 毛坯 | 有电梯', '低楼层(共33层)2017年建塔楼  -  梨树湾', '105万', '单价15672元/平米')
('https://image1.ljcdn.com/500000-inspection/47b65fe3-7760-4c3b-9847-f1f16262b08f.jpg.296x216.jpg', '轻轨楼盘 龙凤云洲 精装住家三房 拎包入住', '龙凤云洲  | 3室2厅 | 85.69平米 | 东南 | 精装 | 有电梯', '高楼层(共31层)2010年建塔楼  -  杨公桥', '135万', '单价15755元/平米')
('https://image1.ljcdn.com/500000-inspection/f2935cf9-ee0f-4b57-be38-e9bf47ccb8f0.jpg.296x216.jpg', '金科廊桥水乡C区，中间楼层，临重庆一中', '金科廊桥水乡C区  | 2室1厅 | 68平米 | 南 | 其他 | 有电梯', '中楼层(共18层)2012年建塔楼  -  大学城', '85万', '单价12500元/平米')
('https://image1.ljcdn.com/500000-inspection/7fd95413-ca6f-4a90-9fc4-7ca7cc7e3b01.jpg.296x216.jpg', '金沙港湾一线江景三房，户型方正，卧室客厅都看江。', '金沙港湾  | 3室2厅 | 164.71平米 | 东南 | 其他 | 有电梯', '高楼层(共48层)2003年建塔楼  -  沙滨路', '190万', '单价11536元/平米')
('https://image1.ljcdn.com/500000-inspection/01c27b9c-2959-4146-bcb1-b5699ac6968d.JPG.296x216.jpg', '正规三房两厅一卫 住家安静 品牌家电家具 采光好', '华宇温莎小镇  | 3室2厅 | 78.56平米 | 北 | 其他', '低楼层(共32层)2015年建塔楼  -  烈士墓', '115万', '单价14639元/平米')
('https://image1.ljcdn.com/500000-inspection/9776962e-3427-42a6-8969-124ceb8f8be1.jpg.296x216.jpg', '中房千寻优质两房，精装修，可直接拎包入住', '中房千寻  | 2室1厅 | 74.14平米 | 东南 | 精装 | 有电梯', '低楼层(共33层)2011年建塔楼  -  石桥铺', '119万', '单价16051元/平米')
