('https://image1.ljcdn.com/440300-inspection/test-868d7570-de4a-4d40-a03a-c44ac714f925.png.296x216.jpg', '有7平方露台 满五 通风采光好 诚心出售', '金城华庭  | 2室1厅 | 53.19平米 | 北 | 其他 | 有电梯', '低楼层(共24层)2003年建板塔结合  -  螺岭', '430万', '单价80843元/平米')
('https://image1.ljcdn.com/440300-inspection/test-0e8d7182-8423-4aa1-8cf3-86816e430c1c.png.296x216.jpg', '红本在手 满两年税费少  高层朝南 户型方正', '联城美园  | 2室1厅 | 63.14平米 | 南 | 精装 | 有电梯', '中楼层(共35层)2006年建板塔结合  -  春风路', '358万', '单价56700元/平米')
('https://image1.ljcdn.com/440300-inspection/test-b4c11038-bccc-4d59-b3c4-3dc46788d6b7.png.296x216.jpg', '龙园山庄大两房，南北通透，全新精致装修，税费少.', '龙园山庄  | 2室2厅 | 71.33平米 | 南 | 精装 | 无电梯', '高楼层(共8层)1998年建板塔结合  -  清水河', '268万', '单价37572元/平米')
('https://image1.ljcdn.com/440300-inspection/test-5a673a58-806b-460c-860e-8e3ef5a8f574.png.296x216.jpg', '华景园别墅区，电梯住宅洋房，宽敞三居室，三面南向！', '华景园公寓  | 3室2厅 | 130.09平米 | 南 北 | 简装', '高楼层(共8层)2000年建板楼  -  莲塘', '750万', '单价57653元/平米')
('https://image1.ljcdn.com/440300-inspection/test-c10e0892-d166-4fba-a953-b86cbe9453ed.png.296x216.jpg', '蕙兰雅居 2室1厅 370万', '蕙兰雅居  | 2室1厅 | 73.93平米 | 南 | 其他 | 有电梯', '中楼层(共15层)2004年建塔楼  -  莲塘', '370万', '单价50048元/平米')
('https://image1.ljcdn.com/440300-inspection/test-2e5bd688-dc9b-4106-9393-86a959e28955.png.296x216.jpg', '合正荣悦大四房诚心出售有钥匙随时看房', '合正荣悦  | 4室1厅 | 85.67平米 | 东北 | 其他 | 有电梯', '低楼层(共31层)2014年建板塔结合  -  黄贝岭', '980万', '单价114393元/平米')
('https://image1.ljcdn.com/440300-inspection/test-a63af84d-f9e7-47ec-a7bf-9729e4672ed8.png.296x216.jpg', '华裕花园 2室1厅 270万', '华裕花园  | 2室1厅 | 46.4平米 | 北 | 其他 | 有电梯', '中楼层(共31层)1994年建板塔结合  -  螺岭', '270万', '单价58190元/平米')
('https://image1.ljcdn.com/440300-inspection/test-dfe82d8d-dc23-4d94-84a6-5a342e80fa9e.png.296x216.jpg', '螺岭未用，免个税，带花园小区，朝南，采光通风视野好', '缤纷时代家园  | 3室2厅 | 95.75平米 | 东南 南 | 精装 | 有电梯', '高楼层(共33层)2004年建板塔结合  -  螺岭', '640万', '单价66841元/平米')
('https://image1.ljcdn.com/440300-inspection/test-7a3ed311-21e3-49ec-8fe5-7ba6c2dcb3fc.png.296x216.jpg', '田心庆云花园 满五年唯一 厅出阳台大三房 笋岗地铁站', '田心庆云花园  | 3室1厅 | 94.59平米 | 西南 | 精装 | 有电梯', '中楼层(共28层)2003年建板塔结合  -  笋岗', '475万', '单价50217元/平米')
('https://image1.ljcdn.com/440300-inspection/test-6be11553-8217-41f7-8bd5-e9315cee0b8d.png.296x216.jpg', '翠园 东晓居家高配，中层东南向，精装样板拎包入住笋', '君逸华府  | 2室2厅 | 72.1平米 | 东北 | 精装 | 有电梯', '中楼层(共32层)2002年建板楼  -  布心', '420万', '单价58253元/平米')
('https://image1.ljcdn.com/440300-inspection/b46227aa-32cf-473e-9e3e-25711fa7532d.jpg.296x216.jpg', '合正荣悦 4室1厅 1600万', '合正荣悦  | 4室1厅 | 159.33平米 | 东南 | 其他 | 有电梯', '低楼层(共51层)2014年建板塔结合  -  黄贝岭', '1600万', '单价100421元/平米')
('https://image1.ljcdn.com/440300-inspection/test-759ee52b-6ab4-430e-9b21-f73c2fe239c7.png.296x216.jpg', '鹏兴花园一期 3室2厅 480万', '鹏兴花园一期  | 3室2厅 | 96.28平米 | 东南 | 其他 | 无电梯', '高楼层(共8层)1998年建板塔结合  -  莲塘', '480万', '单价49855元/平米')
('https://image1.ljcdn.com/440300-inspection/test-192a273d-81d6-47aa-821e-e1ffb442379f.png.296x216.jpg', '泊林花园 2室1厅 400万', '泊林花园  | 2室1厅 | 62.25平米 | 西南 | 其他 | 有电梯', '低楼层(共23层)2006年建板塔结合  -  翠竹', '400万', '单价64258元/平米')
