('https://image1.ljcdn.com/440100-inspection/94cbd086-7c5d-4f16-a8fe-0a0e48951ae9.jpg.296x216.jpg', '云山雅苑 高层2房 看万达景观', '云山雅苑  | 2室2厅 | 69.6平米 | 西 | 精装 | 有电梯', '高楼层(共18层)2008年建塔楼  -  广园路', '425万', '单价61064元/平米')
('https://image1.ljcdn.com/440100-inspection/3196eb4b-0413-46cf-b562-c87de19b3e18.JPG.296x216.jpg', '三元里大道中医院宿舍 2室1厅 173万', '三元里大道中医院宿舍  | 2室1厅 | 60.26平米 | 南 | 精装 | 无电梯', '中楼层(共9层)1995年建塔楼  -  机场路', '173万', '单价28709元/平米')
('https://image1.ljcdn.com/440100-inspection/b1430d9b-4f5f-4581-a2d6-7bcce61d89ca.jpg.296x216.jpg', '汇侨新城    户型方正   带平台', '汇侨新城东区  | 2室1厅 | 73.62平米 | 西南 | 精装 | 无电梯', '低楼层(共9层)2000年建塔楼  -  新市', '230万', '单价31242元/平米')
('https://image1.ljcdn.com/440100-inspection/ad119774-6b6e-4440-a423-afd7b5ade979.jpg.296x216.jpg', '景泰新村景泰西二巷 2室1厅 195万', '景泰新村景泰西二巷  | 2室1厅 | 68.88平米 | 南 | 其他 | 无电梯', '中楼层(共9层)2008年建塔楼  -  广园路', '195万', '单价28311元/平米')
('https://image1.ljcdn.com/440100-inspection/f7880fc9-fd66-4504-a6d7-d40a217e4670.jpg.296x216.jpg', '三元里大道棠下 晓景苑小区 低楼层两房', '晓景苑  | 2室1厅 | 54.66平米 | 东 | 精装 | 无电梯', '低楼层(共9层)1998年建塔楼  -  机场路', '146万', '单价26711元/平米')
('https://image1.ljcdn.com/440100-inspection/6acc181a-32ab-4861-b5a3-379a8f03c662.jpg.296x216.jpg', '机场路 民航小区 格局方正', '民航小区云霄街  | 2室2厅 | 89.35平米 | 东北 | 其他 | 有电梯', '低楼层(共13层)1995年建塔楼  -  新市', '270万', '单价30219元/平米')
('https://image1.ljcdn.com/440100-inspection/418a1915-253a-42ec-9f4f-d95f4173e3c4.jpg.296x216.jpg', '紫荆花园 2室1厅 205万', '紫荆花园  | 2室1厅 | 61.9平米 | 南 北 | 其他 | 有电梯', '高楼层(共11层)2000年建塔楼  -  新市', '205万', '单价33118元/平米')
('https://image1.ljcdn.com/440100-inspection/c3663eba-75a4-4a84-8544-87bf3d2c9723.jpg.296x216.jpg', '东南向 精装两房 户型方正 光线通风好 望花园随时可看', '富力城南区  | 2室2厅 | 81.56平米 | 东南 | 精装 | 有电梯', '中楼层(共18层)2005年建塔楼  -  白云大道北', '230万', '单价28201元/平米')
('https://image1.ljcdn.com/440100-inspection/9439bb7a-cbdb-4d96-a132-dae899ba8469.jpg.296x216.jpg', '元凤华庭 2室2厅 285万', '元凤华庭  | 2室2厅 | 82.78平米 | 北 | 其他 | 有电梯', '高楼层(共11层)2007年建塔楼  -  机场路', '285万', '单价34429元/平米')
('https://image1.ljcdn.com/440100-inspection/test-e5eeaa23-1a16-44b4-be2d-c91ea328df96.png.296x216.jpg', '岭南新世界 精装修两房 采光好 舒适安静', '岭南新世界  | 2室2厅 | 86.44平米 | 南 | 简装 | 有电梯', '中楼层(共11层)2001年建塔楼  -  白云大道北', '389万', '单价45003元/平米')
('https://image1.ljcdn.com/440100-inspection/cb2d48e2-9012-47ce-99c3-f43114a85fe8.jpg.296x216.jpg', '贝丽花园 3室2厅 285万', '贝丽花园  | 3室2厅 | 77.4平米 | 东 南 | 简装 | 有电梯', '中楼层(共15层)2000年建塔楼  -  机场路', '285万', '单价36822元/平米')
