('https://image1.ljcdn.com/440100-inspection/95ddb6b4-f3d6-417d-a50e-7fcb93f5bed8.jpg.296x216.jpg', '保利中环广场 1室0厅 165万', '保利中环广场  | 1室0厅 | 50.39平米 | 东 | 其他 | 有电梯', '中楼层(共36层)2009年建塔楼  -  建设路', '165万', '单价32745元/平米')
('https://image1.ljcdn.com/440100-inspection/78b01232-ae51-4eec-abc3-2f8e03bb4803.jpg.296x216.jpg', '逸雅居 电梯两房 格局方正 实用舒适', '逸雅居  | 2室2厅 | 85.42平米 | 南 | 其他 | 有电梯', '高楼层(共30层)2000年建塔楼  -  建设路', '650万', '单价76095元/平米')
('https://image1.ljcdn.com/440100-inspection/8b50dcca-a2bd-4aed-9b7d-e4f7fb1af8c6.jpg.296x216.jpg', '逸雅居 4室1厅 990万', '逸雅居  | 4室1厅 | 150.23平米 | 西南 | 其他 | 有电梯', '高楼层(共30层)2000年建塔楼  -  建设路', '990万', '单价65899元/平米')
('https://image1.ljcdn.com/440100-inspection/0926ace0-131d-4852-8cd6-693f706c7bef.jpg.296x216.jpg', '日升大厦  高层三房  证满两年', '日升大厦  | 2室1厅 | 144.14平米 | 西北 | 其他 | 有电梯', '高楼层(共26层)1996年建塔楼  -  建设路', '850万', '单价58971元/平米')
('https://image1.ljcdn.com/440100-inspection/180d6092-b4fd-4273-8eed-28f4ac00adf9.jpg.296x216.jpg', '越秀区 海珠中路 电梯两房', '穗安楼  | 2室1厅 | 85.13平米 | 东 | 精装', '高楼层(共26层)1995年建塔楼  -  西门口', '360万', '单价42289元/平米')
('https://image1.ljcdn.com/440100-inspection/7197e114-fbb2-4dd8-b0b7-cce8f55ebf18.jpg.296x216.jpg', '机关宿舍 1室1厅 190万', '机关宿舍  | 1室1厅 | 30.8平米 | 东南 | 其他 | 无电梯', '低楼层(共7层)1990年建塔楼  -  小北', '190万', '单价61689元/平米')
('https://image1.ljcdn.com/440100-inspection/fa813c40-143b-4047-a2cf-8e560dbf35cb.jpg.296x216.jpg', '北站路 御景花园 精致两房 东南向', '御景花园  | 2室1厅 | 59.08平米 | 东南 | 简装 | 无电梯', '中楼层(共9层)2009年建塔楼  -  机场路', '170万', '单价28775元/平米')
('https://image1.ljcdn.com/440100-inspection/76a3e8a7-5931-409c-b260-c3a82eb51e58.jpg.296x216.jpg', '东兴北小区 两房一厅 标准户型 采光通透', '东兴小区东兴北路  | 2室1厅 | 60.28平米 | 东北 | 精装 | 无电梯', '高楼层(共9层)1995年建塔楼  -  五羊新城', '260万', '单价43133元/平米')
('https://image1.ljcdn.com/440100-inspection/2cc89160-38ce-49b6-abb6-cf9790a1584e.jpg.296x216.jpg', '康丽居 中层电梯  两房单位   楼龄新', '康丽居  | 2室1厅 | 74平米 | 北 | 其他 | 有电梯', '中楼层(共31层)2001年建塔楼  -  越秀南', '450万', '单价60811元/平米')
('https://image1.ljcdn.com/440100-inspection/20f0d446-2e0f-47b2-b8b8-ca2469660f91.jpg.296x216.jpg', '建设新村  别墅一栋   使用率高', '建设横马路   | 独栋别墅 | 5室2厅 | 58.66平米 | 东 西 | 精装 | 无电梯', '1层暂无数据  -  建设路', '500万', '单价85237元/平米')
('https://image1.ljcdn.com/440100-inspection/1c71112a-8333-42d5-b7b0-094266fc8195.jpg.296x216.jpg', '嘉颐居  中高层四房  居住舒服', '嘉颐居  | 4室2厅 | 151.66平米 | 北 | 其他 | 有电梯', '中楼层(共33层)2006年建塔楼  -  建设路', '1000万', '单价65937元/平米')
