('https://image1.ljcdn.com/441900-inspection/cad8c602-fd33-402c-be3a-9ddb4122cf61.jpg.296x216.jpg', '海逸豪庭尚都 4室2厅 340万', '海逸豪庭尚都   | 叠拼别墅 | 4室2厅 | 177.27平米 | 南 | 其他', '下叠(共3层)2016年建暂无数据  -  厚街镇', '340万', '单价19180元/平米')
('https://image1.ljcdn.com/441900-inspection/bd919344-2e6d-4b61-9faa-6757da660d84.jpg.296x216.jpg', '厚街盈丰大两房急售 满五唯一  价格实惠 看房方便', '盈丰商住中心  | 2室1厅 | 102平米 | 东北 | 简装', '低楼层(共20层)2005年建塔楼  -  厚街镇', '139万', '单价13628元/平米')
('https://image1.ljcdn.com/441900-inspection/43745dfe-a5c0-4a96-b7f2-4ad88d638e11.jpg.296x216.jpg', '万达御湖公馆 高楼层2+1房 新装修业主自住 诚心出售', '万达御湖公馆  | 3室2厅 | 87.5平米 | 东南 | 精装', '中楼层(共32层)2015年建塔楼  -  厚街镇', '200万', '单价22858元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload17c41359-b6d3-4f4c-b5b8-2a85dfe690b0.jpg.296x216.jpg', '汇景豪庭 朝向好 两房 满五年 保养好 诚心卖', '汇景豪庭  | 2室2厅 | 96.4平米 | 西南 | 其他', '低楼层(共25层)2002年建塔楼  -  厚街镇', '125万', '单价12967元/平米')
('https://image1.ljcdn.com/441900-inspection/6e253c35-a5f5-43ed-9bff-ad56a5ef4c74.jpg.296x216.jpg', '君丽花园满两年毛坯房，户型方正，业主诚心出售。', '君丽花园  | 3室2厅 | 96.23平米 | 南 | 毛坯', '低楼层(共28层)2014年建塔楼  -  厚街镇', '165万', '单价17147元/平米')
('https://image1.ljcdn.com/441900-inspection/83899785-3333-4b72-957f-76c4f4ebe4d7.jpg.296x216.jpg', '汇景豪庭 4房 视野宽阔 户型方正 采光充足 中高楼层', '汇景豪庭  | 4室2厅 | 143.67平米 | 南 | 简装', '中楼层(共18层)2006年建塔楼  -  厚街镇', '240万', '单价16705元/平米')
('https://image1.ljcdn.com/441900-inspection/a7926940-5228-41d2-8ab2-af16d4609ec3.jpg.296x216.jpg', '联排别墅，依山傍水，观山碧水。', '丰泰观山花园  | 4室2厅 | 280平米 | 东南 | 其他', '低楼层(共3层)暂无数据  -  厚街镇', '588万', '单价21000元/平米')
('https://image1.ljcdn.com/441900-inspection/eb35e272-00bc-4e38-95f3-3d714d4969c9.jpg.296x216.jpg', '精装修，拎包入住，楼层中高层，南北通透', '世纪绿洲  | 3室2厅 | 168平米 | 南 | 其他', '中楼层(共17层)2015年建塔楼  -  厚街镇', '310万', '单价18453元/平米')
('https://image1.ljcdn.com/441900-inspection/2d83c2b5-6824-4a1a-be9a-f11cf8bb54eb.jpg.296x216.jpg', '世纪绿洲高层南北对流户型，大四房、送入户花园', '世纪绿洲  | 4室2厅 | 167.89平米 | 东南 南 | 其他', '中楼层(共17层)2015年建塔楼  -  厚街镇', '320万', '单价19061元/平米')
('https://image1.ljcdn.com/441900-inspection/1fa72461-6059-4350-9315-360e1968ee11.jpg.296x216.jpg', '满五唯一，满五唯一，业主诚意出售', '新世纪颐和居  | 5室2厅 | 97平米 | 西北 | 其他', '高楼层(共21层)2008年建塔楼  -  厚街镇', '220万', '单价22681元/平米')
('https://image1.ljcdn.com/441900-inspection/51d18d4a-a463-4dfe-92fb-04376c9590ff.jpg.296x216.jpg', '中信富春山居 高楼层 朝向好 看湖 业主刚装修', '中信富春山居  | 3室2厅 | 107.61平米 | 东南 南 | 其他', '中楼层(共25层)2014年建塔楼  -  厚街镇', '190万', '单价17657元/平米')
