('https://image1.ljcdn.com/440400-inspection/f9937336-a01f-46d0-a514-c2e8ed030eaa.jpg.296x216.jpg', '海湾花园正规两房两厅一卫在出售', '海湾花园  ', '高楼层(共16层)塔楼  -  吉大', '185万', '单价19681元/平米')
('https://image1.ljcdn.com/440400-inspection/14b5bf64-8af2-4fae-a3b7-dd71ef71b76a.jpg.296x216.jpg', '钰海山庄 4室2厅 535万', '钰海山庄  ', '中楼层(共11层)板塔结合  -  兰埔', '535万', '单价32956元/平米')
('https://image1.ljcdn.com/440400-inspection/46d0183e-ceaa-40f7-9dab-040cbfdcf13c.jpg.296x216.jpg', '房子满五年免税 南北通透 视野好 配套齐全', '格力香樟  ', '低楼层(共29层)板塔结合  -  兰埔', '560万', '单价30066元/平米')
('https://image1.ljcdn.com/440400-inspection/030793cd-2287-4c6d-8f7b-afe91c0367c8.jpg.296x216.jpg', '华发新城三期  3房出售 户型方正  诚意出售 看房随时', '华发新城三期  ', '高楼层(共26层)板楼  -  南湾', '450万', '单价34190元/平米')
('https://image1.ljcdn.com/440400-inspection/rsp_pic_uploadf2beab53-3d25-4511-a276-2f85d99bbc67.jpg.296x216.jpg', '粤海国际花园 5室3厅 600万', '粤海国际花园  ', '高楼层(共10层)塔楼  -  拱北', '600万', '单价25853元/平米')
('https://image1.ljcdn.com/440400-inspection/a638d86d-2c26-47f6-a370-296f0b50e11f.JPG.296x216.jpg', '锦园  南北三房 112.16平    户型方正  看房随时', '锦园  ', '中楼层(共32层)板塔结合  -  吉大', '340万', '单价30314元/平米')
('https://image1.ljcdn.com/440400-inspection/rsp_pic_upload101c1f72-41b4-440f-a7af-64e16aff53e4.jpg.296x216.jpg', '颐和人家 3室2厅 290万', '颐和人家  ', '低楼层(共18层)板塔结合  -  兰埔', '290万', '单价23967元/平米')
('https://image1.ljcdn.com/440400-inspection/rsp_pic_upload86bea53c-ebfc-4b4a-886b-d90f609b888d.jpg.296x216.jpg', '华发新城二期南北通大复式送车位', '华发新城二期  ', '高楼层(共10层)板楼  -  南湾', '580万', '单价33320元/平米')
('https://image1.ljcdn.com/440400-inspection/rsp_pic_uploadb08f33d4-f4c5-4124-9c7d-8e579df5c93d.jpg.296x216.jpg', '锦园 3室2厅 320万', '锦园  ', '中楼层(共32层)板塔结合  -  吉大', '320万', '单价28312元/平米')
('https://image1.ljcdn.com/131000-inspection/f0725110-9a96-4f5f-bc49-50b0b90ba364.jpg.296x216.jpg', '兰埔 拱北 兰埔花园 精装电梯三房 三房可改四房 全明', '兰埔花园  ', '中楼层(共18层)板楼  -  兰埔', '315万', '单价24163元/平米')
('https://image1.ljcdn.com/440400-inspection/rsp_pic_upload6cc81dce-3f60-4e6f-b3bf-4655651fc1fe.jpg.296x216.jpg', '银山花园 3室2厅 235万', '银山花园  ', '中楼层(共11层)板楼  -  新香洲', '235万', '单价24683元/平米')
