('https://image1.ljcdn.com/410100-inspection/6f2d2906-7a70-4762-9302-a9f4d39bb836.jpg.296x216.jpg', '美景天城 多层大三房 南北通透 满五唯一 诚心出售', '美景天城  ', '低楼层(共6层)板楼  -  世纪欢乐园', '215万', '单价16149元/平米')
('https://image1.ljcdn.com/410100-inspection/32f61cdc-f54c-45cd-b835-548baade22af.jpg.296x216.jpg', '多层二楼  进门入户花园  新中式装修 户型方正 通透', '美景天城  ', '低楼层(共6层)板楼  -  世纪欢乐园', '220万', '单价15887元/平米')
('https://image1.ljcdn.com/410100-inspection/d4ea5779-7a94-443b-a86f-5c2299b7adfd.jpg.296x216.jpg', '朝阳御景  朝南两房  户型方正  实用面积', '朝阳御景  ', '中楼层(共31层)板楼  -  凤凰路', '146万', '单价17175元/平米')
('https://image1.ljcdn.com/410100-inspection/e063950c-7e1a-4187-830b-542f576c10ba.jpg.296x216.jpg', '陇海快速路 二里岗街道办事处家属院103.45平 大两房', '二里岗街道办事处家属院  ', '低楼层(共7层)暂无数据  -  凤凰路', '130万', '单价12579元/平米')
('https://image1.ljcdn.com/410100-inspection/091c6c79-abc6-4bea-98b9-cb35efe45855.jpg.296x216.jpg', '航海东路 正商新蓝钻 南北通透 精装修 拎包入住三居室', '正商新蓝钻A区  ', '低楼层(共26层)板楼  -  管南区域', '360万', '单价23530元/平米')
('https://image1.ljcdn.com/410100-inspection/b5343156-567d-40fc-8653-5e6546ab94c9.jpg.296x216.jpg', '中鼎翡翠晶典 精装双气小户型 中高层采光好 视野开阔', '中鼎翡翠晶典  ', '高楼层(共25层)塔楼  -  管南区域', '93万', '单价17885元/平米')
('https://image1.ljcdn.com/410100-inspection/d11c5570-eaf4-4645-9445-0d60a2c1fbbb.jpg.296x216.jpg', '升龙凤凰城 精装修双气三房 业主诚售', '升龙凤凰城D区  ', '高楼层(共31层)塔楼  -  东建材', '220万', '单价17055元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_upload2491dc9b-4b6e-4369-ba3c-94ff0408afa0.jpg.296x216.jpg', '正商金色港湾 复式满五非唯一 业主自住 周日可看', '正商金色港湾  ', '高楼层(共7层)板楼  -  管南区域', '235万', '单价13056元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_upload719d5351-7498-4d75-91ed-69bb023653dd.jpg.296x216.jpg', '精装三房诚心出售南北通透格局好', '永恒尚东  ', '中楼层(共18层)板塔结合  -  管南区域', '155万', '单价13784元/平米')
('https://image1.ljcdn.com/410100-inspection/6d439892-8e19-42f9-afcc-0c18c7311322.jpg.296x216.jpg', '满五年唯一 二环内 地铁口 双气精装两房 拎包入住', '中鼎翡翠晶典  ', '低楼层(共33层)塔楼  -  管南区域', '103万', '单价17992元/平米')
('https://image1.ljcdn.com/410100-inspection/821508c3-f077-4c22-a97a-29d24e936704.jpg.296x216.jpg', '5号线地铁 发展南郡 正规三居 送25平露台30平地下室', '发展南郡  ', '高楼层(共26层)塔楼  -  管南区域', '200万', '单价15443元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_upload76ad77cc-6cce-49c1-bb7c-469e960d68b8.jpg.296x216.jpg', '五里堡小 学旁 双气一室 满5年唯一随时看房送家具家电', '正商•幸福港湾A区  ', '高楼层(共34层)暂无数据  -  管南区域', '91万', '单价16039元/平米')
('https://image1.ljcdn.com/410100-inspection/f3a6ac2e-f3b0-477c-b53b-b568d6034b2a.jpg.296x216.jpg', '陇海路恒业小区 精装2居 南北通透地暖装修 带地上车位', '恒业小区  ', '中楼层(共6层)暂无数据  -  凤凰路', '160万', '单价15842元/平米')
('https://image1.ljcdn.com/410100-inspection/a5ccb683-f4e6-4420-83e9-71d0d56f3184.jpg.296x216.jpg', '精装三房，满五唯一，业主诚心出售', '富田太阳城  ', '高楼层(共6层)板楼  -  世纪欢乐园', '168万', '单价13334元/平米')
