('https://image1.ljcdn.com/330100-inspection/47c2c833-049d-4280-bdae-28f0dfc64b19.jpg.296x216.jpg', '解放路 浙二医院边上 精装两房 厨卫全明 急售', '丰禾巷  | 2室1厅 | 64.05平米 | 东 西 | 简装 | 无电梯', '高楼层(共6层)1988年建板楼  -  清泰', '285万', '单价44497元/平米')
('https://image1.ljcdn.com/330100-inspection/65785134-497a-4688-954f-bd525ae69b57.jpg.296x216.jpg', '胜利新出大三房  中间楼层 看房方便 业主诚心出售', '怡和苑  | 3室2厅 | 104.97平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)2000年建板楼  -  近江', '535万', '单价50967元/平米')
('https://image1.ljcdn.com/330100-inspection/47442dbb-0383-4783-9b82-b8b078d14549.jpg.296x216.jpg', '近江双地铁 中间楼层 东边套 天地实验', '近江家园四园  | 2室1厅 | 68.31平米 | 南 | 简装 | 无电梯', '中楼层(共5层)2002年建板楼  -  近江', '410万', '单价60021元/平米')
('https://image1.ljcdn.com/330100-inspection/test-3aee3e00-5426-42f0-b7f8-c38f0ae36e49.png.296x216.jpg', '民安苑经典户型一室  采光充足', '民安苑  | 1室0厅 | 28.07平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2002年建板楼  -  复兴', '135万', '单价48095元/平米')
('https://image1.ljcdn.com/330100-inspection/1f71ba05-8ec8-4665-b929-c3cbcc625747.jpg.296x216.jpg', '紫花苑清新精装边套电梯房诚心出售', '紫花苑  | 2室1厅 | 73.65平米 | 西 | 精装 | 有电梯', '高楼层(共14层)2000年建板楼  -  复兴', '350万', '单价47523元/平米')
('https://image1.ljcdn.com/330100-inspection/ab5fe012-a279-4f54-9068-7591e7362984.jpg.296x216.jpg', '临解放路，近地铁口，一梯两户，采光充足', '小河下小区  | 2室2厅 | 75.22平米 | 南 | 精装 | 无电梯', '高楼层(共7层)1993年建板楼  -  潮鸣', '340万', '单价45201元/平米')
('https://image1.ljcdn.com/330100-inspection/bffdcd18-aacc-4e59-84ff-bb4a0432ca60.jpg.296x216.jpg', '复兴南苑经典两房朝南户型 视野开阔 采光良好', '复兴南苑  | 2室1厅 | 67.97平米 | 南 | 精装 | 无电梯', '高楼层(共7层)1998年建板楼  -  复兴', '310万', '单价45609元/平米')
('https://image1.ljcdn.com/330100-inspection/985b3078-bd34-42ef-9863-c84fb51791cb.jpg.296x216.jpg', '户型全明，南北通透，交通便利，业主诚售', '佑圣观路101号  | 3室2厅 | 95.25平米 | 南 北 | 简装', '高楼层(共4层)暂无数据  -  城站', '440万', '单价46195元/平米')
('https://image1.ljcdn.com/330100-inspection/bb5533ed-32e9-4191-a021-fa83dd679c45.jpg.296x216.jpg', '望江家园，大三房带露台，满五唯一，自住装修', '望江家园东园  | 3室2厅 | 122.42平米 | 南 | 精装 | 有电梯', '低楼层(共28层)2005年建板楼  -  近江', '620万', '单价50646元/平米')
('https://image1.ljcdn.com/330100-inspection/14dcbd66-442f-4536-ba8b-5b27a4c76efb.jpg.296x216.jpg', '钱塘江边  全明户型西边套  诚心出售', '天福花园  | 3室1厅 | 90.08平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1998年建板楼  -  近江', '480万', '单价53286元/平米')
('https://image1.ljcdn.com/330100-inspection/bbbe692b-e2b8-4bda-bbe8-601f761d82b6.jpg.296x216.jpg', '天长 东边套  二房户型 总价低', '宋浇造巷  | 2室1厅 | 56.95平米 | 南 | 简装 | 无电梯', '中楼层(共5层)1999年建板楼  -  湖滨', '398万', '单价69886元/平米')
('https://image1.ljcdn.com/330100-inspection/2bcb275c-a096-41cd-acfc-4d2d0b55afde.jpg.296x216.jpg', '南苑经典小两房，楼层好，采光充足！', '复兴南苑  | 2室1厅 | 68.15平米 | 南 | 毛坯 | 无电梯', '低楼层(共7层)1998年建板楼  -  复兴', '258万', '单价37858元/平米')
('https://image1.ljcdn.com/330100-inspection/306b5782-ff71-407c-8548-7f93c698f03d.jpg.296x216.jpg', '紫金观巷  刚需小两房 南北通透 毛坯房 采光好', '紫金观巷  | 2室1厅 | 48.94平米 | 南 北 | 毛坯 | 无电梯', '中楼层(共6层)1991年建板楼  -  清泰', '245万', '单价50062元/平米')
('https://image1.ljcdn.com/330100-inspection/a2f791fb-5c38-433d-8c7c-c917d83836f6.jpg.296x216.jpg', '永昌坝一个有可能拆迁的小区，小区少有房源出售', '永昌坝  | 2室1厅 | 58.36平米 | 南 北 | 简装', '中楼层(共6层)1995年建暂无数据  -  雄镇楼', '265万', '单价45408元/平米')
