('https://image1.ljcdn.com/370600-inspection/2f532b1b-af10-4593-a021-40fbe526a498.jpg.296x216.jpg', '天房檀珑湾南北通透四居室楼层合适能看海', '天房檀珑湾  | 4室2厅 | 177.81平米 | 南 北 | 毛坯', '低楼层(共34层)2014年建板楼  -  牟平', '142万', '单价7987元/平米')
('https://image1.ljcdn.com/370600-inspection/4214f2fe-8650-4b4e-8072-b8dc17f91131.jpg.296x216.jpg', '龙湖听蓝湾大叠拼上叠，带地下车位，能电梯入户', '龙湖葡醍海湾  | 4室2厅 | 203平米 | 南 北 | 毛坯', '中楼层(共4层)暂无数据  -  牟平', '255万', '单价12562元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload00803283-ea27-46d2-8d8c-35a9757ec3c9.jpg.296x216.jpg', '紫金山庄三室两卫   毛坯  南北通透  带车位和小棚', '紫金山庄  | 3室2厅 | 134.5平米 | 南 北 | 其他', '中楼层(共9层)暂无数据  -  牟平', '130万', '单价9666元/平米')
('https://image1.ljcdn.com/370600-inspection/e368217e-ed40-44e6-9b94-dbbb60afb8be.jpg.296x216.jpg', '天房珑湾两居室，毛坯可随意装修', '天房檀珑湾  | 2室1厅 | 96.48平米 | 南 | 其他', '低楼层(共34层)2013年建板楼  -  牟平', '74万', '单价7670元/平米')
('https://image1.ljcdn.com/370600-inspection/3eb1b5b1-b4ab-4937-8140-1400d0ae9d08.jpg.296x216.jpg', '高楼层北边看海效果不错，交通便利，配套齐.采光好', '龙湖时代公馆  | 3室2厅 | 116平米 | 南 北 | 其他', '中楼层(共34层)2014年建板楼  -  牟平', '118万', '单价10173元/平米')
('https://image1.ljcdn.com/370600-inspection/e1c5336e-7bbc-4c2e-a2e5-ccf2f006dd80.jpg.296x216.jpg', '龙湖多层电梯洋房，大楼台，采光好视野佳，环境优美', '龙湖葡醍海湾  | 3室2厅 | 151平米 | 南 北 | 其他', '低楼层(共7层)暂无数据  -  牟平', '160万', '单价10597元/平米')
('https://image1.ljcdn.com/370600-inspection/28defdb0-e168-4490-be7d-8bbddcea37f4.jpg.296x216.jpg', '康泰苑精装大三居，拎包入住，南北通透', '康泰苑  | 3室2厅 | 156.52平米 | 南 北 | 其他', '中楼层(共12层)2009年建板楼  -  牟平', '135万', '单价8626元/平米')
('https://image1.ljcdn.com/370600-inspection/eb0e417f-4c3e-455f-a12d-f0a535467b00.jpg.296x216.jpg', '瀛洲宁海，南厅双南卧，双卫，南北通透，采光好', '瀛洲宁海  | 3室2厅 | 124.6平米 | 南 北 | 其他', '高楼层(共10层)暂无数据  -  牟平', '115万', '单价9230元/平米')
('https://image1.ljcdn.com/370600-inspection/5bd0f018-4d81-4dd8-a243-eccc76926a09.jpg.296x216.jpg', '山海龙城一期 2室2厅 100万', '山海龙城一期  | 2室2厅 | 96平米 | 南 | 精装', '低楼层(共11层)暂无数据  -  牟平', '100万', '单价10417元/平米')
('https://image1.ljcdn.com/370600-inspection/7aa1b39b-2e1e-47e5-95ee-40bd9505ddda.jpg.296x216.jpg', '简装现房  使用面积大  户型方正  随时入住 环境优美', '云海香都  | 3室2厅 | 93.45平米 | 南 北 | 其他', '低楼层(共11层)暂无数据  -  牟平', '68万', '单价7277元/平米')
('https://image1.ljcdn.com/370600-inspection/1bcfb218-fed7-4894-876f-9f3f5770db83.jpg.296x216.jpg', '牟平海屿公元 两居室 楼层好 采光好', '海屿公元  | 2室2厅 | 79平米 | 南 | 其他', '低楼层(共25层)2015年建板楼  -  牟平', '60万', '单价7595元/平米')
('https://image1.ljcdn.com/370600-inspection/44353ac7-eb1d-4bb3-a665-7cda19946acb.jpg.296x216.jpg', '牟平东油小区 满五年 中等装修 南北通透 采光好', '东油小区北区  | 3室2厅 | 133平米 | 南 北 | 其他', '中楼层(共6层)暂无数据  -  牟平', '62万', '单价4662元/平米')
('https://image1.ljcdn.com/370600-inspection/4732e7ba-8a84-4823-a9c1-4db51c36b74c.jpg.296x216.jpg', '慢城宁海+通透3室+毛坯现房+电梯小高层+好楼层+有房证', '慢城宁海  | 3室2厅 | 131.85平米 | 南 北 | 其他', '中楼层(共11层)2013年建板楼  -  牟平', '90万', '单价6826元/平米')
('', '天房檀珑湾，中间楼层，经典两居室', '天房檀珑湾  | 2室2厅 | 97平米 | 南 | 其他', '中楼层(共33层)2013年建板楼  -  牟平', '70万', '单价7217元/平米')
