('https://image1.ljcdn.com/410100-inspection/rsp_pic_upload3829cd1c-7c89-4ed3-943d-f1dec5407c3e.jpg.296x216.jpg', '此房税满 装修好 后期维护到位 婚房 拎包入住', '托斯卡纳  ', '中楼层(共20层)板塔结合  -  五龙口', '75万', '单价19826元/平米')
('https://image1.ljcdn.com/410100-inspection/6eb4e85e-d4a7-4181-8ffe-522ca255dbed.jpg.296x216.jpg', '电力技校家属院 电梯小高层 房龄新 税满 送车位储藏室', '电厂东路1号院  ', '中楼层(共11层)暂无数据  -  五龙口', '260万', '单价18418元/平米')
('https://image1.ljcdn.com/410100-inspection/test-4ea87f85-93ea-483e-971d-cd41fc261482.png.296x216.jpg', '湖心岛景观房，准新房，一天没住过，房本在手，随时签', '万科城锦枫苑  ', '中楼层(共34层)塔楼  -  新郑大', '181万', '单价15255元/平米')
('https://image1.ljcdn.com/410100-inspection/0dfc5b0d-04f8-4301-a77e-60d702935147.jpg.296x216.jpg', '万丰慧诚精装修两房看房提前联系', '万丰慧城  ', '中楼层(共23层)板楼  -  石佛', '105万', '单价14006元/平米')
('https://image1.ljcdn.com/410100-inspection/de0864f4-4c8a-4959-9cc9-55898d153f52.jpg.296x216.jpg', '精装小复式，买一层送一层，动静分离，小户型大空间。', '托斯卡纳  ', '中楼层(共20层)板塔结合  -  五龙口', '94万', '单价19184元/平米')
('https://image1.ljcdn.com/410100-inspection/0eb73aad-4d17-4cce-aef0-1f8637d49344.jpg.296x216.jpg', '满五唯一大三房，双气精装，华强广场旁，红河瀛园', '红河瀛园二期  ', '中楼层(共18层)板塔结合  -  五龙口', '160万', '单价13224元/平米')
('https://image1.ljcdn.com/410100-inspection/0be26a0d-3fc8-4dac-84da-84a79555c3a7.jpg.296x216.jpg', '电厂路2号院 精装两房 南北通透', '电厂路2号院  ', '中楼层(共7层)暂无数据  -  五龙口', '106万', '单价12642元/平米')
('https://image1.ljcdn.com/410100-inspection/1706503c-3420-4cb5-b5f9-3f7567896311.jpg.296x216.jpg', '万科城紫兰苑纯南高层两室106万诚售 欢迎咨询', '万科城紫兰苑  ', '高楼层(共34层)板楼  -  新郑大', '106万', '单价13878元/平米')
('https://image1.ljcdn.com/410100-inspection/a1b2302d-36ae-401a-afea-e5a6452d822a.jpg.296x216.jpg', '高新区 品质万科 精装入户 小区景观位置  直降6万', '万科城紫兰苑  ', '高楼层(共34层)板楼  -  新郑大', '135万', '单价15169元/平米')
('https://image1.ljcdn.com/410100-inspection/26404cba-e5f4-48b9-9424-753288e8b89a.jpg.296x216.jpg', '枫杨外国语对 面西现代城58平复式有本免 税102万', '西现代城  ', '高楼层(共9层)塔楼  -  石佛', '100万', '单价17242元/平米')
('https://image1.ljcdn.com/410100-inspection/8f84d1e9-2f55-4521-af50-e17645eb53d8.jpg.296x216.jpg', '电厂路2号院 南北通透 采光好 空间大公摊小 精装双气', '电厂路2号院  ', '高楼层(共7层)暂无数据  -  五龙口', '95万', '单价11330元/平米')
