('https://image1.ljcdn.com/310000-inspection/test-f2286f56-8cbf-4d57-8697-225921daa281.png.296x216.jpg', '送产权车位，双阳台，人车分流，有钥匙', '中环国际公寓(二期)  | 2室2厅 | 82.98平米 | 南 | 简装 | 有电梯', '低楼层(共17层)2015年建板楼  -  共康', '485万', '单价58448元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161119/ce4d04be-7c5b-4e38-aa04-7d3d48af5200.jpg.296x216.jpg', '万科电梯二房，双南户型。楼层好，价格低', '万科四季花城  | 2室2厅 | 83.41平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2007年建板楼  -  杨行', '330万', '单价39564元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170402/a1d51656-3d87-49c0-ac21-ba3542fab572.jpg.296x216.jpg', '天馨花园 大两房 楼层好 总价低 买到就是赚到', '天馨花园(公寓)  | 2室2厅 | 92.29平米 | 南 | 精装 | 无电梯', '低楼层(共6层)2001年建板楼  -  杨行', '325万', '单价35216元/平米')
('https://image1.ljcdn.com/310000-inspection/test-f6fb2000-3b0f-4384-b7ef-af3f18e02136.png.296x216.jpg', '家有梧桐，凤凰自来，电梯高区，满五年唯一，接受置换', '梧桐城邦(二期)  | 2室2厅 | 96.26平米 | 南 北 | 精装 | 有电梯', '高楼层(共11层)2008年建板楼  -  大华', '550万', '单价57137元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170403/cf2fba55-9303-4121-9e2c-35496420a6d9.jpg.296x216.jpg', '南.北.通透，价格低，楼层好，房型正气，满五年唯一', '东方帕堤欧  | 3室2厅 | 91平米 | 南 | 毛坯 | 有电梯', '中楼层(共18层)2010年建板楼  -  顾村', '395万', '单价43407元/平米')
('https://image1.ljcdn.com/310000-inspection/test-c58731ae-3b89-41b4-850b-df47f7bdbb94.png.296x216.jpg', '顾村公园 视野佳 南北通透 采光好 交通便利 近地铁', '好日子大家园B区  | 2室1厅 | 75.68平米 | 南 | 毛坯', '中楼层(共6层)2007年建板楼  -  顾村', '305万', '单价40302元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171025/222e8db5-4275-4176-a6b8-8ea83ea5d222.jpg.296x216.jpg', '近地铁 全明户型 采光无遮挡  满五唯一 节约购房成本', '华浜二村  | 2室1厅 | 68.95平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1993年建板楼  -  淞南', '262万', '单价37999元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161215/11b889e2-f47f-4db3-b989-4ddb39f57532.jpg.296x216.jpg', '中环一号(二期) 1室1厅 285万', '中环一号(二期)  | 1室1厅 | 55.25平米 | 南 | 毛坯 | 有电梯', '低楼层(共18层)2012年建板楼  -  大华', '285万', '单价51584元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170625/d92781eb-11ee-491c-a4a7-279b89571ada.jpg.296x216.jpg', '上大阳光乾静园 2室2厅 455万', '上大阳光乾静园  | 2室2厅 | 89.97平米 | 南 | 精装 | 无电梯', '低楼层(共6层)2005年建板楼  -  上大', '455万', '单价50573元/平米')
('https://image1.ljcdn.com/310000-inspection/test-f5b33211-8653-4490-b942-c9dc47927bb7.png.296x216.jpg', '南北直通无遮挡，满五唯一，精装修，拎包入住', '中环一号(一期)  | 2室2厅 | 96.93平米 | 南 北 | 精装 | 有电梯', '中楼层(共14层)2011年建板楼  -  大华', '535万', '单价55195元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161028/765d15fa-cb27-49de-92e7-e14f1af9e614.jpg.296x216.jpg', '一梯三户，中间套，双南，精装修的，地中海风格', '共和小区  | 2室1厅 | 76.19平米 | 南 | 精装 | 无电梯', '低楼层(共6层)1994年建板楼  -  张庙', '377万', '单价49482元/平米')
('https://image1.ljcdn.com/310000-inspection/test-16390c68-d3f2-4675-860f-a211ff05aba9.png.296x216.jpg', '共富二村   通透两房  全明户型  税费少  位置好', '共富二村  | 2室1厅 | 77.83平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)1996年建板楼  -  共富', '295万', '单价37904元/平米')
('https://image1.ljcdn.com/310000-inspection/9fc970d7-aa2a-457f-9847-029eadfa3686.jpg.296x216.jpg', '有钥匙看房随时  精装修 诚意出售 价格可以商量', '梧桐城邦(二期)  | 3室2厅 | 167.29平米 | 南 | 精装 | 有电梯', '低楼层(共14层)2008年建板楼  -  大华', '598万', '单价35747元/平米')
