('https://image1.ljcdn.com/130100-inspection/rsp_pic_upload094bd411-6335-4002-9577-8d596cab06b8.jpg.296x216.jpg', '宁安小区，三室一厅一厨一卫优质房源，价格可谈。', '宁安小区  ', '高楼层(共7层)板楼  -  二中', '130万', '单价17685元/平米')
('https://image1.ljcdn.com/130100-inspection/83b8b4b4-f963-4177-a1a6-29ede3e6efcc.jpg.296x216.jpg', '新华路与泰华街交口，采光好，南北通透。', '盛世天骄花苑  ', '高楼层(共23层)板楼  -  合作路', '295万', '单价22927元/平米')
('', '北郡一区 2室2厅 152万', '北郡一区  ', '中楼层(共33层)板楼  -  赵陵铺', '152万', '单价16345元/平米')
('https://image1.ljcdn.com/130100-inspection/5c4de1c3-c654-445f-95ca-a7ef69c53d7a.jpg.296x216.jpg', '满五年不唯一，110万三居室，三楼中间层，地铁3号线', '高柱小区  ', '中楼层(共5层)板楼  -  高柱', '108万', '单价14741元/平米')
('https://image1.ljcdn.com/130100-inspection/eb4016e0-b05d-4298-9f3a-bf7da8c61413.jpg.296x216.jpg', '大型社区 环境优美 治安好 小区方便停车 满五不唯一', '信达花园南区  ', '高楼层(共7层)板楼  -  省人民医院', '130万', '单价17542元/平米')
('', '星河御城 3室2厅 310万', '星河御城  ', '高楼层(共27层)暂无数据  -  赵陵铺', '310万', '单价22464元/平米')
('https://image1.ljcdn.com/130100-inspection/4a20f0b3-1d96-475d-8d5c-f25f47817c67.jpg.296x216.jpg', '市庄路交通局宿舍 3室1厅 125万', '市庄路交通局宿舍  ', '中楼层(共5层)暂无数据  -  北站', '125万', '单价16268元/平米')
('https://image1.ljcdn.com/130100-inspection/6326d0cd-f221-456c-a7a0-87cd679681f9.jpg.296x216.jpg', '此房南北通透，精装修婚房没住过人，两卧室朝南', '北合街48号院  ', '高楼层(共4层)板楼  -  合作路', '150万', '单价20442元/平米')
('', '柏林北区 1室1厅 75万', '柏林北区  ', '中楼层(共5层)板楼  -  柏林', '75万', '单价18483元/平米')
('https://image1.ljcdn.com/130100-inspection/8f8076c5-8999-43c1-8877-20fc0c5bdfdd.jpg.296x216.jpg', '高柱小区 2室1厅 95万', '高柱小区  ', '高楼层(共5层)板楼  -  高柱', '95万', '单价14819元/平米')
('https://image1.ljcdn.com/130100-inspection/e61a9c59-a485-4b22-a396-2e7204dee194.jpg.296x216.jpg', '新百商圈 满五唯一 看房方便 业主诚心出售', '大厂子巷小区  ', '高楼层(共7层)板楼  -  二中', '100万', '单价16389元/平米')
('', '华强国际写字楼 1室1厅 63.5万', '华强国际写字楼  ', '低楼层(共29层)板楼  -  二中', '63.5万', '单价20057元/平米')
('https://image1.ljcdn.com/130100-inspection/e7d7d1de-a5b7-4c73-9dc1-7e61dd80959d.jpg.296x216.jpg', '高楼层 无遮挡 小区干净 有物业无物业费', '省新闻出版局  ', '高楼层(共6层)板楼  -  西三庄', '100万', '单价16489元/平米')
('https://image1.ljcdn.com/130100-inspection/3024460c-9f87-40c3-aa6d-9271b74ce7eb.jpg.296x216.jpg', '石钢宿舍 东西向两居室 诚意出售', '石钢宿舍  ', '低楼层(共6层)板楼  -  红星街', '150万', '单价16900元/平米')
('', '工程技术学院宿舍 1室1厅 68万', '工程技术学院宿舍  ', '高楼层(共6层)板楼  -  西三庄', '68万', '单价17000元/平米')
('https://image1.ljcdn.com/130100-inspection/f6fc605d-bbc1-4289-955f-b2641c9b2780.jpg.296x216.jpg', '新苑小区 二楼  一居室 原房  大阳台  户型方正', '新苑小区  ', '低楼层(共7层)板楼  -  赵陵铺', '65万', '单价15477元/平米')
('https://image1.ljcdn.com/130100-inspection/414f7208-b28c-4188-8842-9c447d2b100a.jpg.296x216.jpg', '兴凯颐园 2007年社区 中间楼层 看房方便', '兴凯颐园  ', '中楼层(共6层)板楼  -  二中', '100万', '单价16245元/平米')
('https://image1.ljcdn.com/130100-inspection/f92b3c20-29ad-493f-a975-c9187313e0c6.jpg.296x216.jpg', '滨湖新村 3室2厅 195万', '滨湖新村  ', '低楼层(共7层)板楼  -  高柱', '195万', '单价16250元/平米')
('', '柏林北区 1室1厅 65万', '柏林北区  ', '中楼层(共5层)板楼  -  柏林', '65万', '单价16706元/平米')
('https://image1.ljcdn.com/130100-inspection/ee546074-b6d8-4042-a7bd-1a3d2738c74a.jpg.296x216.jpg', '南向一居室  中间楼层  采光好  视野好', '柏林北区  ', '中楼层(共5层)板楼  -  柏林', '80万', '单价17517元/平米')
('https://image1.ljcdn.com/130100-inspection/2a6c6e4f-afc8-4430-9d71-0b90918a4f4f.jpg.296x216.jpg', '二楼适合老人和小孩，水上公园南门,城市轨道交通站口', '市第二建筑公司宿舍  ', '中楼层(共5层)板楼  -  北焦', '135万', '单价19245元/平米')
('', '市糖酒公司 2室1厅 130万', '市糖酒公司  ', '低楼层(共6层)板楼  -  九中', '130万', '单价19476元/平米')
('https://image1.ljcdn.com/130100-inspection/db6ae85a-1d6b-47c7-bfe7-23ad4a92f061.JPG.296x216.jpg', '楼房公摊小，交通便利，配套成熟，南北通透', '宝力小区  ', '中楼层(共6层)板楼  -  红星街', '140万', '单价17074元/平米')
('https://image1.ljcdn.com/130100-inspection/rsp_pic_upload78b582d6-e075-4b2e-9310-468299ef2244.jpg.296x216.jpg', 'lianjia.房源   品汇大厦  商 住两用 价格低', '品汇大厦  ', '中楼层(共24层)板塔结合  -  二中', '28万', '单价8574元/平米')
('', '汽车运输公司六队 2室1厅 80万', '汽车运输公司六队  ', '低楼层(共6层)板楼  -  红星街', '80万', '单价15770元/平米')
('https://image1.ljcdn.com/130100-inspection/061d77f7-5aca-41e0-afea-2168466cc37b.jpg.296x216.jpg', '天域嘉园 经典三居室 南北通透 中间楼层采光视野好', '天域嘉园  ', '中楼层(共26层)板楼  -  赵陵铺', '192万', '单价16986元/平米')
('https://image1.ljcdn.com/130100-inspection/899f7d5e-72ae-4eae-b126-b5845fee78a0.jpg.296x216.jpg', '天域嘉园精装两居室，中间楼层价格好商量', '天域嘉园  ', '中楼层(共18层)板楼  -  赵陵铺', '145万', '单价17059元/平米')
('', '高柱小区 2室1厅 148万', '高柱小区  ', '中楼层(共7层)板楼  -  高柱', '148万', '单价18617元/平米')
('https://image1.ljcdn.com/130100-inspection/49be0e4d-63e2-4587-b2fd-2b5a662f30ce.jpg.296x216.jpg', '北二环西路189-2号院 2室1厅 108万', '北二环西路189-2号院  ', '高楼层(共6层)板楼  -  赵陵铺', '108万', '单价13927元/平米')
