('https://image1.ljcdn.com/420100-inspection/1f92b06f-3a94-4f34-b005-d3adec30e242.jpg.296x216.jpg', '联投龙湾一期 3室2厅 170万', '联投龙湾一期  | 3室2厅 | 131.69平米 | 南 | 其他', '低楼层(共33层)2015年建板楼  -  文化大道', '170万', '单价12910元/平米')
('https://image1.ljcdn.com/420100-inspection/e98fc53f-a584-441b-9fec-9894ac1a4c8d.jpg.296x216.jpg', '中建汤逊湖壹号 4室2厅 230万', '中建汤逊湖壹号  | 4室2厅 | 131平米 | 南 | 其他', '高楼层(共28层)2015年建塔楼  -  文化大道', '230万', '单价17558元/平米')
('https://image1.ljcdn.com/420100-inspection/6f985974-0190-4dc4-9f45-dacc60e69f80.jpg.296x216.jpg', '富丽奥林园 4室2厅 143.5万', '富丽奥林园  | 4室2厅 | 132.62平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  江夏其它', '143.5万', '单价10821元/平米')
('https://image1.ljcdn.com/420100-inspection/9e5cb9ca-7d55-41d1-a990-09a9112c2beb.jpg.296x216.jpg', '精装3房 南北通透 中间楼层 无遮挡 看房方便', '世茂林屿岸  | 3室1厅 | 91平米 | 南 | 其他', '低楼层(共18层)2015年建板楼  -  文化大道', '170万', '单价18682元/平米')
('https://image1.ljcdn.com/420100-inspection/648a0fcc-29c3-4e3d-aab3-0ebb0c66ea3f.jpg.296x216.jpg', '鸿发大厦 4室2厅 165万', '鸿发大厦  | 4室2厅 | 160.42平米 | 南 北 | 其他', '低楼层(共15层)暂无数据  -  文化大道', '165万', '单价10286元/平米')
('https://image1.ljcdn.com/420100-inspection/0fe1b33d-d4c7-4c3b-9a55-5c18cf17a013.jpg.296x216.jpg', '伊顿阳光 精装大三房  南北通透户型好 诚心出售', '伊顿阳光  | 3室2厅 | 129.24平米 | 南 | 其他 | 有电梯', '低楼层(共18层)板楼  -  庙山', '155万', '单价11994元/平米')
('https://image1.ljcdn.com/420100-inspection/1389a9e6-0e72-45ef-b461-04ce9e3cd8f5.jpg.296x216.jpg', '湖景房，边户，三室两厅，中间楼层，无贷款', '中建汤逊湖壹号  | 3室2厅 | 128.7平米 | 南 北 | 其他', '中楼层(共33层)暂无数据  -  文化大道', '188万', '单价14608元/平米')
('https://image1.ljcdn.com/420100-inspection/f119aa24-4435-4ee6-8eac-0f434d20cac2.jpg.296x216.jpg', '纳帕溪谷，207平联排合院别墅，两证满五年，精装修。', '纳帕溪谷   | 联排别墅 | 3室2厅 | 207.53平米 | 南 | 其他 | 无电梯', '3层暂无数据  -  藏龙岛', '530万', '单价25539元/平米')
('https://image1.ljcdn.com/420100-inspection/test-1ecd82ec-e53e-467f-bdf8-8ba4b4af26ad.png.296x216.jpg', '居家自住三房，送全套家具家电，两证满两年', '保利海上五月花一期  | 3室2厅 | 86.32平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2014年建板楼  -  庙山', '135万', '单价15640元/平米')
('https://image1.ljcdn.com/420100-inspection/164e570f-5b6c-437d-83c4-253bd15f996e.jpg.296x216.jpg', '江夏庙山怡景江南，家装三房两厅两卫，随时看房', '怡景江南  | 3室2厅 | 126.44平米 | 南 | 其他', '低楼层(共30层)2015年建板楼  -  庙山', '165万', '单价13050元/平米')
('https://image1.ljcdn.com/420100-inspection/8e6e257b-352e-4131-b3bb-8cac94caf9da.jpg.296x216.jpg', '三环内毛坯三房诚心出售，产权清晰无纠纷', '世茂林屿岸  | 2室2厅 | 87.85平米 | 南 北 | 毛坯', '高楼层(共35层)2016年建板楼  -  文化大道', '145万', '单价16506元/平米')
('https://image1.ljcdn.com/420100-inspection/8b3a02ce-a3ab-4801-ba2b-6c4586c27e5c.jpg.296x216.jpg', '宜化星都汇 2室2厅 130万', '宜化星都汇  | 2室2厅 | 86平米 | 南 | 其他', '高楼层(共15层)2016年建板楼  -  文化大道', '130万', '单价15117元/平米')
('https://image1.ljcdn.com/420100-inspection/1d5e2327-626b-4356-b5e8-2b8e606c615f.jpg.296x216.jpg', '联投龙湾二期 高层一厅 精装修 拎包入住', '联投龙湾二期  | 2室1厅 | 60.37平米 | 东南 | 其他', '高楼层(共30层)2013年建板楼  -  文化大道', '93万', '单价15406元/平米')
